Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorythium vetulum,Stylatractus universus,Stichocorys peregrina,Pterocanium prismatium,Phormostichoartus fistula,Phormostichoartus doliolum,Lychnodictyum audax,Didymocyrtis penultima,Anthocyrtidium pliocenica,Anthocyrtidium jenghisi,Spongaster tetras,Lamprocyrtis heteroporos,Amphirhopalum ypsilon,Theocalyptra davisiana,Lamprocyrtis neoheteroporos,Theocorythium trachelium trachelium,Pterocorys minythorax,Anthocyrtidium angulare,Lamprocyrtis nigriniae,Collosphaera tuberosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P12               ,              ,138, 847,D,  2,H,CC,  19.00,     16.5300,Moore    ,Radiolarians                                 ,A              ,M                 ,                     ,R                     ,                     ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,R                ,                        ,R                    ,R                     ,                           ,R                                  ,R                    ,                       ,R                     ,R                    ,from ODP Leg 138 Chapter 11 Fig 4 p 204-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 847,D,  4,H,CC,  27.00,     35.4700,Moore    ,Radiolarians                                 ,A              ,M                 ,F                    ,R                     ,                     ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,R                ,                        ,R                    ,R                     ,R                          ,R                                  ,R                    ,R                      ,-                     ,                     ,from ODP Leg 138 Chapter 11 Fig 4 p 204-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 847,D,  5,H,CC,  20.00,     44.8500,Moore    ,Radiolarians                                 ,A              ,G                 ,F                    ,R                     ,                     ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,R                ,                        ,R                    ,R                     ,R                          ,-                                  ,R                    ,R                      ,                      ,                     ,from ODP Leg 138 Chapter 11 Fig 4 p 204-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 847,D,  7,H,CC,  19.00,     63.6100,Moore    ,Radiolarians                                 ,A              ,G                 ,C                    ,R                     ,                     ,R                     ,                         ,                          ,                   ,                      ,                         ,                       ,R                ,R                       ,R                    ,R                     ,R                          ,                                   ,                     ,                       ,                      ,                     ,from ODP Leg 138 Chapter 11 Fig 4 p 204-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 847,D,  9,H,CC,  30.00,     83.2200,Moore    ,Radiolarians                                 ,A              ,M                 ,R                    ,R                     ,-                    ,-                     ,                         ,                          ,                   ,                      ,                         ,R                      ,R                ,-                       ,R                    ,-                     ,R                          ,                                   ,                     ,                       ,                      ,                     ,from ODP Leg 138 Chapter 11 Fig 4 p 204-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 847,D, 10,H,CC,  25.00,     92.2700,Moore    ,Radiolarians                                 ,A              ,G                 ,R                    ,R                     ,C                    ,R                     ,                         ,                          ,                   ,                      ,-                        ,R                      ,R                ,R                       ,R                    ,                      ,                           ,                                   ,                     ,                       ,                      ,                     ,from ODP Leg 138 Chapter 11 Fig 4 p 204-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S peregrina(RN9)M95,              ,138, 847,D, 14,H,CC,  23.00,    130.0700,Moore    ,Radiolarians                                 ,A              ,G                 ,R                    ,R                     ,C                    ,R                     ,-                        ,R                         ,-                  ,R                     ,R                        ,R                      ,                 ,                        ,                     ,                      ,                           ,                                   ,                     ,                       ,                      ,                     ,from ODP Leg 138 Chapter 11 Fig 4 p 204-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
