Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Systematophora placacantha,Spiniferites pseudofurcatus,Reticulatosphaera actinocoronata,Operculodinium centrocarpum,Membranophoridium aspinatum,Lingulodinium multivirgatum,Lejeunecysta sp.3,Hystrichokolpoma truncatum,Hystrichokolpoma rigaudiae,Distatodinium paradoxum,Deflandrea phosphoritica,Dapsilidinium pseudocolligerum,Cristadinium cristatoserratum,Cordosphaeridium cantharellus,Chiropteridium galea,Cerebrocysta mediterranea,Batiacasphaera sp. cf. B. sphaerica (thick wall),Tuberculodinium vancampoae,Saturnodinium pansum,Palaeocystodinium golzowense,Lejeunecysta convexa,Distatodinium biffii,Dinopterygium cladoides,Cribroperidinium tenuitabulatum,Spiniferites spp.,Lingulodinium machaerophorum,Hystrichokolpoma cinctum,Distatodinium ellipticum,Caligodinium amiculum,Tectatodinium pellitum,Protoperidinium subinerme,Operculodinium crassum,Homotryblium vallum,Cordosphaeridium minimum,Batiacasphaera sphaerica,Apteodinium spiridoides,Sumatradinium druggii,Polysphaeridium zoharyi,Polykrikos kofoidii?,Labyrinthodinium truncatum truncatum,Habibacysta tectata,Cyclopsiella elliptica/granosa complex,Cerebrocysta poulsenii,Brigantedinium? sp.5,Trinovantedinium? xylochoporum,Trinovantedinium sp.,Trinovantedinium harpagonium,Sumatradinium soucouyantae,Selenopemphix brevispinosa brevispinosa,Nematosphaeropsis lemniscata,Cordosphaeridium? minimum,Capillicysta fusca,Cannosphaeropsis passio,Spiniferites solidago,Operculodinium israelianum s.l.,Lejeunecysta paratenella,Operculodinium sp.3,Hystrichosphaeropsis obscura,Brigantedinium? sp.6,Algidasphaeridium? sp.8,Xandarodinium xanthum,Trinovantedinium papulum,Nematosphaeropsis rigida,Lejeunecysta sp.9,Lejeunecysta sp.8,Dissodium? sp.,Brigantedinium spp.,Algidasphaeridium? sp.3,Algidasphaeridium? sp.11,Trinovantedinium? sp.2,Selenopemphix dionaeacysta,Melitasphaeridium choanophorum,Lejeunecysta sp.7,Batiacasphaera sp. cf. B. hirsuta,Algidasphaeridium? sp.5,Algidasphaeridium? sp.4,Algidasphaeridium? sp.2,Quadrina? condita,Lejeunecysta mariae,Artemisiocysta sp.1,Algidasphaeridium? sp.9,Selenopemphix nephroides,Lejeunecysta? sp. (lateral horns),Polykrikos schwartzii?,Cymatiosphaera invaginata,Brigantedinium? sp.2,Brigantedinium cariacoense,Algidasphaeridium? sp.1,Spiniferites mirabilis,Lejeunecysta sp.10,Hystrichosphaeropsis sp. (serrate periblast),Operculodinium sp.,Cristadinium sp.4,Selenopemphix sp. cf. S. nephroides,Sumatradinium hispidum,Trinovantedinium glorianum,Impagidinium paradoxum,Impagidinium arachnion,Erymnodinium delectabile,Algidasphaeridium? sp.6,Algidasphaeridium? minutum,Trinovantedinium ferugnomatum,Spiniferites elongatus,Quinquecuspis concreta,Leipokatium invisitatum,Invertocysta lacrymosa,Filisphaera filifera,Barssidinium evangelineae,Achomosphaera andalousiensis,Operculodinium centrocarpum,Brigantedinium simplex,Bitectatodinium tepikiense,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,DN8               ,              ,150, 906,A, 11,X,CC,  40.00,    101.3100,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                           ,+                               ,+                          ,                           ,                           ,                 ,                          ,                          ,                       ,                        ,+                             ,                             ,                             ,                    ,                         ,                                                ,                          ,                    ,+                           ,                    ,                    ,                       ,                               ,+                ,                            ,                        ,                        ,                     ,+                     ,                         ,                      ,                   ,                        ,                        ,                       ,                     ,+                      ,+                   ,                                    ,+                  ,                                      ,                      ,+                   ,+                             ,                    ,+                           ,                          ,+                                      ,                            ,                         ,                  ,                       ,                     ,                               ,                        ,                   ,+                           ,+                   ,+                      ,+                    ,                        ,                        ,                 ,                 ,              ,                   ,                       ,+                       ,                      ,+                         ,                              ,                 ,                                 ,                       ,                       ,                       ,                 ,                   ,+                  ,                       ,                        ,                                 ,                      ,                         ,                    ,                          ,                       ,                      ,                  ,                                            ,                  ,+                ,                                   ,                      ,                          ,                      ,                      ,                        ,                       ,                          ,                             ,                      ,                      ,                       ,                      ,                    ,                         ,                            ,                           ,                      ,                          ,From 150SR. Ch 27. Table 6. p  452-453.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,DN8               ,              ,150, 906,A, 13,X,CC,  36.00,    120.6800,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                           ,+                               ,                           ,                           ,                           ,+                ,                          ,                          ,                       ,                        ,+                             ,                             ,                             ,                    ,                         ,                                                ,+                         ,                    ,+                           ,+                   ,                    ,                       ,                               ,                 ,+                           ,                        ,                        ,                     ,+                     ,                         ,                      ,                   ,                        ,                        ,                       ,                     ,                       ,                    ,+                                   ,+                  ,                                      ,                      ,+                   ,+                             ,                    ,+                           ,+                         ,+                                      ,+                           ,                         ,+                 ,                       ,                     ,+                              ,                        ,                   ,+                           ,                    ,                       ,+                    ,                        ,                        ,                 ,+                ,              ,                   ,                       ,                        ,                      ,                          ,                              ,                 ,                                 ,                       ,                       ,                       ,                 ,                   ,+                  ,+                      ,                        ,                                 ,                      ,                         ,                    ,                          ,                       ,                      ,                  ,                                            ,                  ,                 ,                                   ,+                     ,                          ,                      ,                      ,                        ,                       ,                          ,                             ,                      ,                      ,                       ,                      ,                    ,                         ,                            ,                           ,                      ,                          ,From 150SR. Ch 27. Table 6. p  452-453.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,DN7               ,              ,150, 906,A, 15,X,CC,  28.00,    139.7400,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                           ,                                ,+                          ,                           ,                           ,                 ,                          ,                          ,                       ,                        ,                              ,                             ,                             ,                    ,                         ,+                                               ,                          ,                    ,+                           ,+                   ,                    ,                       ,                               ,                 ,+                           ,                        ,                        ,                     ,                      ,                         ,                      ,                   ,                        ,                        ,                       ,                     ,                       ,+                   ,+                                   ,+                  ,                                      ,                      ,+                   ,+                             ,                    ,+                           ,                          ,+                                      ,+                           ,+                        ,                  ,+                      ,                     ,                               ,                        ,                   ,+                           ,                    ,+                      ,                     ,                        ,                        ,                 ,+                ,              ,                   ,                       ,                        ,                      ,                          ,                              ,                 ,                                 ,                       ,                       ,                       ,+                ,                   ,+                  ,                       ,                        ,                                 ,                      ,                         ,                    ,                          ,                       ,+                     ,                  ,                                            ,                  ,                 ,+                                  ,                      ,                          ,                      ,                      ,                        ,                       ,                          ,                             ,                      ,                      ,                       ,                      ,                    ,                         ,                            ,                           ,                      ,                          ,From 150SR. Ch 27. Table 6. p  452-453.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,DN7               ,              ,150, 906,A, 17,X,CC,  32.00,    159.5700,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                           ,+                               ,+                          ,                           ,                           ,                 ,                          ,                          ,                       ,                        ,                              ,                             ,                             ,                    ,                         ,                                                ,                          ,                    ,+                           ,                    ,                    ,                       ,                               ,+                ,+                           ,                        ,                        ,                     ,                      ,                         ,                      ,                   ,                        ,                        ,                       ,+                    ,                       ,                    ,+                                   ,+                  ,                                      ,                      ,                    ,                              ,                    ,                            ,+                         ,                                       ,+                           ,                         ,                  ,+                      ,                     ,+                              ,                        ,                   ,+                           ,                    ,                       ,                     ,                        ,                        ,                 ,                 ,              ,                   ,                       ,                        ,                      ,                          ,                              ,                 ,                                 ,                       ,                       ,                       ,                 ,                   ,+                  ,                       ,                        ,                                 ,                      ,                         ,                    ,                          ,                       ,                      ,                  ,                                            ,                  ,                 ,                                   ,                      ,                          ,                      ,                      ,                        ,                       ,                          ,                             ,                      ,                      ,                       ,                      ,                    ,                         ,                            ,                           ,                      ,                          ,From 150SR. Ch 27. Table 6. p  452-453.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,DN7               ,              ,150, 906,A, 19,X,CC,  25.00,    178.4300,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,r                         ,                           ,+                               ,                           ,                           ,                           ,                 ,                          ,                          ,                       ,                        ,+                             ,                             ,                             ,                    ,                         ,                                                ,+                         ,                    ,+                           ,+                   ,                    ,                       ,                               ,+                ,                            ,                        ,                        ,                     ,                      ,                         ,                      ,                   ,                        ,+                       ,                       ,+                    ,                       ,+                   ,                                    ,+                  ,                                      ,                      ,+                   ,+                             ,                    ,                            ,+                         ,+                                      ,                            ,                         ,                  ,+                      ,                     ,+                              ,                        ,                   ,+                           ,                    ,                       ,                     ,                        ,                        ,+                ,+                ,              ,                   ,                       ,                        ,                      ,                          ,                              ,                 ,                                 ,                       ,                       ,                       ,                 ,                   ,+                  ,                       ,                        ,                                 ,                      ,                         ,                    ,                          ,                       ,                      ,                  ,+                                           ,                  ,+                ,                                   ,                      ,                          ,                      ,                      ,                        ,                       ,                          ,                             ,                      ,                      ,                       ,                      ,                    ,                         ,                            ,                           ,                      ,                          ,From 150SR. Ch 27. Table 6. p  452-453.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,DN7               ,              ,150, 906,A, 21,X,CC,  32.00,    197.7900,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                           ,+                               ,+                          ,                           ,                           ,                 ,                          ,                          ,                       ,                        ,+                             ,                             ,                             ,                    ,                         ,                                                ,                          ,                    ,+                           ,+                   ,                    ,                       ,                               ,+                ,+                           ,                        ,                        ,                     ,                      ,                         ,+                     ,                   ,                        ,+                       ,                       ,+                    ,                       ,+                   ,                                    ,+                  ,                                      ,                      ,+                   ,+                             ,                    ,                            ,+                         ,+                                      ,                            ,+                        ,                  ,+                      ,                     ,                               ,+                       ,                   ,                            ,+                   ,                       ,                     ,                        ,                        ,                 ,+                ,              ,                   ,+                      ,+                       ,                      ,+                         ,                              ,                 ,+                                ,+                      ,+                      ,                       ,+                ,+                  ,+                  ,+                      ,                        ,                                 ,                      ,                         ,                    ,                          ,                       ,                      ,                  ,                                            ,+                 ,+                ,                                   ,                      ,                          ,                      ,                      ,                        ,                       ,                          ,                             ,                      ,                      ,                       ,                      ,                    ,                         ,                            ,                           ,                      ,                          ,From 150SR. Ch 27. Table 6. p  452-453.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,DN7               ,              ,150, 906,A, 23,X,CC,  34.00,    217.0700,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                           ,+                               ,                           ,                           ,                           ,                 ,                          ,                          ,                       ,                        ,+                             ,                             ,                             ,                    ,                         ,+                                               ,                          ,                    ,+                           ,                    ,                    ,                       ,                               ,+                ,+                           ,                        ,                        ,                     ,+                     ,                         ,                      ,                   ,                        ,                        ,                       ,                     ,                       ,+                   ,                                    ,+                  ,                                      ,                      ,+                   ,+                             ,                    ,+                           ,+                         ,+                                      ,                            ,+                        ,                  ,+                      ,                     ,+                              ,                        ,                   ,                            ,+                   ,+                      ,                     ,                        ,                        ,                 ,                 ,              ,                   ,                       ,+                       ,                      ,+                         ,                              ,                 ,+                                ,                       ,                       ,                       ,+                ,+                  ,+                  ,                       ,+                       ,+                                ,                      ,                         ,                    ,                          ,                       ,+                     ,+                 ,+                                           ,                  ,                 ,                                   ,                      ,                          ,                      ,                      ,                        ,                       ,                          ,                             ,                      ,                      ,                       ,                      ,                    ,                         ,                            ,                           ,                      ,                          ,From 150SR. Ch 27. Table 6. p  452-453.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,DN7               ,              ,150, 906,A, 25,X,CC,  33.00,    235.4100,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                           ,+                               ,                           ,                           ,                           ,                 ,                          ,                          ,                       ,                        ,+                             ,                             ,                             ,                    ,                         ,                                                ,                          ,                    ,+                           ,+                   ,                    ,                       ,                               ,+                ,+                           ,                        ,                        ,                     ,                      ,                         ,                      ,                   ,                        ,                        ,                       ,                     ,                       ,+                   ,                                    ,+                  ,                                      ,                      ,+                   ,+                             ,                    ,+                           ,+                         ,                                       ,                            ,                         ,                  ,+                      ,                     ,+                              ,+                       ,                   ,+                           ,                    ,+                      ,                     ,                        ,                        ,                 ,                 ,              ,                   ,                       ,+                       ,                      ,                          ,                              ,                 ,                                 ,                       ,                       ,                       ,+                ,                   ,+                  ,                       ,                        ,                                 ,                      ,                         ,                    ,                          ,                       ,                      ,                  ,                                            ,                  ,                 ,                                   ,                      ,                          ,                      ,                      ,                        ,                       ,                          ,                             ,                      ,                      ,                       ,                      ,                    ,                         ,                            ,                           ,                      ,                          ,From 150SR. Ch 27. Table 6. p  452-453.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,DN7               ,              ,150, 906,A, 26,X, 7,  43.00,    245.4300,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                           ,                                ,                           ,                           ,                           ,                 ,                          ,                          ,                       ,                        ,                              ,                             ,                             ,                    ,                         ,                                                ,                          ,                    ,                            ,                    ,                    ,                       ,                               ,+                ,                            ,                        ,                        ,                     ,                      ,                         ,                      ,                   ,                        ,+                       ,                       ,                     ,                       ,                    ,                                    ,                   ,                                      ,                      ,                    ,                              ,                    ,                            ,                          ,+                                      ,                            ,                         ,                  ,                       ,                     ,                               ,                        ,                   ,                            ,                    ,                       ,                     ,                        ,                        ,                 ,                 ,              ,                   ,                       ,                        ,                      ,                          ,                              ,                 ,                                 ,                       ,                       ,                       ,                 ,                   ,                   ,                       ,                        ,                                 ,                      ,                         ,                    ,                          ,                       ,                      ,                  ,                                            ,                  ,                 ,                                   ,                      ,                          ,                      ,                      ,                        ,                       ,                          ,                             ,                      ,                      ,                       ,                      ,                    ,                         ,                            ,                           ,                      ,                          ,From 150SR. Ch 27. Table 6. p  452-453.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,DN7               ,              ,150, 906,A, 29,X,CC,  32.00,    274.8600,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                           ,+                               ,+                          ,                           ,                           ,                 ,                          ,                          ,                       ,                        ,                              ,                             ,                             ,                    ,                         ,                                                ,+                         ,                    ,+                           ,+                   ,                    ,                       ,                               ,+                ,+                           ,                        ,                        ,                     ,+                     ,                         ,                      ,                   ,                        ,                        ,                       ,+                    ,+                      ,+                   ,+                                   ,+                  ,                                      ,                      ,+                   ,+                             ,                    ,+                           ,+                         ,+                                      ,+                           ,+                        ,                  ,                       ,                     ,+                              ,+                       ,                   ,+                           ,+                   ,+                      ,                     ,                        ,                        ,                 ,                 ,              ,                   ,                       ,+                       ,+                     ,+                         ,                              ,                 ,+                                ,+                      ,+                      ,                       ,+                ,                   ,+                  ,                       ,+                       ,                                 ,+                     ,+                        ,+                   ,+                         ,+                      ,                      ,                  ,                                            ,                  ,                 ,                                   ,                      ,                          ,                      ,                      ,                        ,                       ,                          ,                             ,                      ,                      ,                       ,                      ,                    ,                         ,                            ,                           ,                      ,                          ,From 150SR. Ch 27. Table 6. p  452-453.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
