Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stephanopyxis turris,Sponge spicules,Xanthiopyxis spp.,Triceratium spp.,Synedra jouseana,Silicoflagellate tests,Rossiella spp.,Rocella vigilans,Paralia sulcata var. crenulata,Distephanosira architecturalis,Chaetoceros spp. (resting spores),Rocella gelida  var. schraderi,Pyxilla fragments,Coscinodiscus rhombicus,Coscinodiscus marginatus,Rocella gelida,Hemiaulus spp.,Dactyliosolen antarcticus,Actinoptychus senarius,Thalassiothrix antarctica,Odontella aurita,Denticulopsis maccollumii,Coscinodiscus lewisianus,Actinocyclus ingens  var. nodus,Thalassionema nitzschioides  var. parva,Denticulopsis hustedtii,Azpeitia cf. nodulifer,Nitzschia donahuensis,Proboscia barboi,Denticulopsis praedimorpha,Denticulopsis dimorpha,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 12,X,CC,  11.00,    109.9200,diatoms  ,Diatoms                                      ,C              ,M                 ,                    ,F              ,                 ,                ,                ,                      ,              ,                ,                              ,                              ,                                 ,                              ,                 ,                       ,R                       ,              ,              ,                         ,                      ,C                        ,C               ,                         ,                        ,                               ,                                       ,F                      ,                      ,                     ,                ,                          ,A                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 13,X,CC,  13.00,    115.7200,diatoms  ,Diatoms                                      ,C              ,G                 ,                    ,               ,                 ,                ,                ,+                     ,              ,                ,                              ,                              ,R                                ,                              ,R                ,                       ,                        ,              ,              ,                         ,                      ,C                        ,C               ,                         ,                        ,                               ,                                       ,                       ,                      ,                     ,                ,                          ,A                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 14,X,CC,  13.00,    123.4900,diatoms  ,Diatoms                                      ,A              ,G                 ,                    ,               ,                 ,                ,                ,F                     ,              ,                ,                              ,                              ,                                 ,                              ,                 ,                       ,                        ,              ,              ,                         ,                      ,C                        ,C               ,                         ,                        ,                               ,                                       ,                       ,A                     ,C                    ,R               ,R                         ,C                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 15,X,CC,  13.00,    134.4500,diatoms  ,Diatoms                                      ,A              ,G                 ,                    ,               ,                 ,                ,                ,F                     ,              ,                ,                              ,                              ,                                 ,                              ,                 ,                       ,                        ,              ,              ,                         ,                      ,C                        ,D               ,                         ,                        ,C                              ,                                       ,                       ,R                     ,C                    ,F               ,F                         ,C                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
