Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zelkova taxa,Ulmus taxa,Tsuga taxa,Taxodiaceae taxa,Rhus taxa,Quercus (deciduous)  taxa,Pterocarya taxa,Pinus taxa,Picea taxa,Metasequoia  taxa,Liquidambar taxa,Larix taxa,Juglans taxa,Fagus taxa,Corylus taxa,Cichorioideae taxa,Chenopodiaceae taxa,Caryophyllaceae taxa,Carya taxa,Carpinus taxa,Carduoideae  taxa,Betula taxa,Artemisia taxa,Alnus taxa,Acer taxa,Abies taxa,Tilia taxa,Sparganium taxa,Quercus (evergreen) taxa,Gramineae taxa,Ephedra taxa,Engelhardia taxa,Salix taxa,Aesculus  taxa,Quercus taxa,Cyperaceae taxa,Cryptomeria  taxa,Compositae taxa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 795,A,  1,H, 1,  74.00,      0.7400,Heusser  ,Pollen/Spores                                ,               ,                  ,            ,2         ,0         ,0               ,         ,                         ,               ,24        ,6         ,                 ,                ,          ,6           ,2         ,            ,                  ,0                  ,                    ,          ,             ,                 ,11         ,              ,0         ,         ,2         ,          ,               ,                        ,0             ,1           ,                ,          ,              ,41          ,4              ,2                ,7              ,from ODP Legs 127&128 SR Chapter 19 Appendix B back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 795,A,  1,H, 2,  74.00,      2.2400,Heusser  ,Pollen/Spores                                ,               ,                  ,            ,0         ,5         ,1               ,         ,                         ,               ,46        ,40        ,                 ,                ,          ,0           ,0         ,            ,                  ,0                  ,                    ,          ,             ,                 ,2          ,              ,0         ,         ,7         ,          ,               ,                        ,0             ,0           ,                ,          ,              ,0           ,5              ,0                ,3              ,from ODP Legs 127&128 SR Chapter 19 Appendix B back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 795,A,  1,H, 3,  74.00,      3.7400,Heusser  ,Pollen/Spores                                ,               ,                  ,            ,0         ,2         ,0               ,         ,                         ,               ,30        ,60        ,                 ,                ,          ,1           ,0         ,            ,                  ,0                  ,                    ,          ,             ,                 ,1          ,              ,0         ,         ,11        ,          ,               ,                        ,0             ,1           ,                ,          ,              ,0           ,0              ,0                ,0              ,from ODP Legs 127&128 SR Chapter 19 Appendix B back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 795,A,  1,H, 4,  74.00,      5.2400,Heusser  ,Pollen/Spores                                ,               ,                  ,            ,7         ,0         ,2               ,         ,                         ,               ,20        ,6         ,                 ,                ,          ,2           ,4         ,            ,                  ,0                  ,                    ,          ,             ,                 ,15         ,              ,1         ,         ,3         ,          ,               ,                        ,3             ,0           ,                ,          ,              ,7           ,10             ,11               ,6              ,from ODP Legs 127&128 SR Chapter 19 Appendix B back pocket
