leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
41,370,,PLEISTOCENE,PLIOCENE,0.0,8.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,0.011,    5,2.506,DSDP INITIAL REPORTS
41,370,,PLIOCENE,MIDDLE MIOCENE,103.0,112.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  1.8,   16,  8.9,DSDP INITIAL REPORTS
41,370,,MIDDLE MIOCENE,,207.5,217.0,,NO AGE GIVEN,,NO AGE GIVEN, 10.5,   16,13.25,DSDP INITIAL REPORTS
41,370,,LOWER MIOCENE,,217.0,226.5,,NO AGE GIVEN,,NO AGE GIVEN,   16, 22.5,19.25,DSDP INITIAL REPORTS
41,370,,OLIGOCENE,,321.5,331.0,,NO AGE GIVEN,,NO AGE GIVEN, 22.5, 37.5,   30,DSDP INITIAL REPORTS
41,370,,OLIGOCENE,UPPER EOCENE,426.0,435.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 22.5,   43,32.75,DSDP INITIAL REPORTS
41,370,,MIDDLE EOCENE,,445.0,597.0,,NO AGE GIVEN,,NO AGE GIVEN,   43,   49,   46,DSDP INITIAL REPORTS
41,370,,LOWER EOCENE,,606.5,638.0,,NO AGE GIVEN,,NO AGE GIVEN,   49, 53.5,51.25,DSDP INITIAL REPORTS
41,370,,UPPER PALEOCENE,,638.0,655.5,,NO AGE GIVEN,,NO AGE GIVEN, 53.5,   60,56.75,DSDP INITIAL REPORTS
41,370,,LOWER PALEOCENE,,655.5,656.0,,NO AGE GIVEN,,NO AGE GIVEN,   60,   65, 62.5,DSDP INITIAL REPORTS
41,370,,LOWER CENOMANIAN,UPPER ALBIAN,673.0,739.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 97.5,  104,100.8,DSDP INITIAL REPORTS
41,370,,ALBIAN,,749.0,758.5,,NO AGE GIVEN,,NO AGE GIVEN,  100,  108,  104,DSDP INITIAL REPORTS
41,370,,LOWER ALBIAN,UPPER APTIAN,768.0,834.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  106,  112,  109,DSDP INITIAL REPORTS
41,370,,LOWER APTIAN,BARREMIAN,834.5,844.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  112,  121,116.5,DSDP INITIAL REPORTS
41,370,,BARREMIAN,,853.5,888.2,,NO AGE GIVEN,,NO AGE GIVEN,  115,  121,  118,DSDP INITIAL REPORTS
41,370,,UPPER HAUTERIVIAN,,889.5,940.0,,NO AGE GIVEN,,NO AGE GIVEN,  121,  123,  122,DSDP INITIAL REPORTS
41,370,,LOWER HAUTERIVIAN,UPPER VALANGINIAN,948.5,1053.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  123,128.5,125.8,DSDP INITIAL REPORTS
41,370,,LOWER HAUTERIVIAN,UPPER VALANGINIAN,1081.5,1167.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  123,128.5,125.8,DSDP INITIAL REPORTS
41,370,,UPPER VALANGINIAN,,1167.0,1176.5,,NO AGE GIVEN,,NO AGE GIVEN,  126,128.5,127.3,DSDP INITIAL REPORTS
