Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Grading,Sorting,Primary sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],2nd sedimentary structure,3rd sedimentary structure,Minor components,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,General interval comment,Ship File Links,Shore File Links,File Data
375-U1518F-2R-1,0,122,197.7,198.92,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),,,,,,consolidated,,,,,,,,,,,,,,Siltstone and Mudstone. Primary sedimentary structure obscured by deformation.,,,
375-U1518F-2R-2,0,83,198.92,199.75,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),,,,,,consolidated,,,,,1,,,,,,,,,Siltstone and Mudstone. Primary sedimentary structure obscured by deformation.,,,
375-U1518F-2R-CC,0,5,199.75,199.8,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),,,,,,consolidated,,,,,,,,,,,,,,Siltstone and Mudstone. Primary sedimentary structure obscured by deformation.,,,
375-U1518F-3R-1-A,0,136,207.3,208.66,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),,,,,,consolidated,,,,,,,,,,,,,,Siltstone and mudstone. Primary sedimentary structure obscured by deformation. Possible silt layer at 91-94 cm.,,,
375-U1518F-3R-2-A,0,84,208.66,209.5,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),,,,,,consolidated,,,,slight,1,planar lamination,,,,,,,,"Siltstone and mudstone. Primary sedimentary structure obscured by deformation. Possible sandy silt layer at 38 cm based on slightly darker color and drilling disturbance. Silt likely washed out due to drilling. Thin, mm scale laminae of silt",,,
375-U1518F-3R-3-A,0,136,209.7,211.06,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),,,,,,consolidated,,,,slight,1,,,,,,,,,Siltstone and mudstone. Primary sedimentary structure obscured by deformation. Silt layer at 70cm.,,,
375-U1518F-3R-4-A,0,134,211.06,212.4,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),,,,,,consolidated,,,,slight,1,planar lamination,,,,,,,,"Siltstone and mudstone. Primary sedimentary structure obscured by deformation. Thin, mm scale laminae of silt between 33-39 cm.",,,
375-U1518F-3R-CC-A,0,9,212.4,212.49,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),,,,,,consolidated,,,,,1,,,,,,,,,Siltstone and mudstone. Primary sedimentary structure obscured by deformation.,,,
375-U1518F-4R-1-A,0,101,216.9,217.91,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),,,,,,consolidated,,,,,,,,,,,,,,Siltstone and mudstone. Primary sedimentary structure obscured by deformation. Silt layer at 27 and 50 cm.,,,
375-U1518F-4R-2-A,0,60,217.91,218.51,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),,,,,,consolidated,,,,,,,,,,,,,,Siltstone and mudstone. Primary sedimentary structure obscured by deformation. Silt laminae at 7 cm. Possible silt layer at 45 cm.,,,
