verbatim_name,taxon_group,genus name,simplified_name,species name,subspecies name
Triloculina tricarinata,benthic_forams,Triloculina,Triloculina tricarinata,tricarinata,
Globigerapsis semiinvoluta,planktic_forams,Globigerapsis,Globigerapsis semiinvoluta,semiinvoluta,
Engelhardtia sp.(q),pollen,Engelhardtia,Engelhardtia sp.,sp.,
Bulimina pagoda,benthic_forams,Bulimina,Bulimina pagoda,pagoda,
Thoracosphaera granifera,nannofossils,Thoracosphaera,Thoracosphaera granifera,granifera,
Discolithina enormis,nannofossils,Discolithina,Discolithina enormis,enormis,
Amphipyndax sp.,radiolarians,Amphipyndax,Amphipyndax sp.,sp.,
Distephanus speculum speculum pseudofibula (q),silicoflagellates,Distephanus,Distephanus speculum speculum pseudofibula,speculum,
Coccolithus formosus,nannofossils,Coccolithus,Coccolithus formosus,formosus,
Anomalinoides globulosus,benthic_forams,Anomalinoides,Anomalinoides globulosus,globulosus,
Cleistosphaeridium sp.,dinoflagellates,Cleistosphaeridium,Cleistosphaeridium sp.,sp.,
Distephanus speculum patulus,silicoflagellates,Distephanus,Distephanus speculum patulus,speculum,patulus
Samlandia chlamydophora,dinoflagellates,Samlandia,Samlandia chlamydophora,chlamydophora,
Coccolithus primalis,nannofossils,Coccolithus,Coccolithus primalis,primalis,
Cibicidoides robertsonianus (q),benthic_forams,Cibicidoides,Cibicidoides robertsonianus,robertsonianus,
Tricolpites reticulatus (q),pollen,Tricolpites,Tricolpites reticulatus,reticulatus,
Asteromphalus parvulus,diatoms,Asteromphalus,Asteromphalus parvulus,parvulus,
Botryocyrtis scutum,radiolarians,Botryocyrtis,Botryocyrtis scutum,scutum,
Polysolenia murrayana,radiolarians,Polysolenia,Polysolenia murrayana,murrayana,
Neogloboquadrina pachyderma,planktic_forams,Neogloboquadrina,Neogloboquadrina pachyderma,pachyderma,
Thecosphaerella glebulenta,radiolarians,Thecosphaerella,Thecosphaerella glebulenta,glebulenta,
Diartus pettersoni,radiolarians,Diartus,Diartus pettersoni,pettersoni,
Cylindralithus crassus,nannofossils,Cylindralithus,Cylindralithus crassus,crassus,
Cyclicargolithus neogammation (q),nannofossils,Cyclicargolithus,Cyclicargolithus neogammation,neogammation,
Sphaeropyle robusta,radiolarians,Sphaeropyle,Sphaeropyle robusta,robusta,
Cassidella tegulata,benthic_forams,Cassidella,Cassidella tegulata,tegulata,
Areoligera senonensis,dinoflagellates,Areoligera,Areoligera senonensis,senonensis,
Vulvulina spinosa,benthic_forams,Vulvulina,Vulvulina spinosa,spinosa,
Elatomma sp.,radiolarians,Elatomma,Elatomma sp.,sp.,
Anomalina cubana,benthic_forams,Anomalina,Anomalina cubana,cubana,
