verbatim_name,taxon_group,genus name,simplified_name,species name,subspecies name
Reticulofenestra minutulus (q),nannofossils,Reticulofenestra,Reticulofenestra minutulus,minutulus,
Theocotyle alpha,radiolarians,Theocotyle,Theocotyle alpha,alpha,
Coscinodiscus kuetzingii,diatoms,Coscinodiscus,Coscinodiscus kuetzingii,kuetzingii,
Fragilaria hirosakiensis,diatoms,Fragilaria,Fragilaria hirosakiensis,hirosakiensis,
Globorotalia truncatulinoides (sin),planktic_forams,Globorotalia,Globorotalia truncatulinoides,truncatulinoides,
Bachmannocena apiculata inflata,silicoflagellates,Bachmannocena,Bachmannocena apiculata inflata,apiculata,inflata
Globotruncana conica,planktic_forams,Globotruncana,Globotruncana conica,conica,
Ceratolithus atlanticus,nannofossils,Ceratolithus,Ceratolithus atlanticus,atlanticus,
Sphenolithus dissimilis,nannofossils,Sphenolithus,Sphenolithus dissimilis,dissimilis,
Globorotalia continuosa,planktic_forams,Globorotalia,Globorotalia continuosa,continuosa,
Fissurina laevigata,benthic_forams,Fissurina,Fissurina laevigata,laevigata,
Coscinodiscus elongatus,diatoms,Coscinodiscus,Coscinodiscus elongatus,elongatus,
Bolivina marginata,benthic_forams,Bolivina,Bolivina marginata,marginata,
Micrantholithus flos,nannofossils,Micrantholithus,Micrantholithus flos,flos,
Rhabdolithus vitrea,nannofossils,Rhabdolithus,Rhabdolithus vitrea,vitrea,
Elphidium magellanicum,benthic_forams,Elphidium,Elphidium magellanicum,magellanicum,
Spongomelissa sp.,radiolarians,Spongomelissa,Spongomelissa sp.,sp.,
Thalassocythere acanthoderma,ostracods,Thalassocythere,Thalassocythere acanthoderma,acanthoderma,
Nummulites burdigalensis minor,benthic_forams,Nummulites,Nummulites burdigalensis minor,burdigalensis,minor
Bolivina acuminata,benthic_forams,Bolivina,Bolivina acuminata,acuminata,
Artostrobus sp.,radiolarians,Artostrobus,Artostrobus sp.,sp.,
Globigerinita dissimilis dissimilis,planktic_forams,Globigerinita,Globigerinita dissimilis dissimilis,dissimilis,dissimilis
Stylosphaera goruna,radiolarians,Stylosphaera,Stylosphaera goruna,goruna,
Globorotalia fohsi,planktic_forams,Globorotalia,Globorotalia fohsi,fohsi,
Neococcolithes protenus (q),nannofossils,Neococcolithes,Neococcolithes protenus,protenus,
Operculina sp.,benthic_forams,Operculina,Operculina sp.,sp.,
Eucyrtidium hexastichum,radiolarians,Eucyrtidium,Eucyrtidium hexastichum,hexastichum,
Lithodesmium minusculum (q),diatoms,Lithodesmium,Lithodesmium minusculum,minusculum,
Myrtaceidites mesonesus (q),pollen,Myrtaceidites,Myrtaceidites mesonesus,mesonesus,
Tricolpites alveolatus,pollen,Tricolpites,Tricolpites alveolatus,alveolatus,
Globoquadrina humerosa,planktic_forams,Globoquadrina,Globoquadrina humerosa,humerosa,
Entapium chaenapium,radiolarians,Entapium,Entapium chaenapium,chaenapium,
Campylosphaera sp.,nannofossils,Campylosphaera,Campylosphaera sp.,sp.,
Lychnocanium grande (q),radiolarians,Lychnocanium,Lychnocanium grande,grande,
Globorotalia akersi,planktic_forams,Globorotalia,Globorotalia akersi,akersi,
Rosalina columbiensis,benthic_forams,Rosalina,Rosalina columbiensis,columbiensis,
Acrosphaera murrayana,radiolarians,Acrosphaera,Acrosphaera murrayana,murrayana,
Tholospyris anthopora,radiolarians,Tholospyris,Tholospyris anthopora,anthopora,
Globorotalia topilensis,planktic_forams,Globorotalia,Globorotalia topilensis,topilensis,
Globorotalia praefohsi,planktic_forams,Globorotalia,Globorotalia praefohsi,praefohsi,
Dictyocha fibula formicata,silicoflagellates,Dictyocha,Dictyocha fibula formicata,fibula,formicata
Ericsonia fenestra (small),nannofossils,Ericsonia,Ericsonia fenestra,fenestra,
Neomonoceratina microreticulata,ostracods,Neomonoceratina,Neomonoceratina microreticulata,microreticulata,
Epistominella obesa (q),benthic_forams,Epistominella,Epistominella obesa,obesa,
Abutilon sp. (q),pollen,Abutilon,Abutilon sp.,sp.,
Siphotextularia catenata,benthic_forams,Siphotextularia,Siphotextularia catenata,catenata,
Micrhystridium sp.,dinoflagellates,Micrhystridium,Micrhystridium sp.,sp.,
Plectofrondicularia vaughni,benthic_forams,Plectofrondicularia,Plectofrondicularia vaughni,vaughni,
Globorotalia tadjikistanensis,planktic_forams,Globorotalia,Globorotalia tadjikistanensis,tadjikistanensis,
Zygocircus productus,radiolarians,Zygocircus,Zygocircus productus,productus,
Lithomesites nodosum,phytoliths,Lithomesites,Lithomesites nodosum,nodosum,
Spongoplegma sp.,radiolarians,Spongoplegma,Spongoplegma sp.,sp.,
Sphaeroidinellopsis disjuncta,planktic_forams,Sphaeroidinellopsis,Sphaeroidinellopsis disjuncta,disjuncta,
Nitzschia granulata hispanica,diatoms,Nitzschia,Nitzschia granulata hispanica,granulata,hispanica
Tholospyris tripodiscus,radiolarians,Tholospyris,Tholospyris tripodiscus,tripodiscus,
Huttonia punctata,diatoms,Huttonia,Huttonia punctata,punctata,
Triquetrorhabdulus striatus,nannofossils,Triquetrorhabdulus,Triquetrorhabdulus striatus,striatus,
Nitzschia miocenica,diatoms,Nitzschia,Nitzschia miocenica,miocenica,
Globigerina ciperoensis ciperoensis (q),planktic_forams,Globigerina,Globigerina ciperoensis ciperoensis,ciperoensis,ciperoensis
Nannotetrina swasticoides,nannofossils,Nannotetrina,Nannotetrina swasticoides,swasticoides,
