verbatim_name,taxon_group,genus name,simplified_name,species name,subspecies name
Abas wittii,diatoms,Abas,Abas wittii,wittii,
Abathomphalus intermedius,planktic_forams,Abathomphalus,Abathomphalus intermedius,intermedius,
Abathomphalus mayaroensis,planktic_forams,Abathomphalus,Abathomphalus mayaroensis,mayaroensis,
Abies sp.,pollen,Abies,Abies sp.,sp.,
Abutilon sp. (q),pollen,Abutilon,Abutilon sp.,sp.,
Abyssamina incisa,benthic_forams,Abyssamina,Abyssamina incisa,incisa,
Abyssamina poagi,benthic_forams,Abyssamina,Abyssamina poagi,poagi,
Abyssamina quadrata,benthic_forams,Abyssamina,Abyssamina quadrata,quadrata,
Abyssocythere sp.,ostracods,Abyssocythere,Abyssocythere sp.,sp.,
Acacia sp.,pollen,Acacia,Acacia sp.,sp.,
Acaciapollenites myriosporites,pollen,Acaciapollenites,Acaciapollenites myriosporites,myriosporites,
Acalypha sp,pollen,Acalypha,Acalypha sp,sp,
Acanthocythereis sp. (q),ostracods,Acanthocythereis,Acanthocythereis sp.,sp.,
Acanthodesmia circumflexa,radiolarians,Acanthodesmia,Acanthodesmia circumflexa,circumflexa,
Acanthodesmia sp.,radiolarians,Acanthodesmia,Acanthodesmia sp.,sp.,
Acanthodesmia vinculata,radiolarians,Acanthodesmia,Acanthodesmia vinculata,vinculata,
Acanthodesmid sp.,radiolarians,Acanthodesmid,Acanthodesmid sp.,sp.,
Acanthodiscus antarcticus,diatoms,Acanthodiscus,Acanthodiscus antarcticus,antarcticus,
Acanthodiscus convexus,diatoms,Acanthodiscus,Acanthodiscus convexus,convexus,
Acanthodiscus ornatus,diatoms,Acanthodiscus,Acanthodiscus ornatus,ornatus,
Acanthodiscus sp.,diatoms,Acanthodiscus,Acanthodiscus sp.,sp.,
Acanthoica quattrospina,nannofossils,Acanthoica,Acanthoica quattrospina,quattrospina,
Acanthoica sp.,nannofossils,Acanthoica,Acanthoica sp.,sp.,
Acanthoica sp. (q),nannofossils,Acanthoica,Acanthoica sp.,sp.,
Acanthosphaera haliformis (q),radiolarians,Acanthosphaera,Acanthosphaera haliformis,haliformis,
Acanthosphaera sp.,radiolarians,Acanthosphaera,Acanthosphaera sp.,sp.,
Acanthosphaeridium reticulatum,diatoms,Acanthosphaeridium,Acanthosphaeridium reticulatum,reticulatum,
Acarinina abundocamerata,planktic_forams,Acarinina,Acarinina abundocamerata,abundocamerata,
Acarinina angulata,planktic_forams,Acarinina,Acarinina angulata,angulata,
Acarinina angulosa,planktic_forams,Acarinina,Acarinina angulosa,angulosa,
Acarinina apanthesma,planktic_forams,Acarinina,Acarinina apanthesma,apanthesma,
Acarinina aspensis,planktic_forams,Acarinina,Acarinina aspensis,aspensis,
Acarinina boudreauxi,planktic_forams,Acarinina,Acarinina boudreauxi,boudreauxi,
Acarinina broedermanni,planktic_forams,Acarinina,Acarinina broedermanni,broedermanni,
Acarinina broedermanni (q),planktic_forams,Acarinina,Acarinina broedermanni,broedermanni,
Acarinina bullbrooki,planktic_forams,Acarinina,Acarinina bullbrooki,bullbrooki,
Acarinina chascanoma,planktic_forams,Acarinina,Acarinina chascanoma,chascanoma,
Acarinina coalingensis,planktic_forams,Acarinina,Acarinina coalingensis,coalingensis,
Acarinina convexa,planktic_forams,Acarinina,Acarinina convexa,convexa,
Acarinina decepta,planktic_forams,Acarinina,Acarinina decepta,decepta,
Acarinina densa,planktic_forams,Acarinina,Acarinina densa,densa,
Acarinina esnaensis,planktic_forams,Acarinina,Acarinina esnaensis,esnaensis,
Acarinina mathewsae,planktic_forams,Acarinina,Acarinina mathewsae,mathewsae,
Acarinina mattseensis alticonica,planktic_forams,Acarinina,Acarinina mattseensis alticonica,mattseensis,alticonica
Acarinina mattseensis mattseensis,planktic_forams,Acarinina,Acarinina mattseensis mattseensis,mattseensis,mattseensis
Acarinina mattseensis wartsteinensis,planktic_forams,Acarinina,Acarinina mattseensis wartsteinensis,mattseensis,wartsteinensis
Acarinina mattseensis wartsteinensis (q),planktic_forams,Acarinina,Acarinina mattseensis wartsteinensis,mattseensis,wartsteinensis
Acarinina mckannai,planktic_forams,Acarinina,Acarinina mckannai,mckannai,
Acarinina nicoli (q),planktic_forams,Acarinina,Acarinina nicoli,nicoli,
Acarinina nitida (q),planktic_forams,Acarinina,Acarinina nitida,nitida,
Acarinina pentacamerata,planktic_forams,Acarinina,Acarinina pentacamerata,pentacamerata,
Acarinina pentacamerata pentacamerata,planktic_forams,Acarinina,Acarinina pentacamerata pentacamerata,pentacamerata,pentacamerata
Acarinina planodorsalis,planktic_forams,Acarinina,Acarinina planodorsalis,planodorsalis,
Acarinina primitiva,planktic_forams,Acarinina,Acarinina primitiva,primitiva,
Acarinina primitiva (q),planktic_forams,Acarinina,Acarinina primitiva,primitiva,
Acarinina pseudotopilensis,planktic_forams,Acarinina,Acarinina pseudotopilensis,pseudotopilensis,
Acarinina punctocarinata,planktic_forams,Acarinina,Acarinina punctocarinata,punctocarinata,
Acarinina quetra,planktic_forams,Acarinina,Acarinina quetra,quetra,
Acarinina rotundimarginata,planktic_forams,Acarinina,Acarinina rotundimarginata,rotundimarginata,
Acarinina rugosoaculeata,planktic_forams,Acarinina,Acarinina rugosoaculeata,rugosoaculeata,
Acarinina soldadoensis,planktic_forams,Acarinina,Acarinina soldadoensis,soldadoensis,
Acarinina soldadoensis angulosa,planktic_forams,Acarinina,Acarinina soldadoensis angulosa,soldadoensis,angulosa
Acarinina soldadoensis soldadoensis,planktic_forams,Acarinina,Acarinina soldadoensis soldadoensis,soldadoensis,soldadoensis
Acarinina sp.,planktic_forams,Acarinina,Acarinina sp.,sp.,
Acarinina spinuloinflata,planktic_forams,Acarinina,Acarinina spinuloinflata,spinuloinflata,
Acarinina spiralis,planktic_forams,Acarinina,Acarinina spiralis,spiralis,
Acarinina subsphaerica,planktic_forams,Acarinina,Acarinina subsphaerica,subsphaerica,
Acarinina uncinata,planktic_forams,Acarinina,Acarinina uncinata,uncinata,
Acarinina velascoensis,planktic_forams,Acarinina,Acarinina velascoensis,velascoensis,
Acarinina wilcoxensis,planktic_forams,Acarinina,Acarinina wilcoxensis,wilcoxensis,
Acer sp.,pollen,Acer,Acer sp.,sp.,
Achilleodinium biformoides,dinoflagellates,Achilleodinium,Achilleodinium biformoides,biformoides,
Achnanthes brevipes,diatoms,Achnanthes,Achnanthes brevipes,brevipes,
Achnanthes fimbriata,diatoms,Achnanthes,Achnanthes fimbriata,fimbriata,
Achnanthes groenlandica,diatoms,Achnanthes,Achnanthes groenlandica,groenlandica,
Achnanthes lanceolata,diatoms,Achnanthes,Achnanthes lanceolata,lanceolata,
Achnanthes sp.,diatoms,Achnanthes,Achnanthes sp.,sp.,
Achomosphaera alcicornu,dinoflagellates,Achomosphaera,Achomosphaera alcicornu,alcicornu,
Achomosphaera andalouisiense,dinoflagellates,Achomosphaera,Achomosphaera andalouisiense,andalouisiense,
Achomosphaera crassipellis,dinoflagellates,Achomosphaera,Achomosphaera crassipellis,crassipellis,
Achomosphaera ramulifera,dinoflagellates,Achomosphaera,Achomosphaera ramulifera,ramulifera,
Acratia sp.,ostracods,Acratia,Acratia sp.,sp.,
Acrobotrys disolenia,radiolarians,Acrobotrys,Acrobotrys disolenia,disolenia,
Acrobotrys sp.,radiolarians,Acrobotrys,Acrobotrys sp.,sp.,
