Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data
356-U1462C-2R-CC-PAL-NANNO,0,5,33,33.05,NN20 [G12],"NN20 - Gephyrocapsa oceanica (Gradstein et al., 2012)",M [P33],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1462C-4R-CC-PAL-NANNO,0,7,42.6,42.67,NN19 [G12],"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",M [P33],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],R [A30],R [A30],,,R [A30],,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1462C-5R-CC-PAL-NANNO,0,5,47.4,47.45,,,M [P33],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],R [A30],R [A30],,,,,,,,,,,,,P [A30],,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1462C-6R-CC-PAL-NANNO,0,5,52.2,52.25,,,M [P33],F [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],F [A30],F [A30],,,R [A30],P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,lots of aragonite needles,,,
356-U1462C-7R-CC-PAL-NANNO,0,6,59.18,59.24,,,M [P33],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1462C-8R-CC-PAL-NANNO,0,7,62.4,62.47,,,M [P33],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1462C-9R-CC-PAL-NANNO,0,2,66.6,66.62,,,M [P33],F [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],C [A04],F [A30],,,,R [A30],,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,
356-U1462C-10R-CC-PAL-NANNO,0,5,71.98,72.03,,,M [P33],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1462C-12R-CC-PAL-NANNO,0,6,81.09,81.15,,,M [P33],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],F [A30],P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,very rare in matrix,,,
356-U1462C-14R-CC-PAL-NANNO_dense,0,6,90.8,90.86,,,M [P33],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],F [A30],,,,F [A30],,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,very rare in matrix,,,
356-U1462C-16R-CC-PAL-NANNO,0,5,100.68,100.73,,,P [P33],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],R [A30],,,,R [A30],P [A30],,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very rare in matrix,,,
356-U1462C-19R-CC-PAL-NANNO,0,5,114.89,114.94,,,M [P33],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very rare in matrix,,,
356-U1462C-21R-CC-PAL-NANNO,0,5,124.78,124.83,,,M [P33],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],P [A30],,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very rare in matrix,,,
356-U1462C-21R-CC-A 21/23-NANNO,0,2,124.61,124.63,,,M [P33],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very rare in matrix,,,
356-U1462C-23R-2-PAL-NANNO,0,6,136.3,136.36,,,M [P33],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very rare in matrix,,,
356-U1462C-27R-CC-PAL-NANNO,0,5,153.8,153.85,,,M [P33],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],P [A30],F [A30],,,,,,,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,"more ""diversity"", rare occurrences",,,
356-U1462C-31R-CC-PAL-NANNO,0,5,174.03,174.08,,,M [P33],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very rare in matrix,,,
356-U1462C-35R-CC-PAL-NANNO,0,5,193.17,193.22,,,M [P33],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],P [A30],,,,,,,,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very rare in matrix,,,
