Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],Terrestrial organic matter,Pyrite,"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Acarinina alticonica,Acarinina bullbrooki,Acarinina collactea,Acarinina primitiva,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Chiloguembelina cubensis,Clavatorella bermudezi,Cribrohantkenina inflata,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globularis,Dentoglobigerina juxtabinaiensis,Dentoglobigerina sp.,Dentoglobigerina tripartita,Dentoglobigerina venezuelana,Fohsella birnageae,Fohsella fohsi,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globigeriantella insueta,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina euapertura,Globigerina falconensis,Globigerina rubescens,Globigerina woodi,Globigerinatella sp.,Globigerinatheka barri,Globigerinatheka index,Globigerinella aequilateralis,Globigerinella calida,Globigerinella praesiphonifera,Globigerinella radians,Globigerinella siphonifera,Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiapertura,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides pyramidalis,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber s.s.,"Globigerinoides ruber s.l. Wang, 2000",Globigerinoides sacculifer,Globigerinoides sacculifer (without sac),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina dehiscens,Globorotalia archeomenardii,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hirsuta,Globorotalia humerosa,Globorotalia incognita,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miozea,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotalia zealandica,Globorotaloides hexagona,Globorotaloides quadrocameratus,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina nympha,Orbulina bilobata,Orbulina suturalis,Orbulina universa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia sp.,Planorotalites palmerae,Planorotalites spp.,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa,Praeorbulina sicana,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Subbotina eocaena,Subbotina gortanii,Tenuitella gemma,Tenuitella munda,Tenuitellinata juvenilis,Turborotalita humilis,Ship File Links,Shore File Links,File Data
356-U1461A-1F-1-PAL-RAST-150 2000,0,0,0,0,,,,,,,,,,A [A101],VG [P39],,,,,,,,"rich in bioclasts, Ostracods (A); pteropods (D); spicules (P); bryozoa (P); peloids (P); bivalves, rose bengal stained P. obliq and O. univ",,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,F [A109],F [A109],,P [A109],P [A109],,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,F [A109],,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,
356-U1461A-1F-CC-PAL-FORAM,0,10,1.55,1.65,,,,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",,0,0.61,A [A101],VG [P39],L [F02],60,1,,,,,Pteropods (C); Ostracods (C); Bivalves (C),,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,R [A109],,,,,,P [A109],,P [A109],R [A109],,,,,,,,,,,,,,,,D [A109],,,F [A109],A [A109],,,,,,,,,P [A109],,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,
356-U1461A-4H-CC-PAL-FORAM-150-2000,0,10,20.21,20.31,,,,,,,,,,A [A101],VG [P39],L [F02],50,1,,,,,"rich in Ostracods. Pteropods, fish tooth, bryozoa, peloids, sponge spicules present; pyritised forams, agglu. forams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,P [A109],,,,,P [A109],,,P [A109],,D [A109],,,,R [A109],,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,
356-U1461A-6H-CC-PAL-FORAM-150-2000,0,10,39.26,39.36,,,,,,,,,,C [A101],G [P39],M [F02],40,2,,,,,Ostracods (C); Bivalves (F),,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,R [A109],,,,,,P [A109],,,,,,,,,,A [A109],,,,F [A109],,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,P [A109],P [A109],,,,,,,,,,,,F [A109],,,,,P [A109],,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,
356-U1461A-8H-CC-PAL-FORAM-150-2000,0,10,54.23,54.33,,,,,,,,,,R [A101],P [P39],M [F02],20,2,,,,,Piloids (>90%); pteropods; shallow-water ostracods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1461A-12F-CC-PAL-FORAM-150-2000,0,5,66.32,66.37,,,,,,,,,,R [A101],P [P39],,20,,,,,,"Ostracod (C); Bivalves (R), Peloids (R)",,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,R [A109],,,,R [A109],,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,
356-U1461A-15H-CC-PAL-FORAM-150-2000,0,5,95.47,95.52,,,,,,,,,,F [A101],M [P39],,50,,,,,,Ostracod (R),,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,R [A109],,,,R [A109],,,,,,,,,P [A109],,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1461A-17H-CC-PAL-FORAM-150-2000,0,10,114.85,114.95,,,,,,,,,,A [A101],VG [P39],L [F02],,1,,,,,enclosed bay ostracods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,P [A109],,,,,P [A109],,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,
356-U1461A-21H-CC-PAL-FORAM-150-2000,0,10,150.78,150.88,,,,,,,,,,C [A101],P [P39],S [F02],70,3,,,,,Ostracod (R); increased encrusting,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,R [A109],R [A109],,P [A109],R [A109],,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,P [A109],,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,
356-U1461A-23H-CC-PAL-FORAM-150-2000,0,10,169.18,169.28,,,,,,,,,,C [A101],P [P39],,,,,,,,all specimens appear smaller sized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
