Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Calcidiscus leptoporus,Calcidiscus macintyrei,Catinaster coalitus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Florisphaera profunda,Helicosphaera carteri,Helicosphaera sellii,Minylitha convallis,Nicklithus amplificus,Pontosphaera spp.,Reticulofenestra pseudoumbilicus,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus moriformis,Syracosphaera spp.,Triquetrorhabdulus rugosus,Umbilicosphaera sibogae,Comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
349-U1432C-1H-CC-PAL-NANNO,0,5,7.9,7.95,NN20 - NN21,M,C,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,,,,,R,,,,,,,,,,,,,"Reworked Miocene species (C. miopelagicus, R. pseudoumbilicus)",,,349,U1432,C,1,H,CC,PAL
349-U1432C-2H-CC-PAL-NANNO,0,5,14.1,14.15,NN20 - NN21,G,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,A,F,,,,,,,,,,,,,,,,,,Reworked species present (discoasters),,,349,U1432,C,2,H,CC,PAL
349-U1432C-3H-CC-PAL-NANNO,0,5,24.39,24.44,NN20 - NN21,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,,,,R,,,,,,,,,,,,,,,,,349,U1432,C,3,H,CC,PAL
349-U1432C-4H-CC-PAL-NANNO,0,5,36.41,36.46,NN20 - NN21,G,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,,,,,R,,,,,R,,,,,,,,"Reworked species present (R. pseudoumbilicus, S. abies)",,,349,U1432,C,4,H,CC,PAL
349-U1432C-5H-CC-PAL-NANNO,0,5,46.01,46.06,NN20 - NN21,G,A,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,A,F,,,,R,,,,,,,,,,,R,,,Reworked species present (discoasters),,,349,U1432,C,5,H,CC,PAL
349-U1432C-6H-4-W 86/86-NANNO58,0,0,51.26,51.26,NN20 - NN21,G,A,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,,,,R,,R,,F,,,,,,,F,,F,Preservation Good to Moderate,,,349,U1432,C,6,H,4,W
349-U1432C-6H-CC-PAL-NANNO,0,5,52.96,53.01,NN20 - NN21,M,A,F,R,,,R,,,,,,,,R,,,,,,,,,,,,,,,R,,,,,A,F,,,,R,,R,,F,,R,,,,,F,,F,G. caribbeanica common,,,349,U1432,C,6,H,CC,PAL
349-U1432C-7H-CC-PAL-NANNO,0,5,62.11,62.16,NN19 - NN20,M,A,R,R,,,,,,,,,,,R,,,,,,,,,,,R,,,,R,,,,,A,R,,,,R,,R,,R,,R,,,,,R,,R,Preservation Moderate to Poor,,,349,U1432,C,7,H,CC,PAL
349-U1432C-8H-6-PAL-NANNO,0,5,70.59,70.64,NN19 - NN20,M,A,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,A,F,,,,R,,R,,R,,,,,,,R,,R,Preservation Moderate to Poor,,,349,U1432,C,8,H,6,PAL
349-U1432C-9H-CC-PAL-NANNO,0,16,72.0,72.16,NN19 - NN20,M,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,,,,,,R,,,,,,,,,,,,,,,349,U1432,C,9,H,CC,PAL
349-U1432C-10H-CC-PAL-NANNO,0,6,86.15,86.21,NN19,M,A,F,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,A,F,,,,F,,,,C,,,,,,,F,,C,Preservation Good mix with Poor,,,349,U1432,C,10,H,CC,PAL
349-U1432C-11H-CC-PAL-NANNO,0,3,100.54,100.57,NN19,M,A,R,R,,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,A,F,,,,,R,,,R,,R,,,,,F,,C,Preservation Good mix with Poor,,,349,U1432,C,11,H,CC,PAL
349-U1432C-12H-4-W 74/74-NANNO59,0,0,105.74,105.74,NN19,G,C,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,R,,,,R,,,,,,,,,,,R,,R,Preservation Good to Moderate,,,349,U1432,C,12,H,4,W
349-U1432C-12H-7-PAL-NANNO,0,10,109.83,109.93,NN19,M,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,,,,,,,,,,,,,,,,,,"Preservation Moderate to Poor, Dissolution ",,,349,U1432,C,12,H,7,PAL
