Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Group abundance,Comment (general),Preservation,Globigerinoides ruber (pink),Globorotalia tosaensis,Globigerinoides fistulosus,Globorotalia truncatulinoides,Globigerinoides extremus,Globorotalia miocenica,Globorotalia limbata,Globorotalia multicamerata,Dentoglobigerina altispira,Sphaeroidinellopsis seminulina,Pulleniatina primalis,Sphaeroidinella dehiscens,Globorotalia tumida,Globorotalia margaritae,Globoturborotalita nepenthes,Globorotalia merotumida,Globoquadrina dehiscens,Globorotalia lenguaensis,Neogloboquadrina acostaensis,Paragloborotalia mayeri,Fohsella fohsi,Fohsella robusta,Fohsella lobata,Fohsella peripheroacuta,Fohsella peripheroronda,Praeorbulina sicana,Globigerinatella insueta,Orbulina suturalis,Praeorbulina glomerosa,Catapsydrax dissimilis,Globigerina ciperoensis,Globigerinoides trilobus,Paragloborotalia kugleri,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
359-U1471A-11H-CC-PAL-FORAM >150,0,5,99.65,99.7,,,,M,,,R,,P,,P,,,,,P,R,,,,,,R,,,,,,,,,P,,,,P,,,,,359,U1471,A,11,H,CC,PAL,FORAM >150
359-U1471A-12H-CC-PAL-FORAM >150,0,5,109.07,109.12,,,,G,,,P,,P,P,R,,,,,,R,,,,,,R,,,,,,,,,P,,,,R,,,,,359,U1471,A,12,H,CC,PAL,FORAM >150
359-U1471A-13H-CC-PAL-FORAM >150,0,5,119.09,119.14,,,,G,,P,R,,P,,P,P,P,,,P,R,,,,,,R,,,,,,,,,P,,,,R,,,,,359,U1471,A,13,H,CC,PAL,FORAM >150
359-U1471A-14H-CC-PAL-FORAM >150,0,5,128.24,128.29,,,,M,,P,,,P,,,,R,,,,P,,,,,,P,,,,,,,,,P,,,,R,,,,,359,U1471,A,14,H,CC,PAL,FORAM >150
359-U1471A-15H-CC-PAL-FORAM >150,0,5,138.05,138.1,,,,M,,,,,P,P,P,,R,,,P,R,P,,,,,R,,,,,,,,,P,,,,R,,,,,359,U1471,A,15,H,CC,PAL,FORAM >150
359-U1471A-16H-CC-PAL-FORAM >150,0,5,147.18,147.23,,,,M,,,,,,,R,R,R,P,,P,C,P,,,,,R,,,,,,,,,R,,,,P,,,,,359,U1471,A,16,H,CC,PAL,FORAM >150
359-U1471A-17H-CC-PAL-FORAM >150,0,5,156.71,156.76,,,,M,,,,,,,R,,R,P,,,C,P,,,,,,,,,,,,,,R,,,,P,,,,,359,U1471,A,17,H,CC,PAL,FORAM >150
359-U1471A-18H-CC-PAL-FORAM >150,0,5,166.5,166.55,,,,P,,,,,,,R,,R,,,,R,P,,,,,R,,,,,,,,,R,,,,R,,,,,359,U1471,A,18,H,CC,PAL,FORAM >150
359-U1471A-19H-CC-PAL-FORAM >150,0,5,175.66,175.71,,,,M,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,359,U1471,A,19,H,CC,PAL,FORAM >150
359-U1471A-20H-CC-PAL-FORAM >150,0,5,185.19,185.24,,,,P,,,,,P,,R,,R,P,,,P,P,P,P,,,R,,,,,,,,,R,,,,R,,,,,359,U1471,A,20,H,CC,PAL,FORAM >150
359-U1471A-21H-CC-PAL-FORAM >150,0,5,194.52,194.57,,,,P,,,,,,,R,,R,,,,,,,,,,R,,,,,,,,,R,,,,R,,,,,359,U1471,A,21,H,CC,PAL,FORAM >150
359-U1471A-22H-CC-PAL-FORAM >150,0,5,204.4,204.45,,,,VP,,,,,,,P,,P,P,,,,P,,,,,,,,,,,,,,P,,,,,,,,,359,U1471,A,22,H,CC,PAL,FORAM >150
359-U1471A-23H-CC-PAL-FORAM >150,0,5,213.91,213.96,,,,M,,,,,,,R,,R,P,,,,,,,,,P,,,,,,,,,R,,,,R,,,,,359,U1471,A,23,H,CC,PAL,FORAM >150
359-U1471A-24H-CC-PAL-FORAM >150,0,5,223.42,223.47,,,,P,,,,,,,R,,R,,,,,,,,,,P,,,,,,,,,R,,,,R,,,,,359,U1471,A,24,H,CC,PAL,FORAM >150
359-U1471A-25H-CC-PAL-FORAM >150,0,5,233.11,233.16,,,,M,,,,,,,P,,R,P,P,,,,,,,,P,,,,,,,,,R,,,,R,,,,,359,U1471,A,25,H,CC,PAL,FORAM >150
359-U1471A-26H-CC-PAL-FORAM >150,0,5,242.31,242.36,,,,P,,,,,,,P,,R,P,,,,,,,,,P,,,,,,,,,R,,,,R,,,,,359,U1471,A,26,H,CC,PAL,FORAM >150
359-U1471A-27H-CC-PAL-FORAM >150,0,5,251.82,251.87,,,,P,,,,,,,,,P,P,,,,P,,,,,P,,,,,,,,,R,,,,R,,,,,359,U1471,A,27,H,CC,PAL,FORAM >150
359-U1471A-28H-CC-PAL-FORAM >150,0,5,261.43,261.48,,,,VP,,,,,,,,,P,P,,,,,,,,,P,,,,,,,,,,,,,P,,,,,359,U1471,A,28,H,CC,PAL,FORAM >150
359-U1471A-29H-CC-PAL-FORAM >150,0,5,270.88,270.93,,,,P,,,,,,,,,P,P,,,,,,,P,,P,,,,,,,,,P,,,,P,,,,,359,U1471,A,29,H,CC,PAL,FORAM >150
359-U1471A-30H-CC-PAL-FORAM >150,0,5,276.11,276.16,,,,VP,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,P,,,,P,,,,,359,U1471,A,30,H,CC,PAL,FORAM >150
359-U1471A-31H-CC-PAL-FORAM >150,0,5,289.36,289.41,,,,P,,,,,,,,,R,P,,,,,,R,P,,P,,,,,,,,,R,,,,P,,,,,359,U1471,A,31,H,CC,PAL,FORAM >150
359-U1471A-32H-5-W 86/87-PAL-FORAM >150,0,1,296.15,296.16,,,,G,,,,,,,R,,R,R,,,,R,,R,P,P,R,,,,,,,,,R,,,,,,,,,359,U1471,A,32,H,5,W,86/87-PAL-FORAM >150
359-U1471A-32H-CC-PAL-FORAM >150,0,5,297.45,297.5,,,,VP,,,,,,,,,,P,,,,,,R,,,P,,,,,,,,,R,,,,P,,,,,359,U1471,A,32,H,CC,PAL,FORAM >150
359-U1471A-33F-CC-PAL-FORAM >150,0,5,298.17,298.22,,,,G,,,,,P,,R,,R,P,,,,P,P,R,P,P,R,,,,,,,,,R,,,,R,,,,,359,U1471,A,33,F,CC,PAL,FORAM >150
359-U1471A-34F-CC-PAL-FORAM >150,0,5,304.24,304.29,,,,P,,,,,,,,,R,,,,,,,R,P,P,R,,,,,,,,,R,,,,R,,,,,359,U1471,A,34,F,CC,PAL,FORAM >150
359-U1471A-35F-CC-PAL-FORAM >150,0,5,305.73,305.78,,,,VP,,,,,,,,,P,,,,,,,R,,,R,,,,,,,,,P,,,,P,,,,,359,U1471,A,35,F,CC,PAL,FORAM >150
359-U1471A-36F-CC-PAL-FORAM >150,0,5,312.02,312.07,,,,G,,,,,,,P,,L,,,,,,,R,,R,C,,,,,,,,,,,,,R,,,,,359,U1471,A,36,F,CC,PAL,FORAM >150
359-U1471A-37F-CC-PAL-FORAM >150,0,5,315.62,315.67,,,,M,,,,,,,,,P,,,,,,P,R,,P,R,,,,,,,,,,,,,R,,,,,359,U1471,A,37,F,CC,PAL,FORAM >150
359-U1471A-38X-CC-PAL-FORAM >150,0,5,321.66,321.71,,,,P,,,,,P,,P,,R,,,,,,,R,,,R,,,,,,,,,P,,,,R,,,,,359,U1471,A,38,X,CC,PAL,FORAM >150
359-U1471A-39X-CC-PAL-FORAM >150,0,5,325.97,326.02,,,,VP,,,,,,,,,P,,,,,,,P,,,P,,,,,,,,,P,,,,P,,,,,359,U1471,A,39,X,CC,PAL,FORAM >150
359-U1471A-40X-CC-PAL-FORAM >150,0,5,335.43,335.48,,,,VP,,,,,,,,,P,,,,,,,P,,,P,,,,,,,,,P,,,,P,,,,,359,U1471,A,40,X,CC,PAL,FORAM >150
359-U1471A-41X-CC-PAL-FORAM >150,0,5,345.64,345.69,,,,VP,,,,,,,,,R,,,,,,,R,P,,R,,,,,,,,,P,,,,R,,,,,359,U1471,A,41,X,CC,PAL,FORAM >150
359-U1471A-42X-1-PAL-FORAM >150,0,5,355.02,355.07,,,,VP,,,,,,,,,R,,,,,,,P,,,R,,,,,,,,,P,,,,R,,,,,359,U1471,A,42,X,1,PAL,FORAM >150
359-U1471A-43X-CC-PAL-FORAM >150,0,5,364.81,364.86,,,,M,,,,,,,,,R,,,,,,,R,P,,C,,,,,,,,,P,,,,A,,,,,359,U1471,A,43,X,CC,PAL,FORAM >150
359-U1471A-44X-CC-PAL-FORAM >150,0,5,375.16,375.21,,,,VG,,,,,,,,,R,P,,,,,,C,P,P,C,,,,,,,,,P,,,,C,,,,,359,U1471,A,44,X,CC,PAL,FORAM >150
359-U1471A-45F-CC-PAL-FORAM >150,0,5,384.46,384.51,,,,VP,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,359,U1471,A,45,F,CC,PAL,FORAM >150
359-U1471A-46X-CC-PAL-FORAM >150,0,5,388.99,389.04,,,,G,,,,,,,,,R,,,,,,,C,,,R,,,,,,,,,R,,,,R,,,,,359,U1471,A,46,X,CC,PAL,FORAM >150
359-U1471A-47X-CC-PAL-FORAM >150,0,5,395.7,395.75,,,,M,,,,,,,,,C,,,,,,,C,,,P,,,,,,,,,P,,,,R,,,,,359,U1471,A,47,X,CC,PAL,FORAM >150
359-U1471A-48X-CC-PAL-FORAM >150,0,5,405.99,406.04,,,,P,,,,,,,,,R,,,,,,,R,,,P,,,,,,,,,P,,,,R,,,,,359,U1471,A,48,X,CC,PAL,FORAM >150
359-U1471A-49X-CC-PAL-FORAM >150,0,5,413.52,413.57,,,,P,,,,,,,,,R,,,,,,P,R,P,,R,,,,,,,,,R,,,,,,,,,359,U1471,A,49,X,CC,PAL,FORAM >150
359-U1471A-50X-CC-PAL-FORAM >150,0,5,423.13,423.18,,,,VP,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,,359,U1471,A,50,X,CC,PAL,FORAM >150
359-U1471A-51X-CC-PAL-FORAM >150,0,5,432.82,432.87,,,,M,,,,,,,,,R,P,P,,,,,P,,,R,,,,,,,,,R,,,,R,,,,,359,U1471,A,51,X,CC,PAL,FORAM >150
359-U1471A-52X-CC-PAL-FORAM >150,0,5,442.63,442.68,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,52,X,CC,PAL,FORAM >150
359-U1471A-53X-CC-PAL-FORAM >150,0,5,452.31,452.36,,,few none identifiable specimens,VP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,53,X,CC,PAL,FORAM >150
359-U1471A-54X-CC-PAL-FORAM >150,0,5,462.07,462.12,,,,G,,,,,,,,,R,P,P,,,,,P,,,P,,,,,,,,,P,,,,R,,,,,359,U1471,A,54,X,CC,PAL,FORAM >150
359-U1471A-55X-CC-PAL-FORAM >150,0,5,471.83,471.88,,,,G,,,,,,,,,R,,P,,,,,R,,,R,,,,,,,,,R,,,,R,,,,,359,U1471,A,55,X,CC,PAL,FORAM >150
359-U1471A-56X-CC-PAL-FORAM >150,0,5,481.71,481.76,,,,G,,,,,,,,,C,,P,,,,,R,,,P,,,,,,,,,R,,,,R,,,,,359,U1471,A,56,X,CC,PAL,FORAM >150
359-U1471A-57X-CC-PAL-FORAM >150,0,5,491.17,491.22,,,,VP,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,P,,,,P,,,,,359,U1471,A,57,X,CC,PAL,FORAM >150
359-U1471A-58X-CC-PAL-FORAM >150,0,5,501.14,501.19,,,,M,,,,,,,,,R,,,,,,,R,,P,P,,,,,,,,,P,,,,R,,,,,359,U1471,A,58,X,CC,PAL,FORAM >150
359-U1471A-60F-CC-PAL-FORAM >150,0,5,516.96,517.01,,,,P,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,60,F,CC,PAL,FORAM >150
359-U1471A-61F-CC-PAL-FORAM >150,0,5,518.19,518.24,,,,M,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,P,,,,R,,,,,359,U1471,A,61,F,CC,PAL,FORAM >150
359-U1471A-62X-CC-PAL-FORAM >150,0,5,522.07,522.12,,,,M,,,,,,,,,P,R,,,,,,P,,,P,,,,,,,,,,,,,R,,,,,359,U1471,A,62,X,CC,PAL,FORAM >150
359-U1471A-63F-CC-PAL-FORAM >150,0,5,528.49,528.54,,,,P,,,,,,,,,R,,,,,,,P,,,,,,,,,,,,R,,,,P,,,,,359,U1471,A,63,F,CC,PAL,FORAM >150
359-U1471A-64X-CC-PAL-FORAM >150,0,5,531.64,531.69,,,,P,,,,,,,,,P,,,,,,,P,R,,,,,,,,,,,R,,,,,,,,,359,U1471,A,64,X,CC,PAL,FORAM >150
359-U1471A-65X-CC-PAL-FORAM >150,0,5,539.5,539.55,,,,VP,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,,,,,P,,,,,359,U1471,A,65,X,CC,PAL,FORAM >150
359-U1471A-66X-CC-PAL-FORAM >150,0,5,549.2,549.25,,,,P,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,P,,,,P,,,,,359,U1471,A,66,X,CC,PAL,FORAM >150
359-U1471A-67X-CC-PAL-FORAM >150,0,5,559.26,559.31,,,,VP,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,359,U1471,A,67,X,CC,PAL,FORAM >150
359-U1471A-68X-CC-PAL-FORAM >150,0,5,569.28,569.33,,,,P,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,,,,,P,,,,,359,U1471,A,68,X,CC,PAL,FORAM >150
359-U1471A-69X-CC-PAL-FORAM >150,0,5,578.77,578.82,,,,VP,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,R,,,,P,,,,,359,U1471,A,69,X,CC,PAL,FORAM >150
359-U1471A-73X-CC-PAL-FORAM >150,0,5,618.28,618.33,,,,VP,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,R,,,,P,,,,,359,U1471,A,73,X,CC,PAL,FORAM >150
359-U1471A-75X-CC-PAL-FORAM >150,0,5,639.14,639.19,,,,P,,,,,,,,,P,R,,,,,,P,,,P,,,,,,,,,P,,,,P,,,,,359,U1471,A,75,X,CC,PAL,FORAM >150
359-U1471A-76X-CC-PAL-FORAM >150,0,5,643.9,643.95,,,,M,,,,,,,,,R,P,,,,,,P,P,,,P,,,,,,,,P,,,,R,,,,,359,U1471,A,76,X,CC,PAL,FORAM >150
359-U1471A-77X-CC-PAL-FORAM >150,0,5,647.67,647.72,,,,P,,,,,,,,,P,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,359,U1471,A,77,X,CC,PAL,FORAM >150
359-U1471A-78X-3-W 42/43-PAL-FORAM >150,0,1,654.2,654.21,,,,M,,,,,,,,,P,,,,,,,R,,P,,R,,,,,,,,R,,,,R,,,,,359,U1471,A,78,X,3,W,42/43-PAL-FORAM >150
359-U1471A-79X-CC-PAL-FORAM >150,0,2,661,661.02,,,,M,,,,,,,,,R,P,,,,,,R,,,,C,,,,,,,,R,,,,R,,,,,359,U1471,A,79,X,CC,PAL,FORAM >150
359-U1471A-80X-CC-W 23/24-PAL-FORAM >150,0,1,669.67,669.68,,,,VP,,,,,,,,,,,,,,,,P,,,,R,,,,,,,,P,,,,P,,,,,359,U1471,A,80,X,CC,W,23/24-PAL-FORAM >150
359-U1471A-81X-CC-PAL-FORAM >150,0,5,674.4,674.45,,,,P,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,P,,,,P,,,,,359,U1471,A,81,X,CC,PAL,FORAM >150
359-U1471A-82X-CC-PAL-FORAM >150,0,5,681.42,681.47,,,,VP,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,359,U1471,A,82,X,CC,PAL,FORAM >150
