Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Comments,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Blackites gladius,Blackites inflatus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calcispheres,Campylosphaera dela,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus rugosus,Ceratolithus atlanticus,Chiasmolithus altus,Chiasmolithus danicus,Chiasmolithus gigas,Chiasmolithus grandis,Chiasmolithus oamaruensis,Chiasmolithus solitus,Chiphragmolithus acanthodes,Chiphragmolithus barbatus,Chiphragmolithus calathus,Clausicoccus fenestratus,Clausicoccus subdistichus,Coccolithus crassus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cruciplacolithus frequens,Cruciplacolithus intermedius,Cruciplacolithus primus,Cruciplacolithus tenuis,Cyclicargolithus abisectus (>11 microns),Cyclicargolithus floridanus,Dictyococcites bisectus,Dictyococcites bisectus (>10 microns),Discoaster asymmetricus,Discoaster backmanii,Discoaster barbadiensis,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster deflandrei,Discoaster delicatus,Discoaster diastypus,Discoaster druggii,Discoaster exilis,Discoaster falcatus/nobilis,Discoaster hamatus,Discoaster kuepperi,Discoaster kugleri,Discoaster lodoensis,Discoaster loeblichii,Discoaster mohleri,Discoaster multiradiatus,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster saipanensis,Discoaster signus,Discoaster sublodoensis,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis group,Ellipsolithus macellus,Emiliania huxleyi,Ericsonia cf. E. robusta,Ericsonia robusta,Fasciculithus alanii,Fasciculithus clinatus,Fasciculithus involutus,Fasciculithus lilianae,Fasciculithus pileatus,Fasciculithus richardii,Fasciculithus schaubi,Fasciculithus spp.,Fasciculithus tympaniformis,Fasciculithus ullii,Gephyrocapsa (<4 microns),Gephyrocapsa (>4 microns),Gephyrocapsa (>5.5 microns),Gephyrocapsa caribbeanica,Girgisia gammation,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera intermedia,Helicosphaera recta,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Heliolithus cantabriae,Heliolithus kleinpellii,Heliolithus riedelii,Hughesius tasmaniae,Isthmolithus recurvus,Minylitha convallis,Nannotetrina  alata gr.,Nannotetrina cristata,Nannotetrina fulgens,Nannotetrina spp.,Neococcolithes dubius,Nicklithus amplificus,Orthorhabdus serratus,Prinsius bisulcus,Prinsius dimorphosus,Prinsius martinii,Prinsius tenuiculus,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Pseudotriquetrorhabdulus inversus,Reticulofenestra asanoi,Reticulofenestra dictyoda (3–10 microns),Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5–7 microns),Reticulofenestra reticulata,Reticulofenestra umbilicus (>14 microns),Rhomboaster spp.,Sphenolithus akropodus,Sphenolithus anarrhopus,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus cuniculus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus distentus,Sphenolithus furcatolithoides morph A,Sphenolithus furcatolithoides morph B,Sphenolithus heteromorphus,Sphenolithus moriformis gr.,Sphenolithus obtusus,Sphenolithus perpendicularis,Sphenolithus predistentus,Sphenolithus radians,Sphenolithus spiniger,Sphenolithus spp.,Sphenolithus strigosus,Toweius callosus,Toweius magnicrassus,Toweius pertusus,Tribrachiatus bramlettei,Tribrachiatus contortus,Tribrachiatus orthostylus,Triquetrorhabdulus carinatus,Triquetrorhabdulus longus,Triquetrorhabdulus rugosus,Zygrhablithus bijugatus,Reticulofenestra erbae,Reticulofenestra isabellae,Chiasmolithus bidens ,Toweius eminens,Toweius tovae,Discoaster salisburgensis,Lithoptychius vertebratoides,Zeugrhabdotus sigmoides,Neochiastozygus junctus,CREATACEOUS,Arkhangelskiella cymbiformis,Ceratolithoides kamptneri,Corollithion kennedyi,Cribrocorona gallica,Eiffellithus eximius,Eiffellithus turriseiffelii,Hayesites irregularis,Helenea chiastia,Lithastrinus grillii,Lithastrinus septenarius,Lithraphidites acutus,Lithraphidites quadratus,Micula murus,Nephrolithus frequens,Quadrum gartneri,Reinhardtites anthophorus,Reinhardtites levis,Tranolithus orionatus,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
371-U1510A-1H-CC-PAL-NANNO,0,10,4.98,5.08,NN21,G,A,T H.selli?,,,,,,C,,,,R,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,F,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1510,A,1,H,CC,PAL,NANNO
371-U1510A-2H-CC-PAL-NANNO,0,10,14.58,14.68,NN19?,G,A,T P lacunosa,,,,,,F,,,,R,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,C,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1510,A,2,H,CC,PAL,NANNO
371-U1510A-3H-CC-PAL-NANNO,0,10,24.27,24.37,NN19,G,A,T D brouweri,,,,,,C,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1510,A,3,H,CC,PAL,NANNO
371-U1510A-4H-CC-PAL-NANNO,0,10,33.41,33.51,NN18,M/G,A,"T D. pentaradiatus, T. D. surculus",,,,,,C,F,,,R,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1510,A,4,H,CC,PAL,NANNO
371-U1510A-5H-CC-PAL-NANNO,0,10,43.14,43.24,NN16,M,A,T D. tamalis,,1,,,,C,C,,,R,,,,,,,,,,,,,,,,,,,,,C,,,,,,,1,,,1,,,,,,R,,,,,,,,,,,,,,,R,,,,,R,1,,2,,,,,,,,,,,,,,,,,,,,,F,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1510,A,5,H,CC,PAL,NANNO
371-U1510A-6H-CC-PAL-NANNO,0,10,52.61,52.71,NN16,M,A,T Sphenolithus spp.,,,,,,C,C,,,R,,,,,,,,,,,,,,,,,,,,,C,,,,,,,2,,,2,,,,,,R,,,,,,,,,,,,,,,,,,,,R,R,,R,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1510,A,6,H,CC,PAL,NANNO
371-U1510A-7H-3-W 75/75-NANNO,0,0,56.26,56.26,NN16?,M,A,,,,,,,C,R,,,R,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,2,,,,,R,R,,R,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1510,A,7,H,3,W,75/75-NANNO
371-U1510A-7H-CC-PAL-NANNO,0,10,62.18,62.28,NN15,M,A,T R. pseudoumbilicus,,,,,,F,R,,,R,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,2,,,,,,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1510,A,7,H,CC,PAL,NANNO
371-U1510A-8H-3-W 36/36-NANNO,0,0,65.24,65.24,NN11?,M,A,,,,,,,C,R,,,R,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,2,2,,,,,,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1510,A,8,H,3,W,36/36-NANNO
371-U1510A-8H-CC-PAL-NANNO,0,10,70.19,70.29,NN11?,M,A,T C. miopelagicus T. C. floridanus,,,,,,C,,,,R,,,,,,,,,,,,,,,,,,,,3,C,,,,,,,,,1,,,,,,,R,,,,,,,,,,,,,,,1,1,,,,R,,,F,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1510,A,8,H,CC,PAL,NANNO
