Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Candeina nitida,Cassigerinella chipolensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina juxtabinaiensis,Dentoglobigerina venezuelana,Globigeriantella insueta,Globigerina bulloides,Globigerinella praesiphonifera,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sacculifer (without sack),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina dehiscens,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praescitula,Globorotalia puncticulata,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotaloides hexagona,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Organic matter,Pyrite,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
354-U1449A-1H-2-W 143/149-FORAM,0,6,2.93,2.99,,,,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",0,0.61,,,,,,,,just scanned for G. ruber pink,,,,,,,,R [A102],,,,R [A102],,,R [A102],,,C [A102],F [A102],,,,,,,,,,,,,,,,C [A102],,,,,,,R [A102],,,,,,,,,,A [A102],,,,,,,F [A102],,,,,,,,,,,,,,354,U1449,A,1,H,2,W,143/149-FORAM
354-U1449A-1H-CC-PAL-FORAM,0,10,6.22,6.32,,,,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",0,0.61,F [A101],VG [P38],VS [F02],100,4,,,,,,,,,,,R [A102],,R [A102],,,,,R [A102],,,C [A102],F [A102],,,,,,,,,,,,,,,,C [A102],,,,,,,R [A102],,,,,,,,,,A [A102],,,,,,,F [A102],,,,,,,,,,,,,,354,U1449,A,1,H,CC,PAL,FORAM
354-U1449A-2H-1-W 70/76-FORAM,0,6,6.9,6.96,,,,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",0,0.61,A [A101],G [P38],M [F02],100,2,,,,,,,,,,,F [A102],,R [A102],,R [A102],,,,F [A102],,A [A102],R [A102],,,,R [A102],,,,,,,,,,,,C [A102],,,,,,,F [A102],R [A102],F [A102],,,,,,,,A [A102],,R [A102],,,,,A [A102],,,R [A102],,,,,,,,,,,354,U1449,A,2,H,1,W,70/76-FORAM
354-U1449A-5H-1-W 104/109-FORAM,0,5,18.04,18.09,,,,,,,,0.61,R [A101],G [P38],L [F02],100,1,,,Very small sample size,,,,,,,,,,R [A102],,R [A102],,,,F [A102],,C [A102],R [A102],,,,,,,,,,,,,,,,R [A102],,,,,,,,F [A102],R [A102],,,,R [A102],,,,F [A102],,,,,,,F [A102],,,,,,,,,,,,,,354,U1449,A,5,H,1,W,104/109-FORAM
354-U1449A-6F-2-W 47/52-FORAM,0,5,21.97,22.02,,,,,,,,0.61,A [A101],G [P38],S [F02],89,3,,,v. small sample size,,,,,,,,R [A102],,,,R [A102],,,,R [A102],,F [A102],,,,,R [A102],,,,,,,,,,,,F [A102],,,,,,,,R [A102],,,,,R [A102],,,,F [A102],,,,,,,F [A102],,,,,,,,,,,,,,354,U1449,A,6,F,2,W,47/52-FORAM
354-U1449A-6F-CC-PAL-FORAM,0,5,24.73,24.78,,,,,,,,,B [A101],,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1449,A,6,F,CC,PAL,FORAM
354-U1449A-7H-CC-PAL-FORAM,0,10,29.41,29.51,,,,,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,C [A101],G [P38],L [F02],98,1,,No visible etching,Large quantities of wood in sample,,R [A102],,,,,,R [A102],,R [A102],,,,,R [A102],,,F [A102],F [A102],,,,C [A102],,,,,,R [A102],,,,,,R [A102],,,,,,R [A102],R [A102],A [A102],,,,,,,,,A [A102],,C [A102],,,,,A [A102],,,,,,,,,,,,,,354,U1449,A,7,H,CC,PAL,FORAM
354-U1449A-11X-CC-PAL-FORAMB,0,2,49,49.02,,,,,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,C [A101],VG [P38],L [F02],88,1,,,,,,,,,,,,,,,R [A102],,,R [A102],C [A102],R [A102],C [A102],R [A102],,,,,,,,,,,,,,,,F [A102],,,,,,R [A102],,F [A102],,,,,,,,,A [A102],,R [A102],,,,,C [A102],,,,,,,,,,,,,,354,U1449,A,11,X,CC,PAL,FORAMB
354-U1449A-12X-CC-PAL-FORAM,0,0,58.7,58.7,,,,,,,,,C [A101],VG [P38],L [F02],,1,1,,,,,,,,,,R [A102],,,,,,,R [A102],,,A [A102],R [A102],,,,,,,,,,,,,,,,F [A102],,,,,,,,F [A102],,,,,,,,,C [A102],,A [A102],,,,,R [A102],,,,R [A102],,,,,,,,,,354,U1449,A,12,X,CC,PAL,FORAM
354-U1449A-12X-CC-PAL-FORAM,0,10,58.7,58.8,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,R [A102],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1449,A,12,X,CC,PAL,FORAM
354-U1449A-13F-CC-PAL-FORAM,0,10,71.34,71.44,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1449,A,13,F,CC,PAL,FORAM
354-U1449A-14F-CC-PAL-FORAM,0,10,74.17,74.27,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1449,A,14,F,CC,PAL,FORAM
354-U1449A-15F-CC-PAL-FORAM,0,9,78.51,78.6,,,,,,,,,R [A101],G [P38],L [F02],98,1,,,"large quantity of sand in sample, forams are rare",,,,,,,,R [A102],,,,,,,,R [A102],,C [A102],R [A102],,,,R [A102],,,,,,,,,,,,R [A102],,,,,,,,R [A102],R [A102],,,,R [A102],,,,C [A102],,,,,,,R [A102],,,,R [A102],,,,,,,,,,354,U1449,A,15,F,CC,PAL,FORAM
