Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum group,Datum group code,Datum type,Datum region,Datum name generic,Datum author year,Datum validation comment,Datum status,Datum comment,Datum age minimum [Ma],Datum age average [Ma],Datum age maximum [Ma],Datum occurrence,Zone name (short),Zone name,Zone author (year),Zone group,Type (upper zone),Genus/species (upper zone),Type (lower zone),Genus/species lower zone),Zone status,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of benthic forams in total foram assemblage [%],"Reworking comment (1= <1%, 2= light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Agglutinated spp. (indeterminate),Amphicoryna scalaris,Anomalinoides globulosus,Bolivina pusilla,Bolivina robusta,Bolivinita quadrilatera,Bulimina aculeata,Bulimina barbata,Bulimina sp.,Bulimina striata gr.,Cassidulina carinata,Cassidulina sp.,Chrysalogonium tenuicostatum,Chilostomella oolina,Cibicides bradyi,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides globulosus,Cibicidoides mundulus,Cibicidoides renzi,Cibicidoides sp.,Cyclammina trullissata,Dentalina communis,Eggerella bradyi,Ehrenbergina pacifica,Epistominella exigua,Favocassidulina favus,Fissurina formosa,Fissurina marginata,Fissurina sp.,Gavelinopsis lobatulus,Globobulimina affinis,Globocassidulina subglobosa,Globogyroidina boninensis,Gyroidinoides neosoldanii,Hoeglundina elegans,Karreriella bradyi,Laticarinina pauperata,Lagena sp.,Lenticulina rotulata,Lenticulina sp. ,Martinottiella communis,Martinottiella hosoyaensis,Melonis barleeanus,Melonis pompilioides,Nonionella sp.,Nodosaria longiscata,Nuttallides umbonifera,Oridorsalis umbonatus,Oolina globosa,Parafissurina sp.,Pleurostomella acuminata,Pleurostomella acuta,Pleurostomella brevis,Pleurostomella sp. A,Pseudonodosaria sp.,Pullenia bulloides,Pullenia quinqueloba,Pullenia simplex,Pullenia sp.,Pyrgo lucernula,Pyrgo murrhina,Pyrgo sp.,Quinqueloculina lamarckiana,Quinqueloculina sp.,Recurvoides sp.,Rhabdammina? sp.,"Rhizammina sp. (Kaiho, 1992)",Rhizammina sp.,Sigmoilopsis schlumbergeri,Sphaeroidina bulloides,Stilostomella abyssorum,Stilostomella gracillima,Stilostomella lepidula,Stilostomella sp.,Tosaia hanzawai,Unidentified benthic forams,Uvigerina graciliformis,Uvigerina hispida,Uvigerina hispidocostata,Uvigerina senticosa,Uvigerina sp.,Shore File Links,File Data
350-U1436A-1H-CC-PAL-FORAM,350,U1436,A,1,1-CC,H,CC,PAL,FORAM,5,4.25,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26 specimens,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,P,,,,,
350-U1436A-2H-CC-PAL-FORAM-FORAM,350,U1436,A,2,2-CC,H,CC,PAL,FORAM-FORAM,5,11.17,11.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22 SPECIMENS IN 1/8 OF WHOLE >150 FRACTION 2 SPECIES TO ENTRY,,,,,,,D,,,,,,,,,R,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,R,,,,,F,,R,,,,,,,,F,,,,,,,,,,,R,,,,,,,,,,F,,,,
350-U1436A-3H-CC-PAL-FORAM27,350,U1436,A,3,3-CC,H,CC,PAL,FORAM27   ,5,16.8,16.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21 specimens on 1/2 sample >150 2 undetermined,,,,,,,R,,,,,,,,,,R,,,,,,,R,,,,,,,,R,R,,,,R,,,,,,,A,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,A,,,,
350-U1436A-4H-CC-PAL-FORAM33,350,U1436,A,4,4-CC,H,CC,PAL,FORAM33   ,5,25.78,25.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 specimens 2 species need entry picked from 1/2 of >150,,,,,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,F,,,,,,
350-U1436A-5H-6-PAL-FORAM74,350,U1436,A,5,5-6,H,6,PAL,FORAM74   ,5,34.6,34.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 specimens. picked from 1/8 of >150,,,,,,,,,,F,,,,,,F,F,,,,,,,A,A,,,,,,,,,,F,,,,,,,,,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,F,,,,
350-U1436A-6H-CC-PAL-FORAM21,350,U1436,A,6,6-CC,H,CC,PAL,FORAM21   ,5,43.87,43.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 Specimens 3 species need entry benthic on 1/8 >150,,,,,,,,,,,,,,,,F,,,,,,,,,F,,,,,,,,,,F,,,,,,,,,A,,,,,A,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,A,,,,
350-U1436A-7H-CC-PAL-FORAM32,350,U1436,A,7,7-CC,H,CC,PAL,FORAM32   ,5,50.36,50.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 specimens BF picked in 1/16 of >150 3 species need entry one unindentified,,,,,,,F,,,,,,,,,,,,F,,,,,,F,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436A-8H-CC-PAL,350,U1436,A,8,8-CC,H,CC,PAL,,5,54.11,54.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 specimens in 1/8 of >150,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,A,,,D,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436A-9H-CC-PAL-FORAM,350,U1436,A,9,9-CC,H,CC,PAL,FORAM,5,59.69,59.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 specimens form 1/16 small pumices layer BF look reworked,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436A-10F-CC-PAL-FORAM,350,U1436,A,10,10-CC,F,CC,PAL,FORAM,5,62.1,62.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21 in whole sample on species to enter,,,,,,,D,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,F,F,,,,F,,,,,,,,,,R,,,,,,,,,,,R,F,,,,,,,,,,,,,
