Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Acrobotrys tritubus,Acrosphaera lappacea,Acrosphaera murrayana,Acrosphaera muse,Acrosphaera spinosa,Acrospyris lingi,Actinomma antarcticum,Actinomma boreale,Actinomma delicatulum,Actinomma haysi,Actinomma leptodermum,Actinomma medianum,Actinomma popofskii,Amphimelissa setosa,Amphirhopalum ypsilon,Amphisphaera nigriniae,Anthocyrtidium angulare,Anthocyrtidium jenghisi,Artobotrys  borealis,Artostrobus annulatus,Artostrobus jorgenseni,Axoprunum acquilonium,Axoprunum angelinum,Axoprunum bispiculum,Axoprunum stauraxonium,Botryostrobus aquilonaris,Botryostrobus auritus/australis,Buccinosphaera invaginata,Calocyclas motoyamai,Calocycletta costata,Calocycletta virginis,Carpocanarium papillosum,Cenosphaera coronata,Cenosphaera coronataformis,Ceratocyrtis galeus,Ceratocyrtis histricosa,Ceratospyris borealis,Circodiscus (?) circularis,Collonosphaera murrayana,Collosphaera huxleyi,Collosphaera macropora,Collosphaera mars,Collosphaera reynoldsi,Collosphaera tuberosa,Cornutella profunda,Cycladophora bicornis,Cycladophora cabrilloensis subhumerus,Cycladophora cornutoides,Cycladophora cosma cosma,Cycladophora davisiana,Cycladophora funakawai,Cycladophora nakasekoi,Cycladophora pliocenica,Cycladophora robusta,Cycladophora sakaii,Cycladophora teocalli,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Cyrtopera languncula,Dendrospyris ? sakaii,Dendrospyris eurus,Dendrospyris futaba,Dendrospyris uruyaensis,Desmospyris stabilis,Diartus hughesi,Diartus pettersoni,Dictyocorine profunda,Dictyocoryne truncatum,Dictyophimus bullatus,Dictyophimus crisiae,Dictyophimus hirundo,Dictyophimus inflatus,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis penultima,Didymocyrtis tetrathalamus tetrathalamus,Didymocyrtis violina,Druppatractus irregularis,Drymyomma elegans,Eucecryphalus cervus,Eucecryphalus gegenbaueri,Euchitonia elegans,Euchitonia furcata,Euchitonia sp.,Eucyrtidium acuminatum,Eucyrtidium anomalum,Eucyrtidium calvertense,Eucyrtidium hexagonatum,Eucyrtidium hexasticum,Eucyrtidium inflatum,Eucyrtidium matuyamai,Eucyrtidium teuscheri group,Excentrodiscus japonisus,Heliodiscus asteriscus,Hexacontium akitaensis,Hexacontium arachnoidale,Hexacontium dionysus,Hexacontium enthacanthum,Hexacontium laevigatum,Hexacontium minerva,Hexacontium parviakitaensis,Hymeniastrum euclidis,Joergensenium apollo,Lamprocyrtis hannai,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Larcopyle butschlii,Larcopyle polyacantha group,Larcopyle pylomaticus,Larcopyle weddelium,Lipmanella dictyoceras,Lipmanella redondoensis,Liriospyris reticulata,Lithelius barbatus Motoyama,Lithelius klingi,Lithelius minor,Lithocampe subligata,Lithomelissa setosa,Lithomelissa stigi,Lithopera bacca,Lithopera renzae,Lophophaena clevei,Lophophaena cylindrica,Lophospyris pentagona hyperborea,Lophospyris pentagona pentagona,Lychnocanoma kamtschatica,Lychnocanoma magnacornuta,Lychnocanoma nipponica nipponica,Lychnocanoma parallelipes,Lychnocanoma sakaii Morley and Nigrini,Lychnodictyum audax,Octopyle stenozona,Octopyle/Tetrapyle Group,Peripyramis circumtexta,Peripyramis woodringi,Phormospyris scaphipes,Phormospyris stabilis stabilis,Phormostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Phormostichoartus platycephala,Phorticium pylonium group,Plectacantha cremastoplegma,Plectacantha oikiskos,Porodiscus spp.,Pseudocubus obeliscus,Pseudodictyophimus gracilipes,Pterocanium grandiporus,Pterocanium korotnevi,Pterocanium praetextum,Pterocanium prismatium,Pterocanium trilobum,Pterocorys campanula,Pterocorys clausus,Pterocorys hertwigii,Pterocorys minythorax,Pterocorys zancleus,Saccospyris conithorax,Saturnalis circularis,Siphocampe arachnea group,Sphaeropyle antarctica,Sphaeropyle langii,Sphaeropyle robusta,Spirocyrtis scalaris,Spongaster pentas,Spongaster tetras irregularis,Spongaster tetras tetras,Spongocore puella,Spongodiscus cauleti,Spongodiscus resurgens,Spongodiscus sp.,Spongodiscus spp.,Spongopyle osculosa,Spongotrochus glacialis,Stichocorys delmontensis,Stichocorys peregrina,Stichocorys seriata,Stichocorys spp. group,Stichocorys wolffii,Stylacontarium bispiculum,Stylatractus universus,Stylochlamidium  venustum,Stylochlamydium bensoni,Stylodictya aculeata,Stylodictya multispina,Stylodictya tenuispina,Stylosphaera magnaporulosa,Thecosphaera akitaensis,Thecosphaera japonica,Thecosphaera miocenica,Thecosphaera pseudojaponica,Theocorys redondoensis,Theocorythium trachelium,Theocorythium vetulum,Theocotyle conica,Zygospyris productus,Comments,Ship File Links,Shore File Links,File Data
346-U1427A-1H-CC-PAL,0,5,1.74,1.79,,,,G ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,F ,F ,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1427A-2H-CC-PAL,0,5,11.29,11.34,,,,G ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,
346-U1427A-3H-CC-PAL,0,5,21.39,21.44,,,"T Lychnocanoma sakaii (Itaki et al., 2007)",G ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,
346-U1427A-4H-CC-PAL,0,5,30.79,30.84,,,,G ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,A ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1427A-5H-CC-PAL,0,5,39.46,39.51,,,,G ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,F ,F ,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,P ,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1427A-6H-CC-PAL,0,5,50.03,50.08,,,"T Amphimelissa setosa (Itaki et al., 2007)",M ,R ,,,,,,,,,,,,,,R ,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,C ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1427A-7H-CC-PAL,0,5,59.12,59.17,,,,G ,R ,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,F ,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1427A-8H-CC-PAL,0,5,68.52,68.57,,,,G ,R ,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1427A-9H-CC-PAL,0,5,78.14,78.19,,,,G ,R ,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,
346-U1427A-10H-CC-PAL,0,5,88.07,88.12,,,,G ,F ,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,,
