Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Calcidiscus leptoporus,Calcidiscus macintyrei,Catinaster coalitus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Florisphaera profunda,Helicosphaera carteri,Helicosphaera sellii,Minylitha convallis,Nicklithus amplificus,Pontosphaera spp.,Reticulofenestra pseudoumbilicus,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus moriformis,Syracosphaera spp.,Triquetrorhabdulus rugosus,Umbilicosphaera sibogae,Comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name
349-U1431D-1H-CC-PAL-NANNO,0,0,3.15,3.15,NN21 [G12],G [P33],F [A12],F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,R,,,,,,,,,,,,,,,R,,R,,,,349,U1431,D,1,H,CC,PAL,NANNO,
349-U1431D-2H-CC-PAL-NANNO,0,0,12.15,12.15,NN19 [G12],P [P33],F [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,CC,PAL,NANNO,
349-U1431D-3H-CC-PAL-NANNO,0,0,22.09,22.09,NN19 [G12],p [P33],R [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,3,H,CC,PAL,NANNO,
349-U1431D-4H-CC-PAL-NANNO,0,5,32.08,32.13,NN19 [G12],G [P33],F [A12],F,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,C,F,,,,,,R,,R,,R,,,,,R,,R,,,,349,U1431,D,4,H,CC,PAL,NANNO,
349-U1431D-5H-6-W 47/47-BIO,0,0,39.67,39.67,NN19 [G12],M [P33],A [A12],C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,,,,,,,,F,,R,,,,,F,,F,,,,349,U1431,D,5,H,6,W,47/47-BIO,
349-U1431D-5H-CC-PAL-NANNO,0,5,41.47,41.52,NN19 [G12],M [P33],R [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,5,H,CC,PAL,NANNO,
349-U1431D-6H-CC-PAL-NANNO,0,5,50.9,50.95,NN19 [G12],M [P33],R [A12],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,6,H,CC,PAL,NANNO,
349-U1431D-7H-CC-PAL-NANNO,0,5,58.53,58.58,NN19 [G12],M [P33],R [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,7,H,CC,PAL,NANNO,
349-U1431D-8H-1-W 50/50-NANNO84   ,0,0,60.7,60.7,NN19 [G12],M [P33],A [A12],C,F,,,,,,,,,R,,C,,,,,,,,,,,C,,,C,,,,,F,C,C,,,,R,F,,,F,R,F,,,,,C,,F,Abundant reworked Discoaster,,,349,U1431,D,8,H,1,W,50/50-NANNO84,
349-U1431D-8H-CC-PAL-NANNO,0,4,69.5,69.54,NN19 [G12],M [P33],R [A12],R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,R,,R,,,,,,349,U1431,D,8,H,CC,PAL,NANNO,
349-U1431D-9H-CC-PAL-NANNO,0,6,78.85,78.91,NN19 [G12],G [P33],F [A12],R,R,,,R,,,,,,,,R,,,,,,,,,,,R,,,,,R,,,R,R,F,R,,,R,R,,,R,,R,,,,,,,R,,,,349,U1431,D,9,H,CC,PAL,NANNO,
349-U1431D-10H-CC-PAL-NANNO,0,5,89.01,89.06,NN19 [G12],G [P33],C [A12],C,,,,,,,,,,,,R,,,,,,,,,,,C,,,,,,,,,A,R,R,,,,R,,,,,,,,,,,,,,,,349,U1431,D,10,H,CC,PAL,NANNO,
349-U1431D-11H-5-PAL-NANNO,0,5,96.1,96.15,NN19 [G12],VG [P33],A [A12],F,F,,,,,,,R,,,,R,,,,,,,,,,,F,,,R,,R,,,,A,C,F,,,,,,,,F,R,,,,R,,,,,,,349,U1431,D,11,H,5,PAL,NANNO,
349-U1431D-12H-7-PAL-NANNO,0,8,107.57,107.65,NN18 [G12],VG [P33],A [A12],R,R,,,,,,,,,,,F,,,,,,,,,,,F,,,R,,R,,R,,A,R,,,,,,,,,,,,,,,,,,"Discoaster species are overgrown and not be identified. 
NN18 was assigned roughly based on abundant Discoaster specimens ",,,349,U1431,D,12,H,7,PAL,NANNO,
