Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Emiliania huxleyi,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (closed >4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra sp. (>7 microns),Reticulofenestra sp. (5-7 microns),Reticulofenestra sp. (3-5 microns),Reticulofenestra sp. (<3 microns),Cyclicargolithus floridanus,Cyclicargolithus abisectus,Reticulofenestra bisecta,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calcidiscus tropicus +grill,Umbilicosphaera sp.,Umbilicosphaera rotula,Umbilicosphaera jafari,Coronocyclus nitescens,Hayaster perplexus,Oolithotus sp.,Tetralithoides quadrilaminata,Clausicoccus fenestratus,Hughesius tasmaniae,Hughesius gizoensis,Helicosphaera carteri,Helicosphaera sellii,Helicosphaera intermedia,Helicosphaera euphratis,Helicosphaera ampliaperta,Helicosphaera obliqua,Helicosphaera recta,Pontosphaera sp.,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera globulata,Rhabdosphaera clavigera,Syracosphaera pulchra,Braarudosphaera bigelowii,Discosphaera tubifera,Umbellosphaera tenuis,Holodiscolithus macroporus,Calciosolenia sp.,Coronosphaera mediterranea,Ilselithina fusa,Discoaster brouweri,Discoaster asymmetricus,Discoaster tamalis,Discoaster triradiatus,Discoaster calcaris,Discoaster altus,Discoaster sp. cf. D. brouweri,Discoaster surculus,Discoaster variabilis,Discoaster exilis,Discoaster deflandrei,Discoaster bollii,Discoaster musicus,Discoaster petaliformis,Discoaster kugleri,Discoaster sp. cf. D. variabilis,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster berggrenii ssp. extensus,Discoaster bergenii,Discoaster bellus,Discoaster hamatus,Catinaster coalitus,Catinaster calyculus,Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus pseudoheteromorphus,Sphenolithus belemnos,Sphenolithus conicus,Sphenolithus ciperoensis,Sphenolithus calyculus,Sphenolithus delphix,Sphenolithus capricornutus,Ceratolithus cristatus,Ceratolithus armatus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Nicklithus amplificus,Orthorhabdus rugosus,Orthorhabdus striatus,Orthorhabdus serratus,Orthorhabdus rioi,Triquetrorhabdulus carinatus,Triquetrorhabdulus milowii,Triquetrorhabdulus challengeri,Minylitha convallis,Florisphaera profunda,Thoracosphaera heimii,Scrippsiella sp.,Thoracosphaera sp.,Ascidian spicules,Reworked species,Nannofossil comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
359-U1467B-1H-CC-PAL,0,5,3.41,3.46,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE SIMILAR WITH 359-U1467A-1H-CC,,,,359,U1467,B,1,H,CC,PAL,
359-U1467B-2H-CC-PAL,0,5,13.14,13.19,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE SIMILAR WITH 359-U1467A-2H-CC,,,,359,U1467,B,2,H,CC,PAL,
359-U1467B-3H-CC-PAL,0,5,22.47,22.52,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE SIMILAR WITH 359-U1467A-3H-CC,,,,359,U1467,B,3,H,CC,PAL,
359-U1467B-4H-1-W,50,50,23,23,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,A,R,A,,F,,,R,F,,,,,F,,C,,,,,F,,,,F,,,,,,F,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,R,,,,,,359,U1467,B,4,H,1,W,
359-U1467B-4H-2-W,50,50,24.5,24.5,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,F,R,A,,R,,R,R,F,,,,,F,,F,,,,,F,,,,,,,,,,F,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,359,U1467,B,4,H,2,W,
359-U1467B-4H-3-W,50,50,26,26,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,C,,A,,R,,,R,R,F,,,,R,,R,,,,,F,,,,R,,,,,,R,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,R,,,,,,359,U1467,B,4,H,3,W,
359-U1467B-4H-4-W,50,50,27.5,27.5,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,A,R,A,,R,,,R,R,F,,,,F,,,,,,,F,,,,,,,,,,F,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,R,,,,,,359,U1467,B,4,H,4,W,
359-U1467B-4H-5-W,50,50,29,29,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,C,,F,,A,,,,A,C,,,,C,,,,,,,F,,,,,,,,,,F,,,,,,,F,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,359,U1467,B,4,H,5,W,
359-U1467B-4H-6-W,50,50,30.5,30.5,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,F,,R,,C,,,,C,C,,,,R,,,,,,,F,,,,F,,,,,,R,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,359,U1467,B,4,H,6,W,
359-U1467B-4H-CC-PAL,0,5,32.05,32.1,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE SIMILAR WITH 359-U1467A-4H-CC,,,,359,U1467,B,4,H,CC,PAL,
