Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Comments,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Blackites gladius,Blackites inflatus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calcispheres,Campylosphaera dela,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus rugosus,Ceratolithus atlanticus,Chiasmolithus altus,Chiasmolithus danicus,Chiasmolithus gigas,Chiasmolithus grandis,Chiasmolithus oamaruensis,Chiasmolithus solitus,Chiphragmolithus acanthodes,Chiphragmolithus barbatus,Chiphragmolithus calathus,Clausicoccus fenestratus,Clausicoccus subdistichus,Coccolithus crassus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cruciplacolithus frequens,Cruciplacolithus intermedius,Cruciplacolithus primus,Cruciplacolithus tenuis,Cyclicargolithus abisectus (>11 microns),Cyclicargolithus floridanus,Dictyococcites bisectus,Dictyococcites bisectus (>10 microns),Discoaster asymmetricus,Discoaster backmanii,Discoaster barbadiensis,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster deflandrei,Discoaster delicatus,Discoaster diastypus,Discoaster druggii,Discoaster exilis,Discoaster falcatus/nobilis,Discoaster hamatus,Discoaster kuepperi,Discoaster kugleri,Discoaster lodoensis,Discoaster loeblichii,Discoaster mohleri,Discoaster multiradiatus,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster saipanensis,Discoaster signus,Discoaster sublodoensis,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis group,Ellipsolithus macellus,Emiliania huxleyi,Ericsonia cf. E. robusta,Ericsonia robusta,Fasciculithus alanii,Fasciculithus clinatus,Fasciculithus involutus,Fasciculithus lilianae,Fasciculithus pileatus,Fasciculithus richardii,Fasciculithus schaubi,Fasciculithus spp.,Fasciculithus tympaniformis,Fasciculithus ullii,Gephyrocapsa (<4 microns),Gephyrocapsa (>4 microns),Gephyrocapsa (>5.5 microns),Gephyrocapsa caribbeanica,Girgisia gammation,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera intermedia,Helicosphaera recta,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Heliolithus cantabriae,Heliolithus kleinpellii,Heliolithus riedelii,Hughesius tasmaniae,Isthmolithus recurvus,Minylitha convallis,Nannotetrina  alata gr.,Nannotetrina cristata,Nannotetrina fulgens,Nannotetrina spp.,Neococcolithes dubius,Nicklithus amplificus,Orthorhabdus serratus,Prinsius bisulcus,Prinsius dimorphosus,Prinsius martinii,Prinsius tenuiculus,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Pseudotriquetrorhabdulus inversus,Reticulofenestra asanoi,Reticulofenestra dictyoda (3–10 microns),Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5–7 microns),Reticulofenestra reticulata,Reticulofenestra umbilicus (>14 microns),Rhomboaster spp.,Sphenolithus akropodus,Sphenolithus anarrhopus,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus cuniculus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus distentus,Sphenolithus furcatolithoides morph A,Sphenolithus furcatolithoides morph B,Sphenolithus heteromorphus,Sphenolithus moriformis gr.,Sphenolithus obtusus,Sphenolithus perpendicularis,Sphenolithus predistentus,Sphenolithus radians,Sphenolithus spiniger,Sphenolithus spp.,Sphenolithus strigosus,Toweius callosus,Toweius magnicrassus,Toweius pertusus,Tribrachiatus bramlettei,Tribrachiatus contortus,Tribrachiatus orthostylus,Triquetrorhabdulus carinatus,Triquetrorhabdulus longus,Triquetrorhabdulus rugosus,Zygrhablithus bijugatus,Reticulofenestra erbae,Reticulofenestra isabellae,Chiasmolithus bidens ,Toweius eminens,Toweius tovae,Discoaster salisburgensis,Lithoptychius vertebratoides,Zeugrhabdotus sigmoides,Neochiastozygus junctus,CREATACEOUS,Arkhangelskiella cymbiformis,Ceratolithoides kamptneri,Corollithion kennedyi,Cribrocorona gallica,Eiffellithus eximius,Eiffellithus turriseiffelii,Hayesites irregularis,Helenea chiastia,Lithastrinus grillii,Lithastrinus septenarius,Lithraphidites acutus,Lithraphidites quadratus,Micula murus,Nephrolithus frequens,Quadrum gartneri,Reinhardtites anthophorus,Reinhardtites levis,Tranolithus orionatus,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name
371-U1509A-1R-CC-PAL-NANNO,0,10,0,0.1,NN20/NN21,G,A,T P. lacunosa,,,,,,C,,,,F,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,1,R,CC,PAL,NANNO,
371-U1509A-2R-CC-PAL-NANNO,0,10,1.16,1.26,NN19,G,A,,,,,,,F,,,,R,,,,,,,3,,,,,2,,,,,,,,,F,2,,,,,R,F,R,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,2,1,,,,,,,1,,,,,,,,,,,,,R,2,,,,,,,,4,,,,,,,,,,,,,,R,,,2,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,2,R,CC,PAL,NANNO,
371-U1509A-3R-CC-PAL-NANNO,0,10,10.49,10.59,NN19,G,A,T C. miopelagicus T C. floridanus,,,,,,F,3,,,R,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,F,,,,1,,,,,,,,,,,,,,,,,,,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,3,R,CC,PAL,NANNO,
371-U1509A-4R-1-W 75/75-NANNO,0,0,20.15,20.15,NN6,G,A,,,,,,,F,F,,R,R,,,,,,,,,,,,,,,,,,,,F,C,,,,,,,C,1,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,4,R,1,W,75/75-NANNO,
371-U1509A-4R-CC-PAL-NANNO,0,10,22.36,22.46,NN6,G,A,B C. macintyrei,,,,,,F,F,R,F,R,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,1,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,4,R,CC,PAL,NANNO,
371-U1509A-5R-CC-PAL-NANNO,0,10,33.94,34.04,NN6,G/M,A,,,,,,,R,,F,F,F,,,,,,,,,,,,,,,,,,,,F,C,1,,,,,,C,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VR,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,5,R,CC,PAL,NANNO,
371-U1509A-6R-CC-PAL-NANNO,0,10,38.7,38.8,NN6,G/M,A,,,,,,,F,,F,F,R,,,,,,,,,,,,,,,,,,,,F,C,1,,,,,,C,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,6,R,CC,PAL,NANNO,
371-U1509A-7R-2-W 75/75-NANNO,0,0,50.65,50.65,NN6,G/M,A,T S. heteromorphus,,,,,,F,,F,R,2,,,,,,,,,,,,,,,,,,,,F,C,,,,,,,C,,1,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,7,R,2,W,75/75-NANNO,
371-U1509A-7R-CC-PAL-NANNO,0,10,53.43,53.53,NN4,M,A,T D. deflandrei B S. heteromorphus,,,,,,R,,R,,R,,,,,,,,,,,,,,,,,,,,F,C,1,,,,,,C,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,7,R,CC,PAL,NANNO,
371-U1509A-8R-CC-PAL-NANNO,0,10,61.68,61.78,NN3/NN4,M,A,T S. belemnos,,,,,,,,,,R,,,,,,,1,,,1,,1,,,,,,,,F,C,1,,,,,,C,R,R,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,F,,,,,,,,,,,,,,VR,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,8,R,CC,PAL,NANNO,
371-U1509A-9R-CC-PAL-NANNO,0,10,72.7,72.8,NN3,M,A,B S.belemnos T .disbelemnos,,,,,,,,,,R,,,,,,,1,,,,,1,,,,,,,,R,C,1,,,,,,C,R,R,,,,,,,,F,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,VR,VR,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,1,,,1,,,,,F,,,,,,,,,,,,,,VR,,,VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,9,R,CC,PAL,NANNO,
371-U1509A-10R-CC-PAL-NANNO,0,10,82.42,82.52,NN2,M,A,B S. disbelemnos,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,C,VR,,,,,1,C,R,R,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VR,VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VR,,,,,,,,,R,,,,,F,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,10,R,CC,PAL,NANNO,
371-U1509A-11R-CC-PAL-NANNO,0,10,90.08,90.18,NN1,M,A,,,,,,,,,,,R,,,,,,,1,,,1,,VR,,,,,,,,R,C,1,,,,,,C,F,F,,,,,,,,R,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,VR,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,R,,,,,,,,,,,,2,,F,,,,,2,,,,,,,,,,1,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,11,R,CC,PAL,NANNO,
371-U1509A-12R-CC-PAL-NANNO,0,10,105.01,105.11,NN1,M,A,,,,,,,,,,,R,,,,,,,1,,,1,,R,,,,,,,,R,C,VR,,,,,,C,C,C,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,12,R,CC,PAL,NANNO,
371-U1509A-13R-CC-PAL-NANNO,0,10,114.63,114.73,NN1,M,A,T S. ciperoensis,,,,,,,,,,R,,,,,,,VR,,,1,,R,,,,,,,,R,C,VR,,,,,1,C,C,C,,,1,,,,,R,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,F,,,,,,,,,,,,1,,F,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,13,R,CC,PAL,NANNO,
371-U1509A-14R-2-W 70/70-NANNO,0,0,118,118,NP25,M,A,,,,,,,,,,,R,,,,,,,VR,,,,,R,,,,,,,VR,R,C,,,,,,R,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,2,,,,,,,,F,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,14,R,2,W,70/70-NANNO,
371-U1509A-14R-CC-PAL-NANNO,0,10,122.2,122.3,NP25,M,A,,,,,,,,,,,R,,,,,,,R,,,,,R,,,,,VR,,VR,R,C,VR,,,,,VR,C,C,C,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,F,,,,,,3,,,,,,,,F,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,14,R,CC,PAL,NANNO,
