Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Emiliania huxleyi,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (closed >4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra sp. (>7 microns),Reticulofenestra sp. (5-7 microns),Reticulofenestra sp. (3-5 microns),Reticulofenestra sp. (<3 microns),Cyclicargolithus floridanus,Cyclicargolithus abisectus,Reticulofenestra bisecta,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calcidiscus tropicus +grill,Umbilicosphaera sp.,Umbilicosphaera rotula,Umbilicosphaera jafari,Coronocyclus nitescens,Hayaster perplexus,Oolithotus sp.,Tetralithoides quadrilaminata,Clausicoccus fenestratus,Hughesius tasmaniae,Hughesius gizoensis,Helicosphaera carteri,Helicosphaera sellii,Helicosphaera intermedia,Helicosphaera euphratis,Helicosphaera ampliaperta,Helicosphaera obliqua,Helicosphaera recta,Pontosphaera sp.,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera globulata,Rhabdosphaera clavigera,Syracosphaera pulchra,Braarudosphaera bigelowii,Discosphaera tubifera,Umbellosphaera tenuis,Holodiscolithus macroporus,Calciosolenia sp.,Coronosphaera mediterranea,Ilselithina fusa,Discoaster brouweri,Discoaster asymmetricus,Discoaster tamalis,Discoaster triradiatus,Discoaster calcaris,Discoaster altus,Discoaster sp. cf. D. brouweri,Discoaster surculus,Discoaster variabilis,Discoaster exilis,Discoaster deflandrei,Discoaster bollii,Discoaster musicus,Discoaster petaliformis,Discoaster kugleri,Discoaster sp. cf. D. variabilis,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster berggrenii ssp. extensus,Discoaster bergenii,Discoaster bellus,Discoaster hamatus,Catinaster coalitus,Catinaster calyculus,Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus pseudoheteromorphus,Sphenolithus belemnos,Sphenolithus conicus,Sphenolithus ciperoensis,Sphenolithus calyculus,Sphenolithus delphix,Sphenolithus capricornutus,Ceratolithus cristatus,Ceratolithus armatus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Nicklithus amplificus,Orthorhabdus rugosus,Orthorhabdus striatus,Orthorhabdus serratus,Orthorhabdus rioi,Triquetrorhabdulus carinatus,Triquetrorhabdulus milowii,Triquetrorhabdulus challengeri,Minylitha convallis,Florisphaera profunda,Thoracosphaera heimii,Scrippsiella sp.,Thoracosphaera sp.,Ascidian spicules,Reworked species,Nannofossil comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
359-U1466B-2R-2-W 20/21-PAL,0,1,315.67,315.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barren,,,,359,U1466,B,2,R,2,W
359-U1466B-2R-CC-PAL,0,5,316.57,316.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barren,,,,359,U1466,B,2,R,CC,P
359-U1466B-3R-1-W,14,14,323.74,323.74,,,M,C,,,,,,,,,F,C,A,,,,,,,,,,,,,A,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,3,R,1,W
359-U1466B-4R-1-W,46,46,333.76,333.76,,,M,F,,,,,,,,,F,C,A,,,,,,,,,,,,,A,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,4,R,1,W
359-U1466B-6R-1-W,35,35,353.15,353.15,,,M,R,,,,,,,,,F,C,A,,,,,,,,,,,,,A,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,6,R,1,W
359-U1466B-7R-1-W,20,20,362.7,362.7,,,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1466,B,7,R,1,W
359-U1466B-7R-1-W,78,78,363.28,363.28,,,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1466,B,7,R,1,W
359-U1466B-7R-CC-PAL,0,1,363.73,363.74,,,M,C,,,,,,,,,R,C,C,,,,,,,,,,,,,F,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,7,R,CC,P
359-U1466B-8R-CC-PAL,0,2,373.58,373.6,,,M,C,,,,,,,,,C,A,A,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,8,R,CC,P
359-U1466B-9R-1-W,52,52,382.52,382.52,,,P,R,,,,,,,,,,R,R,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,9,R,1,W
