Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum region,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Fragmentation,Fragmentation rank [auto-pop],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Beella digitata,Beella praedigitata,Candeina nitida,Dentoglobigerina altispira,Dentoglobigerina globosa,Globigerina bulloides,Globigerina conglomerata,Globigerina eamesi,Globigerina falconensis,Globigerinella aequilateralis,Globigerinella calida,Globigerinella obesa,Globigerinella pseudobesa,Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides kennetti,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miocenica,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta (dextral),Neogloboquadrina pachyderma (sin.),Orbulina suturalis,Orbulina universa,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Turborotalita humilis,Turborotalita quinqueloba,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
353-U1443A-1H-CC-PAL-FORAMP,0,5,1.77,1.82,,,,,,,,,,0.12,0.4,G,D,96.7,,,,,,,,R,,,F,A,,,,F,,,R,,F,,,,,,,R,C,F,,,A,,,R,,,R,,,F,,,,A,,,,,,,,F,,R,C,F,R,,,,,,,,A,,,,,C,,,,C,,,F,,,,,,,,353,U1443,A,1,H,CC,PAL,
353-U1443A-2H-CC-PAL-FORAMP,0,5,11.46,11.51,,,,,,,,,,0.61,1.88,G,D,96.7,,,,,,,,R,,,F,,,,,,,,F,,F,,,,,,,,C,C,,,C,,,,,,,,,,,,,C,,,,,,,,,R,R,F,,,,,,,,,,A,,,R,,F,,,,C,,,F,,,,,,,,353,U1443,A,2,H,CC,PAL,
353-U1443A-3H-CC-PAL-FORAMP,0,7,21.25,21.32,,,,,,,,,,1.88,1.98,G,D,98.0,,,,,,,,,,,F,,,,,,,,F,,,,F,,,,,,A,A,,,C,,,,,,,,,,,,,C,,,,,,,,,R,,,,,,,,,,,C,A,,,,R,F,,,,C,,,F,,,,,,,,353,U1443,A,3,H,CC,PAL,
353-U1443A-4H-CC-PAL-FORAMP,0,4,30.36,30.4,,,,,,,,,,2.39,3.33,G,D,97.8,,,,,,,,,,,,,,,,,,,,,R,F,F,,,,,,,C,,,C,,,,,,,,,,,R,,C,,,,,,,,,,,F,,R,,,,,,,F,A,C,,,,F,,,,C,,,F,,,,,,,,353,U1443,A,4,H,CC,PAL,
353-U1443A-5H-CC-PAL-FORAMP,0,8,39.93,40.01,,,,,,,,,,3.58,3.6,M,D,81.3,,,,,,,,,F,,,,,,,,,,,,,F,,,,R,,,,F,,,F,,,,,,,,,,,,,A,,,,,,,,,,,A,,,,,,,,,F,,,,,F,F,,,,,,,C,,A,,,,,,353,U1443,A,5,H,CC,PAL,
353-U1443A-6H-CC-PAL-FORAMP,0,7,49.57,49.64,,,,,,,,,,4.53,,G,D,98.6,,,,,,,,,C,,,,,,,,,,,,F,F,,,,F,,,,F,,,A,,,,,,F,,,,,F,R,A,,,,,,,,,,,C,,,,,,,,F,C,,,,,,F,,,,,C,,C,C,A,,,,,,353,U1443,A,6,H,CC,PAL,
353-U1443A-7H-CC-PAL-FORAMP,0,5,58.94,58.99,,,,,,,,,,4.53,5.92,G,D,90.7,,,,,,,,,C,,,,,,,,,,,,,F,,,,,,,,R,,,F,,,,,,,,,,,,,C,,F,,R,,,,,,,F,,,,,,,,R,F,,,,,,F,,,,,,,R,C,F,,,,,,353,U1443,A,7,H,CC,PAL,
353-U1443A-8H-CC-PAL-FORAMP,0,3,68.4,68.43,,,,,,,,,,5.92,,G,D,97.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,C,F,,,,,,,,,,,,C,,C,,C,,,,,,,F,,,,,,,,,F,,,,,,C,,,,,C,,,C,A,,,,,,353,U1443,A,8,H,CC,PAL,
353-U1443A-9H-CC-PAL-FORAMP,0,7,77.67,77.74,,,,,,,,,,4.53,9.83,G,D,91.9,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,R,,,F,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,C,,,,,,C,,,,,C,,,A,C,,,,,,353,U1443,A,9,H,CC,PAL,
353-U1443A-10H-CC-PAL-FORAMP,0,5,87.28,87.33,,,,,,,,,,6.77,8.58,M,D,94.9,,,,,,,,,F,,,,,,,,,,,,,C,,,,C,,,,C,,,,F,,,,,,,,,,,,,,,,F,,,,,,,,,R,,,,R,,F,C,,,C,,,R,,,,,,,,,C,,,,,,353,U1443,A,10,H,CC,PAL,
