Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Chiasmolithus grandis,Clausicoccus subdistichus,Coccolithus eopelagicus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Cyclicargolithus luminis,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster nodifer,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster sanmiguelensis,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster tanii,Discoaster triradiatus,Discoaster variabilis,Discoaster williamsii,Emiliania huxleyi,Florisphaera profunda,Gephyrocapsa omega,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (>5.5 microns),Gephyrocapsa sp. (4-5.5 microns),Helicosphaera ampliaperta,Helicosphaera bramlettei,Helicosphaera burkei,Helicosphaera carteri,Helicosphaera compacta,Helicosphaera euphratis,Helicosphaera sellii,Lanternithus minutus,Minylitha convallis,Nicklithus amplificus,Orthorhabdus serratus,Pontosphaera exilis,Pontosphaera millepuncta,Pontosphaera multipora,Pontosphaera punctosa,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra bisecta (>10 microns),Reticulofenestra bisecta (5-10 microns),Reticulofenestra circus,Reticulofenestra erbae,Reticulofenestra lockeri,Reticulofenestra pseudoumbilicus,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Reticulofenestra umbilicus,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus distentus,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus pospichalii,Sphenolithus predistentus,Sphenolithus pseudoheteromorphus,Sphenolithus spp.,Syracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus longus,Triquetrorhabdulus rugosus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
368-U1505C-1H-CC-PAL(15-20)-NANNO,0,5,8.18,8.23,NN21 [G12],G [P33],A [A12],,,,F,C,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,A,,C,,C,,,,C,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,C,,,,,F,,,,,,368,U1505,C,1,H,CC,PAL(15-20),NANNO
368-U1505C-2H-CC-PAL(19-24)-NANNO,0,5,17.69,17.74,NN21 [G12],G [P33],A [A12],,,,,C,,,,,,,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,,C,,,,C,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,C,,,,,F,,,,,,368,U1505,C,2,H,CC,PAL(19-24),NANNO
368-U1505C-3H-CC-PAL(17-22)-NANNO,0,5,25.99,26.04,NN20 [G12],G [P33],A [A12],,,,,C,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,C,,A,,,,F,,,,,,,,,,,,F,,,,,,,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,3,H,CC,PAL(17-22),NANNO
368-U1505C-4H-CC-PAL(30-35)-NANNO,0,5,37.12,37.17,NN19 [G12],G [P33],A [A12],,,,F,C,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,A,,C,,,,,,C,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,368,U1505,C,4,H,CC,PAL(30-35),NANNO
368-U1505C-5H-CC-PAL-NANNO,0,5,46.46,46.51,NN19 [G12],G [P33],A [A12],,,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,C,,,,C,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,368,U1505,C,5,H,CC,PAL,NANNO
368-U1505C-6H-CC-PAL-NANNO,0,5,56.18,56.23,NN19 [G12],G [P33],A [A12],,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,C,,,,,,C,,,,,,,,,,,,,C,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,368,U1505,C,6,H,CC,PAL,NANNO
368-U1505C-7H-CC-PAL-NANNO,0,5,65.65,65.7,NN16 [G12],G [P33],A [A12],,,,,C,C,,,,,,,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,C,,,,,,,C,C,,,,,,,,,,,,,,C,,,,,,,,,,,,,C,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,368,U1505,C,7,H,CC,PAL,NANNO
368-U1505C-8H-CC-PAL-NANNO,0,5,74.9,74.95,NN16 [G12],G [P33],A [A12],,,,,F,C,,,,,,,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,C,,,,,,,C,,,,C,,,,,,,,,,,C,,,,,,,,,,,,,C,,,,,,,,,C,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,368,U1505,C,8,H,CC,PAL,NANNO
368-U1505C-9H-CC-PAL-NANNO,0,5,84.13,84.18,NN14 [G12],G [P33],A [A12],,,R,,F,F,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,C,,,,,,,C,,,,C,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,C,,C,,,,,,,,,,,,,,,,,,,C,,,,R,,,,,,,,368,U1505,C,9,H,CC,PAL,NANNO
368-U1505C-10H-CC-PAL-NANNO,0,5,93.6,93.65,NN13 [G12],G [P33],A [A12],F,,,,C,,,,,,,F,,,,,,C,,,R,,,F,,,,F,,,,,,,,,,,,C,,,,,,C,F,,,,C,,,,,,,,,,,F,,,,,,,,,,,,F,,,,R,,,,C,C,A,,F,R,C,,,,,,,,,,,F,,,,,R,,,R,C,,,,,,,368,U1505,C,10,H,CC,PAL,NANNO
