Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],Terrestrial organic matter,Pyrite,"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Acarinina alticonica,Acarinina bullbrooki,Acarinina collactea,Acarinina primitiva,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Chiloguembelina cubensis,Clavatorella bermudezi,Cribrohantkenina inflata,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globularis,Dentoglobigerina juxtabinaiensis,Dentoglobigerina sp.,Dentoglobigerina tripartita,Dentoglobigerina venezuelana,Fohsella birnageae,Fohsella fohsi,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globigeriantella insueta,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina euapertura,Globigerina falconensis,Globigerina rubescens,Globigerina woodi,Globigerinatella sp.,Globigerinatheka barri,Globigerinatheka index,Globigerinella aequilateralis,Globigerinella calida,Globigerinella praesiphonifera,Globigerinella radians,Globigerinella siphonifera,Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiapertura,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides pyramidalis,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber s.s.,"Globigerinoides ruber s.l. Wang, 2000",Globigerinoides sacculifer,Globigerinoides sacculifer (without sac),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina dehiscens,Globorotalia archeomenardii,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hirsuta,Globorotalia humerosa,Globorotalia incognita,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miozea,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotalia zealandica,Globorotaloides hexagona,Globorotaloides quadrocameratus,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina nympha,Orbulina bilobata,Orbulina suturalis,Orbulina universa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia sp.,Planorotalites palmerae,Planorotalites spp.,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa,Praeorbulina sicana,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Subbotina eocaena,Subbotina gortanii,Tenuitella gemma,Tenuitella munda,Tenuitellinata juvenilis,Turborotalita humilis,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
356-U1464D-12H-CC-PAL-FORAM-150-2000,0,5,108.24,108.29,,,,,,,,,,C [A101],M [P39],M [F02],80,2,,,,,Bryozoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,P [A109],,P [A109],,,,,P [A109],,,P [A109],P [A109],,,P [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,P [A109],,,,,,,,,,,,P [A109],,,,,P [A109],,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,356,U1464,D,12,H,CC,PAL,FORAM-150-2000
356-U1464D-14H-CC-PAL-FORAM-150-2000,0,5,127.42,127.47,"T Dentoglobigerina altispira (Gradstein et al., 2012)",T Dentoglobigerina altispira,,3.47,PL4 (Indo-Pacific) [G12],"PL4 (Indo-Pacific) - Dentoglobigerina altispira Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",,3.47,3.59,C [A101],M [P39],M [F02],80,2,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,P [A109],,,,,,,,P [A109],,,P [A109],P [A109],,,P [A109],,,,,,P [A109],,,,,,,,,,P [A109],,P [A109],,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,356,U1464,D,14,H,CC,PAL,FORAM-150-2000
356-U1464D-15H-CC-PAL-FORAM-150-2000,0,5,136.87,136.92,,,,,,,,,,C [A101],M [P39],L [F02],80,1,,,,,Ostracod (P); bryozoa,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,P [A109],,,,,,,,,,,P [A109],P [A109],,,P [A109],,,,,,,,,,,P [A109],,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,P [A109],,,,,,,,,,,,,P [A109],P [A109],,,,,,,,,,,,,,,,356,U1464,D,15,H,CC,PAL,FORAM-150-2000
356-U1464D-16H-CC-PAL-FORAM-150-2000,0,5,146.48,146.53,,,,,,,,,,C [A101],M [P39],M [F02],80,2,,,,,Ostracod (P); bryozoa,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,P [A109],,,,,,P [A109],,P [A109],,,,,,,,,,,P [A109],P [A109],,,P [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,P [A109],,,,,,,,,,,,,P [A109],P [A109],,,,,,,,,,,,,,,,356,U1464,D,16,H,CC,PAL,FORAM-150-2000
356-U1464D-17H-CC-PAL-FORAM-150-2000,0,5,155.85,155.9,,,,,,,,,,C [A101],M [P39],M [F02],80,2,,,,,Ostracod (P); sponge spicules,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,P [A109],,,,,,,,P [A109],P [A109],,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,P [A109],,P [A109],,,,,,,,,,,,,P [A109],P [A109],,,,,,,,,,,,,,,,356,U1464,D,17,H,CC,PAL,FORAM-150-2000
356-U1464D-19H-6-PAL-FORAM-150-2000,0,5,173.18,173.23,,,,,,,,,,C [A101],M [P39],L [F02],80,1,,,,,Ostracod (P),,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,P [A109],,,,,,,,P [A109],P [A109],,,,,,,,,,,,P [A109],,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,P [A109],,,,P [A109],,,,,,,,,,,,,P [A109],P [A109],,,,,,,,,,,,,,,,356,U1464,D,19,H,6,PAL,FORAM-150-2000
356-U1464D-21H-CC-PAL-FORAM-150-2000,0,5,189.65,189.7,"T Globorotalia margaritae (Gradstein et al., 2012)",T Globorotalia margaritae,,3.85,,,,,,C [A101],M [P39],M [F02],80,2,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,P [A109],,,,,P [A109],,,,,,,,,P [A109],,P [A109],,,,,,,,,,,P [A109],P [A109],,,P [A109],,,,,,,,,,,,,,,,,P [A109],P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,P [A109],,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,356,U1464,D,21,H,CC,PAL,FORAM-150-2000
356-U1464D-23H-CC-PAL-FORAM-150-2000,0,5,211.46,211.51,,,,,,,,,,C [A101],M [P39],M [F02],70,2,,,,,Bryozoa,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,P [A109],,,,,,,,P [A109],P [A109],,,P [A109],,,,,,,,,P [A109],,,,,,,,P [A109],P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,P [A109],,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,356,U1464,D,23,H,CC,PAL,FORAM-150-2000
356-U1464D-25H-CC-PAL-FORAM-150-2000,0,5,228.35,228.4,"T Sphaeroidinellopsis kochi (Gradstein et al., 2012)",T Sphaeroidinellopsis kochi,,4.53,,,,,,C [A101],M [P39],M [F02],70,2,,,,,Ostracod; bryozoa,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,P [A109],P [A109],,,P [A109],,,,,,,,,,,,,,,,,P [A109],P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,P [A109],,P [A109],,,,,,,,,,,,,,P [A109],,,,P [A109],,,,,,,,,,,,356,U1464,D,25,H,CC,PAL,FORAM-150-2000
356-U1464D-27H-CC-PAL-FORAM-150-2000,0,5,245.64,245.69,,,,,,,,,,C [A101],M [P39],L [F02],70,1,,present [A79],,,Ostracod,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,P [A109],P [A109],,,P [A109],,,,,,,,,,,,,,,,,P [A109],P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,P [A109],,,,,,,,,,,,,,P [A109],,,,P [A109],,,,,,,,,,,,356,U1464,D,27,H,CC,PAL,FORAM-150-2000
356-U1464D-29H-4-PAL-FORAM-150-2000,0,5,264.6,264.65,,,,,,,,,,C [A101],M [P39],M [F02],70,2,,,,,Ostracod,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,P [A109],P [A109],,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,P [A109],,,,,,,,,,,,,,P [A109],,,,P [A109],,,,,,,,,,,,356,U1464,D,29,H,4,PAL,FORAM-150-2000
356-U1464D-31H-CC-PAL-FORAM-150-2000,0,3,281.36,281.39,,,,,,,,,,F [A101],M [P39],L [F02],80,1,,,,,1 PF,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,P [A109],,,,,,,,P [A109],P [A109],,,P [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,P [A109],,,,P [A109],,,,,,,,,,,,,,P [A109],,,,P [A109],P [A109],,,,,,,,,,,356,U1464,D,31,H,CC,PAL,FORAM-150-2000
356-U1464D-33X-CC-PAL-FORAM-150-2000,0,5,302.44,302.49,,,,,,,,,,F [A101],M [P39],L [F02],70,1,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,P [A109],,,,,,,,,,,P [A109],,,,,,,,P [A109],P [A109],,,P [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,P [A109],,P [A109],,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,356,U1464,D,33,X,CC,PAL,FORAM-150-2000
356-U1464D-34X-CC-PAL-150-2000,0,5,309.05,309.1,,,,,,,,,,R [A101],P [P39],M [F02],30,2,,,,,some heavily glauconitized specimens; ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,D,34,X,CC,PAL,150-2000
356-U1464D-35X-CC-PAL-FORAM-150-2000,0,5,309.53,309.58,,,,,,,,,,R [A101],P [P39],S [F02],20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,P [A109],,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,D,35,X,CC,PAL,FORAM-150-2000
356-U1464D-37X-CC-PAL-FORAM-150-2000,0,5,328.47,328.52,,,,,,,,,,B [A101],,,,,,,,,some BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,D,37,X,CC,PAL,FORAM-150-2000
356-U1464D-39X-CC-PAL-FORAM-150-2000,0,5,348.14,348.19,,,,,,,,,,B [A101],,,,,,,,,some BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,D,39,X,CC,PAL,FORAM-150-2000
356-U1464D-41X-CC-PAL-FORAM-150-2000,0,5,367.2,367.25,,,,,,,,,,B [A101],,,,,,,,,Some BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,D,41,X,CC,PAL,FORAM-150-2000
356-U1464D-43X-CC-PAL-FORAM-150-2000,0,5,386.76,386.81,,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,D,43,X,CC,PAL,FORAM-150-2000
356-U1464D-45X-CC-PAL-FORAM-150-2000,0,5,406.25,406.3,,,,,,,,,,VR [101],P [P39],S [F02],3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,D,45,X,CC,PAL,FORAM-150-2000
356-U1464D-47X-CC-PAL-FORAM-150-2000,0,5,425.4,425.45,,,,,,,,,,VR [101],P [P39],S [F02],5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,D,47,X,CC,PAL,FORAM-150-2000
356-U1464D-49X-CC-PAL-FORAM-150-2000,0,3,445.3,445.33,,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1464,D,49,X,CC,PAL,FORAM-150-2000
