Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],"Reworking comment (1= <1%, 2= light 1-10%, 3= >10%)",Group abundance,Comment (general),Preservation,Percentage of benthic forams in total foram assemblage [%],"PALEO WATER DEPTH (IS=inner shelf, MS=middle shelf, OS=outer shelf)",Temperature Range,Aspect comment (etching),Large Benthic Forams [%],Ammodiscus sp.,Amphistegina bicirculata,Amphistegina lessonii,Amphistegina lobifera,Amphistegina radiata,Amphistegina sp.,Baculogypsina sphaerulata,Bolivina aenariensis,Bolivina incrassata,Bolivina sp.,Bolivina sp. (crenulate),Bolivina sp. (smooth flat),Borelis melo,Bulimina aculeata,Bulimina glomarchallengeri,Bulimina mexicana,Bulimina sp.,Calcarina calcar,Calcarina sp.,Cancris sp.,Ceratocancris sp.,Cibicides  bradyi,Cibicides refulgens,Cibicides sp.,Cibicidoides guazumalensis,Cibicidoides mexicanus,Cornuspira carinata ,Coryphostoma midwayensis,Cycloclypeus carpenteri,Cycloclypeus mediterraneus,Cycloclypeus sp.,Cymbalopora sp.,Dentalina sp.,Discanomalina sp.,Discogypsina sp.,Elphidium sp.,Epistomina sp.,Gyroidinoides sp.,Hoeglundina elegans,Hyalinonetrion gracillima,Lagena sp.,Lenticulina sp.,Lepidocyclina sp.,Miliolids,Neoeponides campester,Neoeponides sp.,Neorotalia calcar,Nodosaria sp.,Nummulites sp.,Nuttallides umbonifera,Operculina ammonoides,Operculina sp.,Parasorites orbitoloides,Pavonina flabelliformis,Peneroplis sp. ?,Planorbulina sp.,Planulina ariminensis,Planulina dohertyi,Planulina sp.,Planulina wuellerstorfi,Plectofrondicularia sp.,Plectofrondicularia vaughni,Pleurostomella alternans,Polymorphina sp.,Pulvinulina sp.,Pyrgo depressa,Pyrgo sp.,Quinqueloculina sp.,Ramulina globulifera,Rectuvigerina sp.,Rectuvigerina striatissima,Reophax agglutinatus,Reusella sp.,Reusella spinulosa,Rotalina oblonga,Sigmoilopsis compressa,Sigmoilopsis schlumbergeri,Siphonina pozonensis,Siphonina tenuicarinata,Sorites orbiculus ,Sphaerogypsina sp.,Sphaeroidina bulloides,Spiroloculina sp.,Stilostomella lepidula,Stilostomella spp.,Textularia sp.,Trifarina sp.,Triloculina rotunda,Unidentified agglutinants,Uvigerina canariensis,Uvigerina hispida,Uvigerina proboscidea,Uvigerina schwageri,Uvigerina sp.,Vaginulinopsis bradyi,Vaginulinopsis sp.,Valvulina sp.,Valvulineria sp.,Vulvulina sp.,Vulvulina spinosa,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
359-U1466A-1H-CC-PAL-FORAM >150,0,5,4.98,5.03,,,,VG,,,,,,,,A,A,,A,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,A,,,,R,,R,,A,,,,,,,,,,,,A,,C,C,,,,,,,,,,,,,,,,,,,,,A,,,,,,C,A,,,R,,,,A,R,,,,,,,,,359,U1466,A,1,H,CC,PAL,FORAM >150
359-U1466A-2H-CC-REIJ-FORAM >150,0,5,13.76,13.81,,,,VG,,,,,,,,A,A,,A,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,C,A,,,R,,A,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,A,,,,,,,,R,,,,,,R,,,,359,U1466,A,2,H,CC,REIJ,FORAM >150
359-U1466A-3H-CC-PAL-FORAM >150,0,5,23.86,23.91,,,,G,,,,,,,A,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,A,A,,,R,,,,,,C,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,A,,,,,,,,,,,,,,,,,359,U1466,A,3,H,CC,PAL,FORAM >150
359-U1466A-4H-CC-PAL-FORAM >150,0,5,32.97,33.02,,,,M,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,,,,,A,,,,,,,,,,359,U1466,A,4,H,CC,PAL,FORAM >150
359-U1466A-5H-CC-PAL-FORAM >150,0,5,42.96,43.01,,,,G,,,,,,,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,C,,,,R,,A,,,,,,,,,,,,R,,,C,C,,,,,,R,,,,,,,,,,,,,,,,,,,A,A,,,,,,A,,A,,,,,,,,,,359,U1466,A,5,H,CC,PAL,FORAM >150
359-U1466A-6H-CC-PAL-FORAM >150,0,5,52.21,52.26,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,C,,,,,R,,,C,,,,,,,,,,,,,,,C,C,,,,,,R,,,,,,,,,,,,,,,,,,,C,C,,,C,,,,,C,,,,,,,,,,359,U1466,A,6,H,CC,PAL,FORAM >150
359-U1466A-8H-CC-PAL-FORAM >150,0,5,71.32,71.37,,,,P,,,,,,,A,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,,,,,,,,R,,,,,,,,,,359,U1466,A,8,H,CC,PAL,FORAM >150
359-U1466A-9H-CC-PAL-FORAM >150,0,5,79.94,79.99,,,,P,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,9,H,CC,PAL,FORAM >150
359-U1466A-10H-CC-PAL-FORAM >150,0,5,88.43,88.48,,,,M,,,,,,,A,,,,A,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,359,U1466,A,10,H,CC,PAL,FORAM >150
359-U1466A-12F-CC-PAL-FORAM >150,0,5,99.38,99.43,,,,P,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,12,F,CC,PAL,FORAM >150
