Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of benthic forams in total foram assemblage [%],"Reworking comment (1= <1%, 2= light 1-10%, 3= >10%)","PALEO WATER DEPTH (IS=inner shelf, MS=middle shelf, OS=outer shelf)",Temperature Range,Aspect comment (etching),Comment (general),Large Benthic Forams [%],Acervulina mabahethi,Agglutinated spp. (indeterminate),Ammodiscus sp.,Ammonia spp.,Amphicoryna scalaris,Amphicoryna separans,Amphicoryna spp.,Amphistegina hauerina,Amphistegina lessonii,Amphistegina lobifera,Amphistegina papillosa,Amphistegina radiata,Amphistegina spp.,Anomalinella rostrata,Anomalinoides globulosus,Anomalinoides spp.,Articulina alticostata,Articulina pacifica,Assilina ammonoides,Astacolus spp.,Asterorotalia concinna,Astrononion spp.,Astrororalia milletti,Bolivina pusilla,Bolivina robusta,Bolivina sp.,Bolivina striatula,Bolivinella elegans,Bolivinita quadrilatera,Borelis spp.,Brizalina semilineata,Brizalina spp.,Bulimina aculeata,Bulimina barbata,Bulimina marginata,Bulimina sp.,Bulimina striata,Buliminella spp.,Buliminoides spp.,Cancris auriculus,Cancris spp.,Cassidulina carinata,Cassidulina sp.,Cassidulinoides spp.,Cerebrina lacunata,Challengeria spp.,Chilostomella oolina,Chilostomella sp.,Chrysalidinella dimorpha ,Cibicides mediocris,Cibicides praecinctus,Cibicides spp.,Cibicides tenuimargo,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides globulosus,Cibicidoides mundula,Cibicidoides renzi,Cibicidoides sp.,Cibicidoides subhaidingerii,Clavulina subangularis,Cornuspira spp.,Cristellaria bradyi,Cycloclypeus? sp.,Cymbaloporetta sp. 1,Cymbaloporetta spp.,Discorbia spp.,Discorbinella sp. 1,Discorbinella spp.,Discorbis spp.,Eggerella bradyi,Ehrenbergina pacifica,Ehrenbergina spp.,Elhpidium craticulatum,Elongobula crispum,Elongobula parallela,Elphidium advenum limbatum,Elphidium excavatum,Elphidium hispidulum,Elphidium macellum,Elphidium spp.,Epistominella exigua,Epistominella spp.,Euloxostomum pseudobeyrichi,Eusphaeroidina inflata,Favocassidulina favus,Fissurina formosa,Fissurina marginata,Fissurina sp.,Frondricularia spp.,Gaudryina convexa,Gavelinopsis praegeri,Glabratella spp.,Glandulina spp.,Globobulimina affinis,Globocassidulina spp.,Globocassidulina subglobosa,Globogyroidina boninensis,Guttulina communis,Guttulina spp.,Guttulina yabei,Gyroidina neosoldanii,Gyroidinoides spp.,Hauerina spp.,Heterolepa bradyi,Heterostegina depressa,Hoeglundina elegans,Homotrema rubra,Hyalinea spp.,Inaequilina spp.,Karreriella bradyi,Laevidentalina communis,Laevidentalina inflexa,Laevidentalina spp.,Lagena sp.,Laticarinina pauperata,Lenticulina rotulata,Lenticulina sp. ,Lobatula Lobatula,Marginopora spp.,Marginulina obesa,Martinotiella spp.,Martinottiella communis,Martinottiella hosoyaensis,Melonis barleeanus,Melonis pompilioides,Melonis spp.,Migros flintii,Miliolina spp.,Miliolinella oceanica,Miliolinella sp. 1,Miliolinella subrotunda,Monalysidium spp.,Monalysidium spp. ,Mucronina compressa,Neoeponides margaritifer,Neoeponides procerus,Neoeponides spp.,Neorotalia spp.,Nephrolepidina ferrori,Nephrolepidina Spp.,Neugeborina longiscata,Nodosaria spp.,Nonionella sp.,Nonionoides grateloupi,Nonionoides spp.,Numullites spp.,Nuttallides umbonifera,Obesopleurostomella brevis,Olgia spp.,Oolina globosa,Oolina spp.,Operculina ammonoides,Operculina complanata,Operculina spp.,Operculinella venosa,Ophthalmidium circularis ,Oridorsalis spp.,Oridorsalis umbonatus,Osangulariella bradyi,Parafissurina sp.,Parasorites spp.,Patellina spp.,Patellinella spp.,Peneroplis spp.,Pileolina spp.,Planispirinella spp.,Planogypsina sp. 1,Planorbulina spp.,Planorbulinella larvata,Planospirina spp.,Planularia gemmata,Planularia spp.,Planulina spp.,Pleurostomella acuminata,Pleurostomella acuta,Pleurostomella sp. A,Pleurostomella spp.,Procerolagena spp.,Pseudoclavulina juncea,Pseudonodosaria sp.,Pseudonodosaria spp.,Pseudorotalia angusta,Pseudorotalia annectens,Pseudorotalia globosa,Pseudorotalia indopacifica,Pseudorotalia inermis,Pseudorotalia schroetiana,Pseudorotalia spp.,Pullenia bulloides,Pullenia quinqueloba,Pullenia simplex,Pullenia sp.,Pyramidulina glanduliniformis,Pyrgo denticulata,Pyrgo lucernula,Pyrgo murrhina,Pyrgo spp.,Quinqueloculina exmouthensis,Quinqueloculina lamarckiana,Quinqueloculina neocostata,Quinqueloculina patagonica,Quinqueloculina philippinensis,Quinqueloculina spp.,Quinqueloculina subpolygona,Rectobolivina bifrons,Recurvoides sp.,Reophax spp.,Reusella spp.,Rhabdammina? sp.,Rhizammina sp.,"Rhizammina sp. (Kaiho, 1992)",Rosalina spp.,Rotalinoides gaimardii,Rotalinoides spp.,Rotliammina sp.,Rudigaudryina minor,Sagrinella jugosa,Sagrinella spp.,Sahulia barkeri,Saraceneria spp.,Semicassis craticulata,Septotextularia rugosa,Sigmoidella elegantissima,Sigmoidella spp.,Sigmoilopsis schlumbergeri,Siphogeneria raphana,Siphogenerina dimorpha,Siphogenerina indica,Siphonaperta spp.,Siphoniferoides siphonifera,Siphonina tubulosa,Siphouvigerina hispida,Siphouvigerina interrupta,Siphouvigerina porrecta,Siphouvigerina proboscidae,Sorites spp.,Sphaerogypsina globulus,Sphaeroidina bulloides,Spiroloculina sp. N/A,Spiroloculina spp.,Spirotextularia fistulosa,Spirotextularia spp.,Spirotextularia tubulosa,Sprioloculina corrugata,Stilostomella abyssorum,Stilostomella gracillima,Stilostomella lepidula,Stilostomella sp.,Textularia agglutinans,Textularia catenata,Textularia lateralis,Textularia spp.,Textularia sp. 1,Textulariella barrettii,Tosaia hanzawai,Tretomphaloides spp.,Tribliolepidina spp.,Trifarina spp.,Triloculina spp.,Tritaxis fusca,Unidentified benthic forams,Uvigerina graciliformis,Uvigerina hispidocostata,Uvigerina peregrina,Uvigerina senticosa,Uvigerina spp.,Vaginulinopsis bradyi,Vertebralina spp.,Wiesnerella spp.,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
356-U1463C-1H-CC-PAL-FORAM-150-2000,0,5,4.06,4.11,VG [P39],A [A10],22,,,,,"Abundant pteropods, osctracods and scaphopods.",5,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],R [A109],,,,,,,,,,P [A109],,,,,P [A109],,,,,,F [A109],,,,,F [A109],,,,,,,A [A109],,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,F [A109],,,,,,P [A109],,,,,P [A109],R [A109],,,,,,,,,,R [A109],,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,F [A109],,,,,,A [A109],,,,,,,,,R [A109],,,,,P [A109],,P [A109],,,,,,,P [A109],,,F [A109],,P [A109],,,,,,,P [A109],A [A109],A [A109],,A [A109],,,,,,,,,,D [A109],,,,,,,A [A109],,P [A109],,,,,R [A109],,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31118431,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31118431,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31118431, ",356,U1463,C,1,H,CC,P
356-U1463C-2H-CC-PAL-FORAM-150-2000,0,5,13.4,13.45,G [P39],A [A10],43,,,,,Ostracods present.,30,,,,,,,,,,,R [A109],P [A109],R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,A [A109],,,,,,,,P [A109],,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,R [A109],,,F [A109],,,,,,,,,F [A109],,,,,,,,,,P [A109],,,,,,P [A109],,,P [A109],,,,,,,,,A [A109],,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,R [A109],P [A109],,,,,,,,,R [A109],,F [A109],,,A [A109],A [A109],,,,F [A109],,,,,F [A109],,A [A109],,,,,,,,,,,,,,,A [A109],,,,,R [A109],,,,,A [A109],,,A [A109],,,,,,,,,,D [A109],,,,,,,A [A109],,P [A109],,,,,P [A109],,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31115621,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31115621,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31115621, ",356,U1463,C,2,H,CC,P
356-U1463C-3H-CC-PAL-FORAM-150-2000,0,5,23.21,23.26,G [P39],A [A10],22,,,,,"Pteropods, osctracods and scaphopods.",5,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],R [A109],,,,,P [A109],P [A109],,,,F [A109],,,,,,,P [A109],,,,,,,,,A [A109],,,,,,,A [A109],,,,,,,P [A109],,,,,,,F [A109],,,,,,,,R [A109],,,,,,,,,,,,,,,,P [A109],,,,,,R [A109],,,,,,,,,,,A [A109],F [A109],,,F [A109],,,,,,,,,F [A109],,P [A109],,,,,,,,,,,,,,R [A109],,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,P [A109],,,,,,,,,P [A109],,,,,,A [A109],,,,,F [A109],,,,A [A109],,,,,R [A109],,R [A109],,,,,,,F [A109],,,R [A109],,P [A109],P [A109],R [A109],R [A109],,,,,F [A109],,,D [A109],,,,,,,,,,D [A109],,,,,,,A [A109],,P [A109],,,P [A109],,F [A109],,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31125961,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31125961,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31125961, ",356,U1463,C,3,H,CC,P
356-U1463C-9H-CC-PAL-FORAM-150 2000,0,5,78.58,78.63,M [P39],A [A10],58,,IS,,,,90,,,,,,,,,R [A109],P [A109],D [A109],A [A109],F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,P [A109],,,,,,,A [A109],,D [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,P [A109],P [A109],,,,,P [A109],,,,P [A109],,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31129411,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31129411,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31129411, ",356,U1463,C,9,H,CC,P
356-U1463C-11H-CC-PAL-FORAM-150 2000,0,5,96.63,96.68,M [P39],,,,,,,Ostracods present.,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,P [A109],P [A109],,,,,F [A109],,,,R [A109],,R [A109],,,,,,,,,,,,,,,F [A109],,,R [A109],,,,A [A109],P [A109],P [A109],,,,,,,,,,,,,,,,P [A109],,,,P [A109],,P [A109],,,,,,,,,,,,,,P [A109],,,,,,,,F [A109],,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],P [A109],,,,,R [A109],,,,,,,,,,,,,,,,R [A109],,P [A109],P [A109],,R [A109],,,,,P [A109],,,,R [A109],,,,,,,,,R [A109],,,,,,,,,R [A109],,,,,R [A109],,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31132471,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31132471,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31132471, ",356,U1463,C,11,H,CC,P
356-U1463C-13H-CC-PAL-FORAM-150-2000,0,5,115.85,115.9,M [P39],,,,,,,"Ostracods present, bryozoans present.",,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],P [A109],,,,,R [A109],,P [A109],,,,,,,,,,,,,,,,,,,R [A109],,,R [A109],,,,F [A109],F [A109],R [A109],,,,,,,,,,,,,,,P [A109],P [A109],,,,,,,P [A109],,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,P [A109],,R [A109],,,,F [A109],,,,,,,,,,,,,,,,,,F [A109],,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,R [A109],,,,,,,,,,,,,,,,,,P [A109],P [A109],,F [A109],,,,R [A109],,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,P [A109],,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31159501,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31159501,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31159501, ",356,U1463,C,13,H,CC,P
356-U1463C-22H-CC-PAL-FORAM-150-2000,0,5,201.32,201.37,M [P39],,,,,,,"Ostracods present, bryozoans present.",,,,,,P [A109],P [A109],,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,F [A109],,,,,,,D [A109],P [A109],,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,F [A109],,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,P [A109],P [A109],,,,,,R [A109],,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,P [A109],,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31166671,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31166671,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31166671, ",356,U1463,C,22,H,CC,P
356-U1463C-24H-CC-PAL-FORAM-150-2000,0,5,220.49,220.54,G [P39],A [A10],36,,,,,Ostracods present.,0,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,A [A109],,,,,,,,,,P [A109],,,,,,,,,,,R [A109],,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],P [A109],,,A [A109],,,,,,,,,R [A109],,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,D [A109],,,,,,,,,,,,,,,,,,,,A [A109],,,,,,D [A109],,,,,,P [A109],,,,,F [A109],,,,,,,P [A109],,P [A109],,,,,,,,,,,,,,,,,,,D [A109],F [A109],,,,,,,,P [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31189931,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31189931,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31189931, ",356,U1463,C,24,H,CC,P
356-U1463C-25H-CC-PAL-FORAM-150-2000,0,5,229.97,230.02,G [P39],A [A10],14,,,,,Ostracods and bryazoa present,1,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,R [A109],,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,F [A109],,R [A109],,A [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],P [A109],,,A [A109],,,,,,,,,F [A109],,,,,,,,,P [A109],F [A109],,,,,,P [A109],,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A109],,F [A109],,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,F [A109],,A [A109],,,,,,,,,,,,,,,,P [A109],,,,,,,,,,A [A109],,,,,,,,,,,,P [A109],,,R [A109],,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31191801,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31191801,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31191801, ",356,U1463,C,25,H,CC,P
356-U1463C-26H-CC-PAL-FORAM-150-2000,0,5,238.84,238.89,G [P39],A [A10],18,,,,,Ostracods and bryazoa present,0,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,R [A109],,,,,P [A109],R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,A [A109],,D [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,F [A109],,,,,,,,,F [A109],,,,,,,,,A [A109],R [A109],,,,,,R [A109],,,P [A109],,,,R [A109],,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,D [A109],,F [A109],,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,F [A109],,A [A109],,,P [A109],,R [A109],,,,,,,,,,,P [A109],,,,,,,,,,F [A109],,,,,,,,,P [A109],,,,,,F [A109],,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31196751,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31196751,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31196751, ",356,U1463,C,26,H,CC,P
