Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Preservation,Group abundance,Comment,Actinocyclus ellipticus,Actinocyclus ellipticus f. lanceolata,Actinocyclus ellipticus var. javanica,Actinocyclus ellipticus var. spiralis,Actinocyclus hajosiae,Actinocyclus ingens,Actinocyclus moronensis,Actinocyclus radionovae,Actinoptychus spp.,Alveus marinus,Amphitetras spp.,Annellus californicus,Arachnoidiscus spp.,Asterolampra acutiloba,Asterolampra marylandica,Asteromphalus arachne,Asteromphalus elegans,Azpeitia africana (Janisch),Azpeitia apiculata,Azpeitia barronii,Azpeitia burky (Barron),Azpeitia nodulifera (Schmidt),Azpeitia nodulifera f. cyclopa (Jouse),Azpeitia oligocenia (Jouse),Azpeitia praenodulifera (Barron),Azpeitia salisburyana (Lohman),Azpeitia tabularis (Grunow),Azpeitia vetustissima (Pantocsek),Azpetia neocrenulata,Bacteriastrum hyalinum,Bogorovia veniamini Jouse emend Yanagisawa,Cavitatus jouseanus (Sheshukova-Poretzkaya),Cavitatus miocenica (Schrader),Cestodiscus peplum,Cestodiscus pulchellus,Cestodiscus pulchellus var. maculatus,Cestodiscus trochus,Chaetoceros spp.,Cocconeis spp.,Coscinodiscus blysmos,Coscinodiscus gigas var. diorama (Schmidt),Coscinodiscus lewisianus,Coscinodiscus lewisianus var. rhomboides,Coscinodiscus lewisianus var. robustus,Coscinodiscus lewisianus var. similis,Coscinodiscus loeblechii,Coscinodiscus marginatus,Coscinodiscus nodulifer,Coscinodiscus radiatus,Coscinodiscus rhombicus,Craspedodiscus coscinodiscus,Craspedodiscus elegans,Craspedodiscus rydei,Crucidenticula kanayae,Crucidenticula nicobarica (Grunow),Crucidenticula punctata (Schrader),Cyclotella spp.,Cyclotella striata (Kutzing),Dactyliosolen spp.,Denticulopsis hustedtii (Simonsen and Kanaya) emend. Yanagisawa and Akiba,Denticulopsis lauta (Bailey),Denticulopsis simonsenii,Dicladia spp.,Diploneis aestuari,Diploneis bombus,Diploneis smithii ,Distephanosira architecturalis,Fragilariopsis cylindrica (Burckle),Fragilariopsis doliolus (Wallich),Fragilariopsis reinholdii (Kanaya ex Barron ex Baldouf),Grammatophora spp.,Hemiaulus spp.,Hemidiscus cuneiformis,Kisseleviella spp.,Macrora stella,Mediaria spp.,Melosira architecturalis,Navicula spectabilis,Navicula spp.,Nitzschia fossilis (Frenguelli),Nitzschia interruptestriata,Nitzschia jouseae,Nitzschia malinterpretaria,Nitzschia marina,Nitzschia miocenica,Nitzschia miocenica var. elongata,Nitzschia panduriformis var. minor,Nitzschia porteri Frenguelli sensu,Paralia sulcata,Pseudosolenia calcar-avis,Raphidodiscus marylandicus,Rhaphoneis spp.,Rhizosolenia hebetata,Rhizosolenia matuyamai,Rhizosolenia praebergonii,Rhizosolenia praebergonii var. robusta,Rhizosolenia setigera,Rhizosolenia spp.,Rocella gelida (Mann),Rocella gelida var. schraderi (Bukry),Rocella vigilans,Rossiella paleaecea (Grunow),Rossiella paleaecea var. elongata (Barron),Rossiella praepaleaecea (Schrader),Screptroneis hungarica,Shionodiscus oestrupii,Skeletonema spp.,Surirella fluminensis,Synedra tabulata var. rupicola,Thalassionema nitzschoides (Grunow),Thalassionema robusta,Thalassiosira brunii,Thalassiosira burckliana,Thalassiosira convexa,Thalassiosira convexa var. aspinosa,Thalassiosira eccentrica (Ehrenberg),Thalassiosira fraga,Thalassiosira grunowii,Thalassiosira lineata,Thalassiosira miocenica,Thalassiosira oestrupii (Ostenfeld),Thalassiosira plicata,Thalassiosira praeconvexa,Thalassiosira primalabiata,Thalassiosira spinosa,Thalassiosira spumellaroides,Thalassiosira tappanae,Thalassiosira yabei (Barron) var. elliptica,Thalassiosira yabei (Kanaya),Thalassiothrix spp.,Trachyneis aspera,Triceratium pileus,Triceratium spp.,Xanthiopyxis spp.,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name,Zone name (short)
368-U1501C-1H-CC-PAL-DIAT,0,5,9.19,9.24,,M,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,F,,,,,,,,,,R,R,,,,,,,,,F,,,,,,,R,,,,F,F,,,,,,,,,,,,,,,,,,,F,,,,F,,,,R,F,,,,,,,,F,,,,C,,,,,,F,,,F,,,,,,,,,,,,,,,,,,,368,U1501,C,1,H,CC,PAL,DIAT,,
368-U1501C-2H-CC-PAL(18-23)-DIAT,0,5,17.93,17.98,,M,F,,,,,,,,,,R,,R,,,,F,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,R,,,,,,,,,,R,,,,,,F,,,,,F,,,,,,,,,R,,,,,,,,,,,F,,,,R,,,,,F,,,,,,,,F,,,F,C,,,,,,R,,,F,,,,,,,,,,,,,,,,,,,368,U1501,C,2,H,CC,PAL(18-23),DIAT,,
368-U1501C-3H-CC-PAL(15-20)-DIAT,0,5,28.51,28.56,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,3,H,CC,PAL(15-20),DIAT,,
368-U1501C-4H-CC-PAL(15-20)-DIAT,0,5,38.03,38.08,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,4,H,CC,PAL(15-20),DIAT,,
368-U1501C-5H-CC-PAL(13-18)-DIAT,0,5,46.9,46.95,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,5,H,CC,PAL(13-18),DIAT,,
368-U1501C-6H-CC-PAL(15-20)-DIAT,0,5,57.02,57.07,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,6,H,CC,PAL(15-20),DIAT,,
368-U1501C-7H-CC-PAL(11-16)-DIAT,0,5,66.17,66.22,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,7,H,CC,PAL(11-16),DIAT,,
368-U1501C-8H-CC-PAL(23-28)-DIAT,0,5,75.76,75.81,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,8,H,CC,PAL(23-28),DIAT,,
368-U1501C-9H-CC-PAL(19-24)-DIAT,0,5,85.45,85.5,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,9,H,CC,PAL(19-24),DIAT,,
368-U1501C-10H-CC-PAL(21-26)-DIAT,0,5,94.86,94.91,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,10,H,CC,PAL(21-26),DIAT,,
