Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of benthic forams in total foram assemblage [%],"Reworking comment (1= <1%, 2= light 1-10%, 3= >10%)","PALEO WATER DEPTH (IS=inner shelf, MS=middle shelf, OS=outer shelf)",Temperature Range,Aspect comment (etching),Comment (general),Large Benthic Forams [%],Acervulina mabahethi,Agglutinated spp. (indeterminate),Ammodiscus sp.,Ammonia spp.,Amphicoryna scalaris,Amphicoryna separans,Amphicoryna spp.,Amphistegina hauerina,Amphistegina lessonii,Amphistegina lobifera,Amphistegina papillosa,Amphistegina radiata,Amphistegina spp.,Anomalinella rostrata,Anomalinoides globulosus,Anomalinoides spp.,Articulina alticostata,Articulina pacifica,Assilina ammonoides,Astacolus spp.,Asterorotalia concinna,Astrononion spp.,Astrororalia milletti,Bolivina pusilla,Bolivina robusta,Bolivina sp.,Bolivina striatula,Bolivinella elegans,Bolivinita quadrilatera,Borelis spp.,Brizalina semilineata,Brizalina spp.,Bulimina aculeata,Bulimina barbata,Bulimina marginata,Bulimina sp.,Bulimina striata,Buliminella spp.,Buliminoides spp.,Cancris auriculus,Cancris spp.,Cassidulina carinata,Cassidulina sp.,Cassidulinoides spp.,Cerebrina lacunata,Challengeria spp.,Chilostomella oolina,Chilostomella sp.,Chrysalidinella dimorpha ,Cibicides mediocris,Cibicides praecinctus,Cibicides spp.,Cibicides tenuimargo,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides globulosus,Cibicidoides mundula,Cibicidoides renzi,Cibicidoides sp.,Cibicidoides subhaidingerii,Clavulina subangularis,Cornuspira spp.,Cristellaria bradyi,Cycloclypeus? sp.,Cymbaloporetta sp. 1,Cymbaloporetta spp.,Discorbia spp.,Discorbinella sp. 1,Discorbinella spp.,Discorbis spp.,Eggerella bradyi,Ehrenbergina pacifica,Ehrenbergina spp.,Elhpidium craticulatum,Elongobula crispum,Elongobula parallela,Elphidium advenum limbatum,Elphidium excavatum,Elphidium hispidulum,Elphidium macellum,Elphidium spp.,Epistominella exigua,Epistominella spp.,Euloxostomum pseudobeyrichi,Eusphaeroidina inflata,Favocassidulina favus,Fissurina formosa,Fissurina marginata,Fissurina sp.,Frondricularia spp.,Gaudryina convexa,Gavelinopsis praegeri,Glabratella spp.,Glandulina spp.,Globobulimina affinis,Globocassidulina spp.,Globocassidulina subglobosa,Globogyroidina boninensis,Guttulina communis,Guttulina spp.,Guttulina yabei,Gyroidina neosoldanii,Gyroidinoides spp.,Hauerina spp.,Heterolepa bradyi,Heterostegina depressa,Hoeglundina elegans,Homotrema rubra,Hyalinea spp.,Inaequilina spp.,Karreriella bradyi,Laevidentalina communis,Laevidentalina inflexa,Laevidentalina spp.,Lagena sp.,Laticarinina pauperata,Lenticulina rotulata,Lenticulina sp. ,Lobatula Lobatula,Marginopora spp.,Marginulina obesa,Martinotiella spp.,Martinottiella communis,Martinottiella hosoyaensis,Melonis barleeanus,Melonis pompilioides,Melonis spp.,Migros flintii,Miliolina spp.,Miliolinella oceanica,Miliolinella sp. 1,Miliolinella subrotunda,Monalysidium spp.,Monalysidium spp. ,Mucronina compressa,Neoeponides margaritifer,Neoeponides procerus,Neoeponides spp.,Neorotalia spp.,Nephrolepidina ferrori,Nephrolepidina Spp.,Neugeborina longiscata,Nodosaria spp.,Nonionella sp.,Nonionoides grateloupi,Nonionoides spp.,Numullites spp.,Nuttallides umbonifera,Obesopleurostomella brevis,Olgia spp.,Oolina globosa,Oolina spp.,Operculina ammonoides,Operculina complanata,Operculina spp.,Operculinella venosa,Ophthalmidium circularis ,Oridorsalis spp.,Oridorsalis umbonatus,Osangulariella bradyi,Parafissurina sp.,Parasorites spp.,Patellina spp.,Patellinella spp.,Peneroplis spp.,Pileolina spp.,Planispirinella spp.,Planogypsina sp. 1,Planorbulina spp.,Planorbulinella larvata,Planospirina spp.,Planularia gemmata,Planularia spp.,Planulina spp.,Pleurostomella acuminata,Pleurostomella acuta,Pleurostomella sp. A,Pleurostomella spp.,Procerolagena spp.,Pseudoclavulina juncea,Pseudonodosaria sp.,Pseudonodosaria spp.,Pseudorotalia angusta,Pseudorotalia annectens,Pseudorotalia globosa,Pseudorotalia indopacifica,Pseudorotalia inermis,Pseudorotalia schroetiana,Pseudorotalia spp.,Pullenia bulloides,Pullenia quinqueloba,Pullenia simplex,Pullenia sp.,Pyramidulina glanduliniformis,Pyrgo denticulata,Pyrgo lucernula,Pyrgo murrhina,Pyrgo spp.,Quinqueloculina exmouthensis,Quinqueloculina lamarckiana,Quinqueloculina neocostata,Quinqueloculina patagonica,Quinqueloculina philippinensis,Quinqueloculina spp.,Quinqueloculina subpolygona,Rectobolivina bifrons,Recurvoides sp.,Reophax spp.,Reusella spp.,Rhabdammina? sp.,Rhizammina sp.,"Rhizammina sp. (Kaiho, 1992)",Rosalina spp.,Rotalinoides gaimardii,Rotalinoides spp.,Rotliammina sp.,Rudigaudryina minor,Sagrinella jugosa,Sagrinella spp.,Sahulia barkeri,Saraceneria spp.,Semicassis craticulata,Septotextularia rugosa,Sigmoidella elegantissima,Sigmoidella spp.,Sigmoilopsis schlumbergeri,Siphogeneria raphana,Siphogenerina dimorpha,Siphogenerina indica,Siphonaperta spp.,Siphoniferoides siphonifera,Siphonina tubulosa,Siphouvigerina hispida,Siphouvigerina interrupta,Siphouvigerina porrecta,Siphouvigerina proboscidae,Sorites spp.,Sphaerogypsina globulus,Sphaeroidina bulloides,Spiroloculina sp. N/A,Spiroloculina spp.,Spirotextularia fistulosa,Spirotextularia spp.,Spirotextularia tubulosa,Sprioloculina corrugata,Stilostomella abyssorum,Stilostomella gracillima,Stilostomella lepidula,Stilostomella sp.,Textularia agglutinans,Textularia catenata,Textularia lateralis,Textularia spp.,Textularia sp. 1,Textulariella barrettii,Tosaia hanzawai,Tretomphaloides spp.,Tribliolepidina spp.,Trifarina spp.,Triloculina spp.,Tritaxis fusca,Unidentified benthic forams,Uvigerina graciliformis,Uvigerina hispidocostata,Uvigerina peregrina,Uvigerina senticosa,Uvigerina spp.,Vaginulinopsis bradyi,Vertebralina spp.,Wiesnerella spp.,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
356-U1464D-4H-CC-PAL-FORAM-150-2000,0,5,32.16,32.21,M [P39],,10,,,,,Ostracods present.,0,,,,R,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,R,,,,,,,,,,,F,,,,,,,A,P,,,P,,R,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,P,,P,,,R,,,,,,,,,,,,,,,,,,,,,,P,,,,R,R,,,,,,,,,,,,,R,,,,,,,,,P,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31517401,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31517401,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31517401, ",356,U1464,D,4,H,CC,PAL
356-U1464D-5H-CC-PAL-FORAM-150-2000,0,5,41.8,41.85,M [P39],,12,,,,,Ostracods present. Peloids abundant.,0,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,,,P,,,,,,,,,,,A,,,,,,,F,,,,,,,F,,,A,,,,,,,,,,,,P,,,,,,,,,,,,,P,,P,,,,,,,,,P,,,,,,,,,,F,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,P,,,P,,P,,,,P,P,,,,,,,,,,,,,F,,,,,,,,,P,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31520201,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31520201,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31520201, ",356,U1464,D,5,H,CC,PAL
356-U1464D-6H-CC-PAL-FORAM-150-2000,0,5,51.28,51.33,M [P39],,17,,,,,Ostracods present; bryozoans present; glauconite present.,10,,,,F,,,P,,,,,,,,,,,,,,,,,,R,P,,,,,F,,,,,P,,,,,P,,,,,,,,,,,R,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,A,,,,,,,P,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,F,,,,,,R,,,,,,,,,,,,,,,,,,P,,,,,,,R,,,,,P,,,,,,,,,R,,,,,,P,,,,,,F,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31527151,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31527151,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31527151, ",356,U1464,D,6,H,CC,PAL
356-U1464D-7H-CC-PAL-FORAM-150-2000,0,5,60.84,60.89,M [P39],,23,,,,,"Ostracods present, byozoa present, glauconite present.",10,,,,R,P,,,,,,,,,,,,,,,,,,,,P,P,,,,,P,,,,,,,,,,P,,R,,,,,,,,,F,,,,,,,A,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,R,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,P,,,,,,,,,,,,,,,,P,,P,,,F,,,,P,,,,,,,,,,,,,,R,,,,,,,,,,,,P,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31533931,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31533931,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31533931, ",356,U1464,D,7,H,CC,PAL
356-U1464D-15H-CC-PAL-FORAM-150-2000,0,5,136.87,136.92,G [P39],A [A10],10,,OS/UB,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,F,,,,,,,,,P,,,,,,,,,P,R,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,R,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31568091,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31568091,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31568091, ",356,U1464,D,15,H,CC,PAL
356-U1464D-17H-CC-PAL-FORAM-150-2000,0,5,155.85,155.9,G [P39],A [A10],8,,OS/UB,,,Bryazoa and ostracods present. Some pyrite encrustation,15,,,,,,,P,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,A,,A,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,A,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,R,,,,,A,,F,,,,,,,,,,,,,,,,,,,,,D,F,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31543141,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31543141,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31543141, ",356,U1464,D,17,H,CC,PAL
356-U1464D-19H-6-PAL-FORAM-150-2000,0,5,173.18,173.23,G [P39],A [A10],9,,OS/UB,,,Bryazoa and ostracods present. Some pyrite encrustation and iron infilling,20,,,,,,,,,,,,,,,,,,,,,,,,,R,D,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,F,,,,,,,,,,,,,,,,,P,A,F,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,A,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,R,,,,,F,,,,F,,,,,P,,,,,,,,,,,,,,A,P,,,,,,,,,,,,,R,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31546131,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31546131,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31546131, ",356,U1464,D,19,H,6,PAL
356-U1464D-33X-CC-PAL-FORAM-150-2000,0,5,302.44,302.49,G [P39],,10,,,,,Ostracods present. Amphistegina and P. larvata indicate downslope transport.,0,,,,,P,,,,,,P,,,,,,,,,,,,,,,F,,,,,,,,,,P,,,,,,,P,,,,,,,,,F,,,,,,,A,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,P,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,P,,,,,,,,,,,,,,F,,,,,,R,,,,,,A,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31581251,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31581251,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31581251, ",356,U1464,D,33,X,CC,PAL
356-U1464D-34X-CC-PAL-150-2000,0,5,309.05,309.1,P [P39],,24,,,,,"Heavy encrustation and glauconite infilling in some shallow water specimens (Amphistegina spp., P. larvata, Quinqueloculina spp.). Possible reworked phase. Strong decrease in foraminifer abundance.",0,,,,,,,,,,,,,P,,,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,D,R,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,F,,,,,,P,,,F,,,P,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31586501,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31586501,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31586501, ",356,U1464,D,34,X,CC,PAL
356-U1464D-35X-CC-PAL-FORAM-150-2000,0,5,309.53,309.58,P [P39],,64,,,,,"Very low recovery, unclear position of Core Catcher sample.",,,,,,,,,,A,,,,F,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31589591,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31589591,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31589591, ",356,U1464,D,35,X,CC,PAL
