Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],"Reworking comment (1= <1%, 2= light 1-10%, 3= >10%)",Group abundance,Comment (general),Preservation,Percentage of benthic forams in total foram assemblage [%],"PALEO WATER DEPTH (IS=inner shelf, MS=middle shelf, OS=outer shelf)",Temperature Range,Aspect comment (etching),Large Benthic Forams [%],Ammodiscus sp.,Amphistegina bicirculata,Amphistegina lessonii,Amphistegina lobifera,Amphistegina radiata,Amphistegina sp.,Baculogypsina sphaerulata,Bolivina aenariensis,Bolivina incrassata,Bolivina sp.,Bolivina sp. (crenulate),Bolivina sp. (smooth flat),Borelis melo,Bulimina aculeata,Bulimina glomarchallengeri,Bulimina mexicana,Bulimina sp.,Calcarina calcar,Calcarina sp.,Cancris sp.,Ceratocancris sp.,Cibicides  bradyi,Cibicides refulgens,Cibicides sp.,Cibicidoides guazumalensis,Cibicidoides mexicanus,Cornuspira carinata ,Coryphostoma midwayensis,Cycloclypeus carpenteri,Cycloclypeus mediterraneus,Cycloclypeus sp.,Cymbalopora sp.,Dentalina sp.,Discanomalina sp.,Discogypsina sp.,Elphidium sp.,Epistomina sp.,Gyroidinoides sp.,Hoeglundina elegans,Hyalinonetrion gracillima,Lagena sp.,Lenticulina sp.,Lepidocyclina sp.,Miliolids,Neoeponides campester,Neoeponides sp.,Neorotalia calcar,Nodosaria sp.,Nummulites sp.,Nuttallides umbonifera,Operculina ammonoides,Operculina sp.,Parasorites orbitoloides,Pavonina flabelliformis,Peneroplis sp. ?,Planorbulina sp.,Planulina ariminensis,Planulina dohertyi,Planulina sp.,Planulina wuellerstorfi,Plectofrondicularia sp.,Plectofrondicularia vaughni,Pleurostomella alternans,Polymorphina sp.,Pulvinulina sp.,Pyrgo depressa,Pyrgo sp.,Quinqueloculina sp.,Ramulina globulifera,Rectuvigerina sp.,Rectuvigerina striatissima,Reophax agglutinatus,Reusella sp.,Reusella spinulosa,Rotalina oblonga,Sigmoilopsis compressa,Sigmoilopsis schlumbergeri,Siphonina pozonensis,Siphonina tenuicarinata,Sorites orbiculus ,Sphaerogypsina sp.,Sphaeroidina bulloides,Spiroloculina sp.,Stilostomella lepidula,Stilostomella spp.,Textularia sp.,Trifarina sp.,Triloculina rotunda,Unidentified agglutinants,Uvigerina canariensis,Uvigerina hispida,Uvigerina proboscidea,Uvigerina schwageri,Uvigerina sp.,Vaginulinopsis bradyi,Vaginulinopsis sp.,Valvulina sp.,Valvulineria sp.,Vulvulina sp.,Vulvulina spinosa,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name,Zone name (short)
359-U1467B-1H-CC-PAL-FORAM >150,0,5,3.41,3.46,,,,VG,,,,,,,,,,,,,,,,,,,A,,,,,,C,,,,,,,,,,,,,,C,,,,,,,C,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,C,,,A,,A,,,A,,,,,,,,,,359,U1467,B,1,H,CC,PAL,,,
359-U1467B-2H-CC-PAL-FORAM >150,0,5,13.14,13.19,,,,VG,,,,,,C,,,,,,,,,,,,,C,,,,,,C,,,,C,,,,,,,,,,C,,,,,,,C,C,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,A,,A,,C,A,,,,,,,,,,359,U1467,B,2,H,CC,PAL,,,
359-U1467B-3H-CC-PAL-FORAM >150,0,5,22.47,22.52,,,,VG,,,,,,C,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,C,,,,A,,,C,C,,C,,,,,R,,,,,,,C,,,,,,,,,,C,,,C,,,,,,,,C,,,,,,A,,C,C,,,A,,C,,,A,,R,,,,,,,,359,U1467,B,3,H,CC,PAL,,,
359-U1467B-4H-CC-PAL-FORAM >150,0,5,32.05,32.1,,,,VG,,,,,,,,,,,,,,,,,,,C,,C,,,,,,,,C,C,,,,,,,,,,,,,,,,A,,,,,,,C,,,,,,,,,,,C,,,,,,,,C,,,,,,,,,,C,C,,,,,,,C,C,,,,,C,C,,A,,,,C,,,,,,359,U1467,B,4,H,CC,PAL,,,
359-U1467B-5H-CC-PAL-FORAM >150,0,5,41.76,41.81,,,,VG,,,,,,,,,,,,,,,,,,,C,,,,,,C,,,,,,,,,,,,,,,,,,,,,A,C,,,,,,C,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,C,A,,,,,,,,,,359,U1467,B,5,H,CC,PAL,,,
359-U1467B-6H-CC-PAL-FORAM >150,0,5,50.94,50.99,,,,VG,,,,,,C,,,,,,,,,,,,,C,,,,,,C,C,,,,,,,,,,,,,A,,,,C,,,C,C,,C,,,,,,,,,,,,C,,,,,,C,,,,,,,C,,,,,,,,C,,,,,,,,,C,,,C,,,,C,,,,,,,,,,,359,U1467,B,6,H,CC,PAL,,,
359-U1467B-12H-CC-PAL-FORAM >150,0,5,100.54,100.59,,,,G,,,,,,,,,,,,,,,,,,,C,,C,,,,,,,,C,,,,,,,,,,,,,,C,,,C,C,,,,,,,,,,,,,,C,,,C,,R,,,,,,,,,,,C,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,,,,359,U1467,B,12,H,CC,PAL,,,
359-U1467B-17H-CC-PAL-FORAM >150,0,5,147.49,147.54,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,,,,,,,,C,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,C,,R,,,,C,C,,,,,,,,,,359,U1467,B,17,H,CC,PAL,,,
359-U1467B-22H-CC-PAL-FORAM >150,0,5,195.4,195.45,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,C,,C,,,,C,C,,,,,,,,,,359,U1467,B,22,H,CC,PAL,,,
359-U1467B-27H-CC-PAL-FORAM >150,0,5,243.41,243.46,,,,P,,,,,,,,,,,,,,,R,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,C,,,,,,C,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,C,,,,,,C,C,,,,,,,,,,359,U1467,B,27,H,CC,PAL,,,
