Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Diatom abundance,Actinocyclus curvatulus,Actinocyclus ellipticus,Actinocyclus elongatus,Actinocyclus ellipticus fa. lanceolata,Actynocyclus ellipticus var. javanica,Actinocyclus endoi,Actinocyclus ingens,Actinocyclus ochotensis,Actinocyclus octonarius,Actinocyclus subtilis,Actinoptychus senarius,Alveus marinus,Asterolampra acutiloba,Asterolampra eximia,Asterolampra marylandica,Asteromphalus arachne,Asteromphalus cleveanus,Asteromphalus elegans,Asteromphalus flabellatus,Asteromphalus grevillei,Asteromphalus heptactis,Asteromphalus hookerii,Asteromphalus robustus,Azpeitia aeginensis,Azpeitia africana,Azpeitia apiculata,Azpeitia barronii,Azpeitia neocrenulata,Azpeitia nodulifera,Azpeitia nodulifera fa. cyclopa,Azpeitia salisburyana,Azpeitia vetustissima,Azpeitia tabularis,Bacteriastrum sp.,Bacteriosira fragilis,Cavitatus jouseanus,Cestodiscus peplum,Cestodiscus pulchellus,Coscinodiscus argus,Coscinodiscus decrescens,Coscinodiscus gigas var. diorama,Coscinodiscus lewisianus,Coscinodiscus lewisianus var. spiralis,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Coscinodiscus radiatus,Craspedodiscus coscinodiscus,Crucidenticula nicobarica,Crucidenticula punctata,Cussia lancettula,Denticulopsis lauta,Ethmodiscus sp.,Fragilariopsis doliolus,Hemidiscus cuneiformis,Hemidiscus simplicissimus,Lioloma spp.,Nitzschia bicapitata,Nitzschia capuluspalae,Nitzschia cylindrica,Nitzschia fossilis,Nitzschia interruptestriata,Nitzschia jouseae,Nitzschia malinterpretaria,Nitzschia miocenica,Nitzschia pliocena,Nitzschia porteri,Nitzschia praereinholdii,Nitzschia reinholdii,Nitzschia rolandii,Nitzschia sicula,Planktoniella sol,Proboscia alata,Rhaphidodiscus marylandicus,Rhizosolenia bergonii,Rhizosolenia hebetata fa. hiemalis,Rhizosolenia praebergonii,Rhizosolenia stilyformis,Roperia tesselata,Rossiella paleaceae,Rossiella paleaceae var. elongata,Rouxia californica,Rouxia diploneides,Rouxia peragalli,Synedra miocenica,Synedra sp.1,Thalassionema bacillare,Thalassionema frauenfeldii,Thalassionema nitzschioides var. nitzschioides,Thalassionema nitzschioides var. capitulata,Thalassionema nitzschioides var. inflata,Thalassionema nitzschioides var. parva,Thalassionema robusta,Thalassiosira antiqua,Thalassiosira brunii,Thalassiosira burckliana,Thalassiosira convexa var. aspinosa,Thalassiosira decipiens,Thalassiosira eccentrica,Thalassiosira aff. eccentrica,Thalassiosira ferelineata,Thalassiosira fraga,Thalassiosira grunowii,Thalassiosira leptopus,Thalassiosira lineata,Thalassiosira miocenica,Thalssiosira nodulolineata,Thalassiosira oestrupii var. oestrupii,Thalassiosira oestrupii var. venrickae,Thalassiosira plicata,Thalassiosira spumellaroides,Thalassiosira symbolophora,Thalassiosira tappanae,Thalassiosira yabei,Thalassiosira sp. 1,Thalassiosira sp.4,Thalassiosira sp.5,Thalassiosira sp.6,Triceratium cinnamomeum,Triceratium cinnamomeum var. minor,Triceratium cinnamomeum var. quadrangulata,Corbisema hastata hastata,Distephanus crux,Dyctiocha fibula,Dictyocha pulchella,Dictyocha speculum,Mesocena elliptica,Naviculopsis eobiapiculata,Sillicoflagellate abundance,File data,,eodp_id
321-U1337A-5H-2-W 110/111-DIAT0,321,U1337,A,5,5-2,H,2,W,110/111-DIAT0,0,0,36.6,36.6,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,C,,R,,,,,,R,R,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84d2aaf945720a4b962fe576b16faa22
321-U1337A-5H-4-W 110/111-DIAT1,321,U1337,A,5,5-4,H,4,W,110/111-DIAT1,0,0,39.6,39.6,M,F,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,F,,R,,F,,,,R,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,F,,,,,,,,R,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,R,,,2b9fd9908a2851426fcef9c2f3fc0a9d
321-U1337A-5H-CC-PAL,321,U1337,A,5,5-CC,H,CC,PAL,,0,0,43.8,43.8,M-G,C,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,F,,,,,,,,,,,,,,,,,,,,,,R,,C,,F,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,F,,,F,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,,,,F,,,,,F,,,5581a306e161c89f6fe2552ed3faf2aa
321-U1337A-6H-2-W 13/14-DIAT61,321,U1337,A,6,6-2,H,2,W,13/14-DIAT61,0,0,45.13,45.13,M-G,C,R,R,R,,,,,,,R,,R,,,,,,,,,,,,,R,,,R,R,,,,R,,,,,,,,,,,,,R,,,,,,,,F,,C,,,,R,,F,,,,,,,,,,,,R,,R,,,,,,,,,,,F,F,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,R,,,,,R,,,,,R,,,ee808eda99ce0d8b8e54b33e2e2189ca
321-U1337A-6H-6-W 126/127-DIAT62,321,U1337,A,6,6-6,H,6,W,126/127-DIAT62,0,0,52.26,52.26,M,C,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,F,,F,,R,,,,,R,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,R,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,R,,,a0f20c4eba2fd2932cf1de83c0f2483e
321-U1337A-6H-CC-PAL,321,U1337,A,6,6-CC,H,CC,PAL,,0,0,53.45,53.45,M,C,,,,,,,,,,,,R,,,,,,,,,,,,,,,,F,,,,,R,,,,,,,,,,,,,,,,,,,C,,F,,C,,,,F,R,F,,,,,,,,R,,,,,,,,,,,,,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c393102177d2d602a1bcac4e405524ab
321-U1337A-7H-2-W 124/125-DIAT68,321,U1337,A,7,7-2,H,2,W,124/125-DIAT68,0,0,55.74,55.74,M-G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,C,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fe26b9d87a82a0fabe1bf467e20cf00b
321-U1337A-7H-4-W 103/104-DIAT70,321,U1337,A,7,7-4,H,4,W,103/104-DIAT70,0,0,58.53,58.53,M-G,C,R,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,R,,,,,,R,,F,,F,,C,F,,,,R,F,,,,,,R,,,,,,R,,,,,,,,,,,,,,F,,,R,,,,,F,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,5c1e848d3b54de60f598a15d1d6ec679
321-U1337A-7H-CC-PAL,321,U1337,A,7,7-CC,H,CC,PAL,,0,0,62.86,62.86,M-G,A,F,,R,,,,,,,,,,R,,,,,,,,,,,,,,,F,F,R,,,F,,R,,,,,,,,,,,,,,,,,C,,F,,,F,,,,F,F,,,,,,F,,,,,,R,,,,,,,,,,,,R,R,C,,,F,,,,,R,,,,,,,,,,,F,F,,,,,,,,,,,,,,,F,,F,,,F,,,5f23285e3c5340fa6cfa16f872cf96ff
321-U1337A-8H-2-W 123/124-DIAT2,321,U1337,A,8,8-2,H,2,W,123/124-DIAT2,0,0,65.225,65.225,M-G,A,,R,,,,,,,,,,,,,,,,,,R,,R,,,,,,R,R,,,,R,,,,,,,,,,,,,,,,,R,,F,,R,,C,R,,,,,R,,,,,,R,,,,,,R,,,,,,,,,,,,,,F,R,,R,,,,,R,,,R,R,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,R,,,9f20c345601de8954bc02c3228709b58
321-U1337A-8H-4-W 20/21-DIAT3,321,U1337,A,8,8-4,H,4,W,20/21-DIAT3,0,0,67.2,67.2,G-M,A,R,,F,,,,,,,,R,R,,R,R,,,,,,,R,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,F,,R,,C,R,,,R,R,F,,,,,,,,,,,,R,,,R,,,,,,,,,R,R,C,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,R,,,,,,R,R,,,R,,,d0f9d62db2f6e895f771e057e70458b2
321-U1337A-8H-CC-PAL,321,U1337,A,8,8-CC,H,CC,PAL,,0,0,71.55,71.55,M-G,A,R,,F,F,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,F,,,,,,R,,,,,,,R,,,,,,,,R,,A,,,,F,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,F,R,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,c6bbcf20eae7bf0fe4d2eaf0b363e8c1
321-U1337A-9H-1-W 69/70-DIAT33,321,U1337,A,9,9-1,H,1,W,69/70-DIAT33,0,0,72.69,72.69,M,C,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,R,,R,,,,,,,,,,C,,,,,R,F,,,,,,R,,,,,,,,,,,,,,,,,,,R,C,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,fb34596eb121e97ae526774cbe511d97
321-U1337A-9H-6-W 8/9-DIAT34,321,U1337,A,9,9-6,H,6,W,8/9-DIAT34,0,0,79.58,79.58,M-C,C,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,R,,,,C,,,,R,F,R,,,,,,R,,,,,,,,,,,,,,,,,,,F,C,,,,,,,,R?,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,,,,R,,,2913aaa503225c63b6108cfc5d45d45a
321-U1337A-9H-CC-PAL,321,U1337,A,9,9-CC,H,CC,PAL,,0,0,81.94,81.94,M-G,C,R,,R,R,,,,,,,R,,R,,,,,,,,,,,,,,,R,,F,,,F,,,,,,,,,,,,,,,,,,,,,R,,C,,R,,R,,F,,,,,,F,,,,,,,,,,,,,,,,,,,F,F,,,C,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,F,,,,,F,,,99349000642d8ee36272fca25e986b7a
321-U1337A-10H-1-W 23/24-DIAT37,321,U1337,A,10,10-1,H,1,W,23/24-DIAT37,0,0,81.73,81.73,M-F,C,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,R,R,R,,,,,,,,,R,,,,,R,,,,,,,,F,,R,,C,R,,,R,R,F,,,,,,,,,,,,,,,,,,,,,,,R,,,C,,R,R,,,,,,,,R,,,,,,,,R,R,,,,,,,,,,R,,,,,,R,,,,R,,,01c99e2da620621f7b9b9bde86b34ae3
321-U1337A-10H-3-W 87/88-DIAT38,321,U1337,A,10,10-3,H,3,W,87/88-DIAT38,0,0,85.37,85.37,M-G,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,F,,F,,C,R,,R,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,F,R,C,,R,R,R,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,R,,,,R,,,52f4c1b7dede30158e647d0ef526eef0
321-U1337A-10H-CC-PAL,321,U1337,A,10,10-CC,H,CC,PAL,,0,0,91.53,91.53,M-G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,F,,,,,,,,,,,,,30c38ddb643f6d0b635e18a93bf87765
321-U1337A-11H-2-W 46/47-DIAT44,321,U1337,A,11,11-2,H,2,W,46/47-DIAT44,0,0,92.96,92.96,M-G,C,R,R,R,,,,,,,,R,,R,,,,,,,,,,,,,,,,F,,,,R,,,,,,,,,,,,,,,,,R,R,,,,,C,R,,R,,R,,,,R,,,,,,,,,,,,,,,,,,,,,R,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,R,,,,R,,,ec5a70049f3bd807508184c7c70fe91c
321-U1337A-11H-5-W 140/141-DIAT46,321,U1337,A,11,11-5,H,5,W,140/141-DIAT46,0,0,98.4,98.4,G-M,A,,R,R,,,,,,,R,,R,,,R,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,F,,R,,C,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,C,F,,R,,,,,,,,R,,,,,,,R,,R,,,,,,,,,,,R,,,,,,F,,,,F,,,1cc80fa2c42219eb1538c49491211d27
321-U1337A-11H-CC-PAL,321,U1337,A,11,11-CC,H,CC,PAL,,0,0,101,101,M-G,C,,,R,R,R,,,,R,,,,,,,,,,,,,,,,,,,,R,R,,,R,,,,,,,,,,,,,,,,,,,C,,F,,C,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,F,,,11594b66daba8a884ca717fcfc0d0002
321-U1337A-12H-3-W 105/106-DIAT31,321,U1337,A,12,12-3,H,3,W,105/106-DIAT31,0,0,104.55,104.55,G-M,A,,R,,,,R,,R,,R,,R,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,R,,,,R,,C,R,,,F,R,,,R,,,,R,,,,,,,,,,,,,,,,,,R,F,C,,R,R,,,,,,R,,,,,,,,F,,,,,,,,,R,,,,R,,,,,R,,,,,R,,,623e4e9a4fd7d3d04640f807bfdc4f4d
321-U1337A-12H-5-W 90/91-DIAT32,321,U1337,A,12,12-5,H,5,W,90/91-DIAT32,0,0,107.4,107.4,G-M,A,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,R,,C,R,,,R,R,,,R,,,,R,,,,,,R,,,R,,,,,,,,,,F,C,,,,R,,,,,,R,,,,,,,R,,,,,,,,,,,,,R,,,,,,,R,,,R,,,7fb08c844fa8e7b5690d6ed94cda44b9
321-U1337A-12H-CC-PAL,321,U1337,A,12,12-CC,H,CC,PAL,,0,0,110.4,110.4,M-G,C,F,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,C,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,C,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,F,,,c98ade9542204342ef451f124432ecf2
321-U1337A-13H-1-W 29/30-DIAT21,321,U1337,A,13,13-1,H,1,W,29/30-DIAT21,0,0,110.29,110.29,M,C,,,,,,,,,,R,,R,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,R,,C,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,R,,F,F,,R,,,,,,,,R,,,,,,,F,,,,,,,,,,,,,,,,,,,R,,,,R,,,b5ed20bae22d3d46d945471d409c0d90
321-U1337A-13H-4-W 24/25-DIAT26,321,U1337,A,13,13-4,H,4,W,24/25-DIAT26,0,0,114.74,114.74,M-G,A,,R,R,,,R,,,,R,,,R,,R,,,,,,,,,,,,,,F,,,,R,,,,,,,,,,,,,,,,,,,,,F,,C,R,,,,,,,C,,R,,R,,,,,,,,,,,,,,,,,,,R,C,,,,R,,,,,,R,,,,,,,F,,,,,,,,,,,,R,R,,,,,,R,,,,R,,,19f71e37880c5f28df84d4f060afb17e
321-U1337A-13H-CC-PAL,321,U1337,A,13,13-CC,H,CC,PAL,,0,0,119.84,119.84,M-G,C,,R,,,,,,,R,,,R,R,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,,C,F,,,,F,,,C,,,,,,,,,,R,,,,,,,,,,,F,R,,F,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,R,,,,,F,,,,,F,,,2804d6d2848af0dc7eba31c766366e30
321-U1337A-14H-2-W 58/59-DIAT32,321,U1337,A,14,14-2,H,2,W,58/59-DIAT32,0,0,121.58,121.58,G-M,A,,R,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,C,R,,,,,,,F,,R,,R,,,,,,,R,,,,,,,,,,R,,F,C,,,,,,,,,,,,,,,R,,R,,,,,,,,,R,,,,R,,,,,,F,,,,F,,,eef83f92bffec80782ccfe7b65c4e78b
321-U1337A-14H-4-W 90/91-DIAT34,321,U1337,A,14,14-4,H,4,W,90/91-DIAT34,0,0,124.95,124.95,M-G,C,R,R,,,,,,R?,,,,,,,R,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,R,,,,,,C,,,,R,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,F,,,,F,,,9a8f152e2262d8a2b6eede20efa8dfe4
321-U1337A-14H-CC-PAL,321,U1337,A,14,14-CC,H,CC,PAL,,0,0,129.37,129.37,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,C,,,,,F,,,C,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,F,,,9fea29f2cc114d966cde65ceabcbb73f
321-U1337A-15H-2-W 33/34-DIAT13,321,U1337,A,15,15-2,H,2,W,33/34-DIAT13,0,0,130.83,130.83,M,C,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,R,,,,F,,,,,,,,,,,,,,,,,,,,,,,R,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10af0414a0d71049d9930cb1579fbbb6
321-U1337A-15H-4-W 108/109-DIAT15,321,U1337,A,15,15-4,H,4,W,108/109-DIAT15,0,0,134.58,134.58,M-G,C,,F,,,,,,,,,,,,R,R,,,,,R,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,F,,R,,R,,C,R,,R,R,,,,F,,,,R,,,,,,,,,,,,,,,,,F,,R,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,R,,R,,,cc087fa46d0fb914f7a453af6f11d816
321-U1337A-15H-CC-PAL,321,U1337,A,15,15-CC,H,CC,PAL,,0,0,138.82,138.82,M-G,C,,,R,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,C,,F,,C,,,,,F,,,,,F,,F,,,,,,,,,R,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,b546b268b2eaaa776210147cabf5e120
321-U1337A-16H-3-W 45/46-DIAT95,321,U1337,A,16,16-3,H,3,W,45/46-DIAT95,0,0,141.95,141.95,G-M,A,,R,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,R,,,,C,R,,,R,R,,,,,F,,R,,,,,,,,,R,,,R,,,,,R,,F,F,,R,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,R,,,,,,R,,R,,R,,,f6b7dc1a71de58972a275795834f7dc5
