Exp,Site,Hole,"Core,    section",Top Depth [m],Bottom Depth [m],Abundance,Preservation,Actinocyclus curvatulus,Actinocyclus ochotensis,Actinocyclus oculatus,Actinoptychus senarius,Amphora spp.,Asteromphalus brookei,Bacterosira fragilis,Cocconeis californica cf. kerguerensis,Cocconeis costata,Cocconeis placentula,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Delphineis cf. angustata,Delphineis kippae,Delphineis surirella,Detonula confervacea,Diploneis spp.,Encyonema spp.,Eunotia spp.,Fragilaria sp.,Fragilariopsis cylindrus,Fragilariopsis oceanica,Navicula distans,Navicula spp.,Neodenticula kamtschatica,Neodenticula seminae,Nitzschia spp.,Odontella aurita,Paralia sol,Paralia sulcata,Pinnularia spp.,Porosira glacialis,Proboscia curvirostris,Pyxidicula spp.,Pyxidicula turris,Rhizosolenia barboi,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. hiemalis,Rhizosolenia hebetata f. semispina,Rhizosolenia spp.,Stauroneis spp.,Thalassionema bacillaris,Thalassionema nitzschioides,Thalassiosira antarctica spores,Thalassiosira cf. leptopus,Thalassiosira gravida,Thalassiosira hyalina,Thalassiosira jouseae,Thalassiosira lacustris,Thalassiosira latimarginata,Thalassiosira nordenskioeldii,Thalassiosira oestrupii,Thalassiothrix longissima,Thalassiosira lineata,Thalassiosira spp.,Diatom Zone (NPD) in Yanagisawa and Akiba (1998),Core,Section,Type,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1344,E,1H-CC,5.24,5.34,C,M,R,,,,C,,R,,,,,,C,,C,,R,,,,C,C,,,,R,F,R,,A,,R,,,,,,,,,R,,F,C,,,,,F,C,,,,,F,Neodenticula seminae (NPD12),1,CC,H,,,,323-U1344E-1H-CC,a8aa06c34688a949cba60a2c956e3ca0
323,U1344,E,2H-CC,14.92,15.02,A,G,C,,,,,,C,,,,,,,,C,,,,,,,F,R,,,C,,R,R,F,,,,,R,,,,,,,,,A,,R,,,,C,,,,,,Neodenticula seminae (NPD12),2,CC,H,,,,323-U1344E-2H-CC,67e0a29e5e69ec2a5101a819ac76dd83
323,U1344,E,3H-CC,24.75,24.85,C,M,C,,,,,,R,,,,,,,,R,,,,,,,F,,,,F,,R,,,,R,,,,,,,,,,,,D,,,,,,C,,,R,,R,Neodenticula seminae (NPD12),3,CC,H,,,,323-U1344E-3H-CC,18b4f28ecbcc37d88a12b343bef5af98
323,U1344,E,4H-CC,34.58,34.68,A,G,F,,,,,,F,R,,,,,,,F,,,,,,,C,,,,C,F,F,F,,,,,,,,,,,,,,,D,,R,,,,C,,,,,,Neodenticula seminae (NPD12),4,CC,H,,,,323-U1344E-4H-CC,74e0de5b86ffa5bc592e9b7e625b5fb3
323,U1344,E,5H-CC,43.72,43.82,C,M-G,,,,R,,,F,,,R,,,,,F,,,,,,,C,,,,C,,F,,,,,,,,,,R,,,,,C,A,,,,R,,C,,,R,,R,Neodenticula seminae (NPD12),5,CC,H,,,,323-U1344E-5H-CC,0400d2184f265ee69cab5391c36d1dec
323,U1344,E,6H-CC,53.28,53.38,C,M-G,F,,,,,,F,,,,,,,,,,,,,,C,A,R,,,F,C,R,,,,,,,,,,R,,,,,C,A,R,,,,,F,,,R,,,Neodenticula seminae (NPD12),6,CC,H,,,,323-U1344E-6H-CC,5f8fb94cc074f0761635630efa0a1d35
323,U1344,E,7H-CC,62.00,62.10,C,M,C,,,,,,R,,,,R,,,,F,,,,,,F,C,,,,C,,R,F,A,,F,,,,,,,,,F,,C,A,,,,,,C,,,R,,,Neodenticula seminae (NPD12),7,CC,H,,,,323-U1344E-7H-CC,90f2b0108be2de885dd89e468623188b
323,U1344,E,8H-CC,71.95,72.05,C,M,,,,R,,,F,,,,,,,,R,,,,,,C,C,,,,F,F,R,R,C,,F,,,,,F,,,,,,F,A,R,R,F,,,F,,,R,,,Neodenticula seminae (NPD12),8,CC,H,,,,323-U1344E-8H-CC,1ab1d0c99a451bd09f7eeeb708b28775
323,U1344,E,9H-CC,81.27,81.37,C,M-G,F,,,,,,,,,,,,,,,,,,,,,C,,F,,C,,R,,C,,,,,,,,,R,,,,C,A,,,,,,C,R,F,,,,Neodenticula seminae (NPD12),9,CC,H,,,,323-U1344E-9H-CC,f7cae420f5b50fc331e7a4b58e269262
323,U1344,E,10H-CC,90.75,90.85,C,M-G,F,,,R,,,C,,,,,,R,,F,,,,,,F,A,,,,,C,R,,F,,R,,,,,R,,,,,R,C,C,,,,,,,,,R,,,Neodenticula seminae (NPD12),10,CC,H,,,,323-U1344E-10H-CC,393d6733119e6577fa44a72f96a04e48
