Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Watznaueria ovata,Watznaueria barnesae,Pithonella sp.,Parhabdolithus embergeri,Cretarhabdus surirellus,Cretarhabdus sp.,Thoracosphaera sp.,Watznaueria biporta,Crucibiscutum salebrosum,Manivitella pemmatoidea,Biscutum constans,Vagalapilla stradneri,Vagalapilla matalosa,Tegumentum stradneri,Prediscosphaera columnata,Parhabdolithus splendens,Microstaurus chiastius,Lithraphidites carniolensis,Eprolithus floralis,Cribrosphaerella ehrenbergii,Zygodiscus elegans,Tranolithus orionatus,Reinhardtites anthophorus,Quadrum gartneri,Prediscosphaera cretacea,Lucianorhabdus cayeuxii,Lithastrinus septenarius,Gartnerago obliquum,Eprolithus moratus,Eiffellithus turriseiffelii,Eiffellithus trabeculatus,Eiffellithus eximius,Cylindralithus gallicus,Cretarhabdus coronadventiis,Axopodorhabdus decorus,Micula staurophora,Marthasterites furcatus,Markalius circumradiatus,Lithastrinus grillii,Kamptnerius magnificus,Chiastozygus garrisonii,Microrhabdulus decoratus,Lapideacassis sp.,Chiastozygus litterarius,Parhabdolithus regularis,Flabellites oblongus,Cribrosphaerella linea,Cretarhabdus conicus,Zygodiscus diplogrammus,Rhagodiscus reniformis,Prediscosphaera spinosa,Markalius inversus,Cretarhabdus angustiforatus,Broinsonia sp.,Broinsonia parca parca,Broinsonia enormis,Biscutum coronum                ,Reinhardtites levis,Quadrum gothicum,Prediscosphaera grandis,Prediscosphaera arkhangelskyi,Ceratolithoides aculeus,Broinsonia parca constricta,Vagalapilla aachena,Quadrum trifidum,Micula concava,Discorhabdus rotatorius,Vagalapilla octoradiata,Petrarhabdus copulatus,Manivitella granulosa,Rotelapillus laffittei,Parhabdolithus angustus,Arkhangelskiella cymbiformis,Cretarhabdus schizobrachiatus,Microrhabdulus elongatus,Diazomatolithus lehmanii,Chiastozygus amphipons,Zygodiscus spiralis,Lithraphidites praequadratus,Corollithion madagaskarensis,Microrhabdulus belgicus,Lithraphidites quadratus,Nephrolithus frequens,Micula murus,Broinsonia signata,Zygodiscus bramlettei/Z. herlynii,Thoracosphaera saxea,Thoracosphaera operculata,Prinsius spp. (small),Prinsius bisulcus,Placozygus sigmoides,Ericsonia subpertusa,Ericsonia cava,Cruciplacolithus tenuis,Cruciplacolithus primus,Cruciplacolithus edwardsii,Coccolithus pelagicus,Chiasmolithus danicus,Neochiastozygus spp.,Chiasmolithus bidens,Thoracosphaera sp. A,Toweius pertusus,Cruciplacolithus latipons,Markalius astroporus,Fasciculithus pileatus,Fasciculithus magnicordis,Bomolithus elegans,Fasciculithus tympaniformis,Fasciculithus involutus,Toweius eminens,Ellipsolithus distichus,Chiasmolithus consuetus,Heliolithus kleinpellii,Ericsonia robusta,Pontosphaera sp. A,Neochiastozygus junctus,Zygodiscus plectopons,Discoaster mohleri,Scapholithus rhombiformis,Neochiastozygus chiastus,Discoaster multiradiatus,Zygrhablithus bijugatus,Fasciculithus hayi,Heliolithus riedelii,Triquetrorhabdulus challengeri,Triquetrorhabdulus carinatus,Sphenolithus moriformis,Sphenolithus grandis,Sphenolithus conicus,Sphenolithus capricornutus,Sphenolithus belemnos,Pontosphaera sp. B,Discoaster druggii,Discoaster deflandrei,Cyclicargolithus floridanus,Coronocyclus nitescens,Coccolithus eopelagicus,Helicosphaera intermedia,Triquetrorhabdulus milowii,Sphenolithus heteromorphus,Helicosphaera carteri,Hayaster perplexus,Calcidiscus leptoporus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN2               ,              ,122, 761,B,  7,H, 2,  45.00,     53.6500,Siesser  ,Nannofossils                                 ,               ,                  ,                 ,                    ,              ,                        ,                       ,                ,                  ,                   ,                        ,                       ,                 ,                     ,                    ,                    ,                         ,                        ,                      ,                           ,                   ,                            ,                  ,                     ,                         ,                ,                        ,                       ,                        ,                   ,                  ,                           ,                         ,                    ,                       ,                           ,                      ,                  ,                       ,                        ,                    ,                      ,                       ,                        ,                 ,                        ,                        ,                    ,                      ,                    ,                       ,                      ,                       ,                  ,                           ,              ,                      ,                  ,                                ,                   ,                ,                       ,                             ,                       ,                           ,                   ,                ,              ,                       ,                       ,                      ,                     ,                      ,                       ,                            ,                             ,                        ,                        ,                      ,                   ,                            ,                            ,                       ,                        ,                     ,            ,                  ,                                 ,                    ,                         ,                     ,                 ,                    ,                    ,              ,                       ,                       ,                          ,C                    ,                     ,                    ,                    ,                    ,                ,                         ,                    ,                      ,                         ,                  ,                           ,                       ,               ,                       ,                       ,                       ,                 ,                  ,                       ,                     ,                  ,                         ,                        ,                        ,                       ,                  ,                    ,F                             ,R                           ,                       ,R                   ,F                   ,                          ,C                    ,                  ,R                 ,C                    ,A                          ,F                     ,                       ,R                       ,                          ,                          ,                     ,                  ,                      ,from ODP Leg 122 SR Chapter 36 Table 2 p 603 & Figure 3 p 619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN2               ,              ,122, 761,B,  7,H, 3, 100.00,     55.7000,Siesser  ,Nannofossils                                 ,               ,                  ,                 ,                    ,              ,                        ,                       ,                ,                  ,                   ,                        ,                       ,                 ,                     ,                    ,                    ,                         ,                        ,                      ,                           ,                   ,                            ,                  ,                     ,                         ,                ,                        ,                       ,                        ,                   ,                  ,                           ,                         ,                    ,                       ,                           ,                      ,                  ,                       ,                        ,                    ,                      ,                       ,                        ,                 ,                        ,                        ,                    ,                      ,                    ,                       ,                      ,                       ,                  ,                           ,              ,                      ,                  ,                                ,                   ,                ,                       ,                             ,                       ,                           ,                   ,                ,              ,                       ,                       ,                      ,                     ,                      ,                       ,                            ,                             ,                        ,                        ,                      ,                   ,                            ,                            ,                       ,                        ,                     ,            ,                  ,                                 ,                    ,                         ,                     ,                 ,                    ,                    ,              ,                       ,                       ,                          ,F                    ,                     ,                    ,                    ,                    ,                ,                         ,                    ,                      ,                         ,                  ,                           ,                       ,               ,                       ,                       ,                       ,                 ,                  ,                       ,                     ,                  ,                         ,                        ,                        ,                       ,                  ,                    ,R                             ,F                           ,F                      ,R                   ,C                   ,C                         ,F                    ,R                 ,R                 ,C                    ,A                          ,F                     ,VR                     ,                        ,                          ,                          ,                     ,                  ,                      ,from ODP Leg 122 SR Chapter 36 Table 2 p 603 & Figure 3 p 619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,NP9               ,              ,122, 761,B, 16,X, 1, 134.00,    124.0400,Siesser  ,Nannofossils                                 ,               ,                  ,                 ,                    ,              ,                        ,                       ,                ,                  ,                   ,                        ,                       ,                 ,                     ,                    ,                    ,                         ,                        ,                      ,                           ,                   ,                            ,                  ,                     ,                         ,                ,                        ,                       ,                        ,                   ,                  ,                           ,                         ,                    ,                       ,                           ,                      ,                  ,                       ,                        ,                    ,                      ,                       ,                        ,                 ,                        ,                        ,                    ,                      ,                    ,                       ,                      ,                       ,                  ,                           ,              ,                      ,                  ,                                ,                   ,                ,                       ,                             ,                       ,                           ,                   ,                ,              ,                       ,                       ,                      ,                     ,                      ,                       ,                            ,                             ,                        ,                        ,                      ,                   ,                            ,                            ,                       ,                        ,                     ,            ,                  ,                                 ,                    ,                         ,VR                   ,                 ,                    ,VR                  ,              ,                       ,                       ,                          ,A                    ,                     ,                    ,                    ,                    ,                ,                         ,                    ,                      ,                         ,R                 ,A                          ,                       ,C              ,                       ,R                      ,                       ,                 ,                  ,                       ,                     ,                  ,                         ,                        ,F                       ,F                      ,R                 ,VR                  ,                              ,                            ,                       ,                    ,                    ,                          ,                     ,                  ,                  ,                     ,                           ,                      ,                       ,                        ,                          ,                          ,                     ,                  ,                      ,from ODP Leg 122 SR Chapter 36 Table 2 p 603 & Figure 3 p 619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,NP9               ,              ,122, 761,B, 16,X, 2, 134.00,    125.5400,Siesser  ,Nannofossils                                 ,               ,                  ,                 ,                    ,              ,                        ,                       ,                ,                  ,                   ,                        ,                       ,                 ,                     ,                    ,                    ,                         ,                        ,                      ,                           ,                   ,                            ,                  ,                     ,                         ,                ,                        ,                       ,                        ,                   ,                  ,                           ,                         ,                    ,                       ,                           ,                      ,                  ,                       ,                        ,                    ,                      ,                       ,                        ,                 ,                        ,                        ,                    ,                      ,                    ,                       ,                      ,                       ,                  ,                           ,              ,                      ,                  ,                                ,                   ,                ,                       ,                             ,                       ,                           ,                   ,                ,              ,                       ,                       ,                      ,                     ,                      ,                       ,                            ,                             ,                        ,                        ,                      ,                   ,                            ,                            ,                       ,                        ,                     ,            ,                  ,                                 ,R                   ,                         ,                     ,                 ,                    ,                    ,              ,                       ,                       ,                          ,A                    ,                     ,                    ,R                   ,                    ,                ,                         ,                    ,                      ,                         ,                  ,A                          ,                       ,C              ,                       ,                       ,                       ,                 ,R                 ,                       ,                     ,                  ,                         ,                        ,R                       ,F                      ,R                 ,                    ,                              ,                            ,                       ,                    ,                    ,                          ,                     ,                  ,                  ,                     ,                           ,                      ,                       ,                        ,                          ,                          ,                     ,                  ,                      ,from ODP Leg 122 SR Chapter 36 Table 2 p 603 & Figure 3 p 619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,NP9               ,              ,122, 761,B, 16,X, 3, 134.00,    127.0400,Siesser  ,Nannofossils                                 ,               ,                  ,                 ,                    ,              ,                        ,                       ,                ,                  ,                   ,                        ,                       ,                 ,                     ,                    ,                    ,                         ,                        ,                      ,                           ,                   ,                            ,                  ,                     ,                         ,                ,                        ,                       ,                        ,                   ,                  ,                           ,                         ,                    ,                       ,                           ,                      ,                  ,                       ,                        ,                    ,                      ,                       ,                        ,                 ,                        ,                        ,                    ,                      ,                    ,                       ,                      ,                       ,                  ,                           ,              ,                      ,                  ,                                ,                   ,                ,                       ,                             ,                       ,                           ,                   ,                ,              ,                       ,                       ,                      ,                     ,                      ,                       ,                            ,                             ,                        ,                        ,                      ,                   ,                            ,                            ,                       ,                        ,                     ,            ,                  ,                                 ,R                   ,R                        ,                     ,                 ,                    ,                    ,              ,R                      ,                       ,                          ,A                    ,                     ,R                   ,R                   ,                    ,                ,                         ,                    ,                      ,                         ,F                 ,A                          ,                       ,C              ,                       ,                       ,                       ,                 ,                  ,                       ,                     ,R                 ,                         ,                        ,R                       ,F                      ,R                 ,                    ,                              ,                            ,                       ,                    ,                    ,                          ,                     ,                  ,                  ,                     ,                           ,                      ,                       ,                        ,                          ,                          ,                     ,                  ,                      ,from ODP Leg 122 SR Chapter 36 Table 2 p 603 & Figure 3 p 619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,NP9               ,              ,122, 761,B, 16,X, 4, 134.00,    128.5400,Siesser  ,Nannofossils                                 ,               ,                  ,                 ,                    ,              ,                        ,                       ,                ,                  ,                   ,                        ,                       ,                 ,                     ,                    ,                    ,                         ,                        ,                      ,                           ,                   ,                            ,                  ,                     ,                         ,                ,                        ,                       ,                        ,                   ,                  ,                           ,                         ,                    ,                       ,                           ,                      ,                  ,                       ,                        ,                    ,                      ,                       ,                        ,                 ,                        ,                        ,                    ,                      ,                    ,                       ,                      ,                       ,                  ,                           ,              ,                      ,                  ,                                ,                   ,                ,                       ,                             ,                       ,                           ,                   ,                ,              ,                       ,                       ,                      ,                     ,                      ,                       ,                            ,                             ,                        ,                        ,                      ,                   ,                            ,                            ,                       ,                        ,                     ,            ,                  ,                                 ,R                   ,                         ,                     ,                 ,                    ,R                   ,              ,                       ,                       ,                          ,A                    ,                     ,                    ,R                   ,                    ,                ,                         ,                    ,                      ,                         ,                  ,C                          ,                       ,F              ,                       ,                       ,                       ,                 ,R                 ,                       ,                     ,R                 ,                         ,                        ,R                       ,                       ,                  ,                    ,                              ,                            ,                       ,                    ,                    ,                          ,                     ,                  ,                  ,                     ,                           ,                      ,                       ,                        ,                          ,                          ,                     ,                  ,                      ,from ODP Leg 122 SR Chapter 36 Table 2 p 603 & Figure 3 p 619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,NP7               ,NP8           ,122, 761,B, 16,X,CC,  42.00,    129.1200,Siesser  ,Nannofossils                                 ,               ,                  ,                 ,                    ,              ,                        ,                       ,                ,                  ,                   ,                        ,                       ,                 ,                     ,                    ,                    ,                         ,                        ,                      ,                           ,                   ,                            ,                  ,                     ,                         ,                ,                        ,                       ,                        ,                   ,                  ,                           ,                         ,                    ,                       ,                           ,                      ,                  ,                       ,                        ,                    ,                      ,                       ,                        ,                 ,                        ,                        ,                    ,                      ,                    ,                       ,                      ,                       ,                  ,                           ,              ,                      ,                  ,                                ,                   ,                ,                       ,                             ,                       ,                           ,                   ,                ,              ,                       ,                       ,                      ,                     ,                      ,                       ,                            ,                             ,                        ,                        ,                      ,                   ,                            ,                            ,                       ,                        ,                     ,            ,                  ,R                                ,R                   ,                         ,R                    ,                 ,                    ,R                   ,              ,R                      ,                       ,                          ,A                    ,                     ,F                   ,R                   ,                    ,                ,                         ,                    ,                      ,                         ,                  ,C                          ,                       ,F              ,                       ,F                      ,                       ,R                ,                  ,R                      ,R                    ,R                 ,VR                       ,R                       ,                        ,                       ,                  ,                    ,                              ,                            ,                       ,                    ,                    ,                          ,                     ,                  ,                  ,                     ,                           ,                      ,                       ,                        ,                          ,                          ,                     ,                  ,                      ,from ODP Leg 122 SR Chapter 36 Table 2 p 603 & Figure 3 p 619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
