Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Cyrtocapsella tetrapera,Stylatractus neptunus,Lithelius nautiloides,Cyrtocapsella japonica,Sphaeropyle robusta,Stylacontarium acquilonium,Stichocorys peregrina,Stichocorys delmontensis,Ommatartus sp D,Lychnodictyum audax,Lamprocyrtis hannai,Eucyrtidium cienkowskii,Cannartus sp. C,Prunopyle titan,Carpocanistrum ob,Axoprunum angelinum,Lychnocanoma grande,Eucyrtidium calvertense,Anthocyrtidium ehrenbergi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,C,  8,H,CC,   0.00,     74.7000,rads     ,Radiolarians                                 ,F              ,M                 ,                       ,R                    ,                     ,                      ,                   ,R                         ,                     ,                        ,               ,                   ,                   ,                       ,               ,               ,                 ,                   ,                   ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,C,  9,H,CC,  25.00,     85.9100,rads     ,Radiolarians                                 ,B              ,                  ,                       ,                     ,                     ,                      ,                   ,+                         ,                     ,                        ,               ,                   ,                   ,                       ,               ,               ,                 ,                   ,                   ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,C, 10,H,CC,  16.00,     94.6300,rads     ,Radiolarians                                 ,R              ,M                 ,                       ,                     ,                     ,                      ,                   ,R                         ,                     ,                        ,               ,                   ,                   ,                       ,               ,               ,                 ,                   ,                   ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,C, 12,H,CC,  24.00,    114.4100,rads     ,Radiolarians                                 ,C              ,G                 ,                       ,F                    ,                     ,                      ,R                  ,F                         ,R                    ,                        ,T              ,                   ,F                  ,C                      ,               ,               ,R                ,                   ,R                  ,T                      ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,C, 13,X,CC,  13.00,    117.4400,rads     ,Radiolarians                                 ,C              ,G                 ,                       ,C                    ,R                    ,                      ,R                  ,F                         ,R                    ,T                       ,T              ,                   ,F                  ,C                      ,F              ,T              ,                 ,R                  ,R                  ,T                      ,T                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,C, 14,X,CC,  15.00,    124.8600,rads     ,Radiolarians                                 ,C              ,G                 ,                       ,R                    ,F                    ,                      ,R                  ,R                         ,C                    ,F                       ,               ,                   ,R                  ,F                      ,               ,               ,C                ,R                  ,R                  ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
