Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,Lithology Prefix,Lithology Principal Name,Texture Rank,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
356-U1463B-1H-1-A,0,150,0,1.5,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,neritic,light greenish gray,pteropod,,,,,,,,"Unlithified, homogeneous light greenish gray wackestone.",,,,356,U1463,B,1,H,1,A,,,,
356-U1463B-1H-1-A,0,150,0,1.5,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,,356,U1463,B,1,H,1,A,,,,
356-U1463B-1H-2-A,0,150,1.5,3,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,neritic,light greenish gray,scaphopod,,,,,,,,"Unlithified, homogeneous light greenish gray wackestone.",,,,356,U1463,B,1,H,2,A,,,,
356-U1463B-1H-2-A,0,150,1.5,3,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,,356,U1463,B,1,H,2,A,,,,
356-U1463B-1H-2-A,0,150,1.5,3,,,,,,,,,pteropod,,,,,,,,,,,,356,U1463,B,1,H,2,A,,,,
356-U1463B-1H-3-A,0,150,3,4.5,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,neritic,light greenish gray,foraminifera (small benthic),,,,,,,,"Unlithified, homogeneous light greenish gray wackestone.",,,,356,U1463,B,1,H,3,A,,,,
356-U1463B-1H-4-A,0,103,4.5,5.53,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,neritic,light greenish gray,pteropod,,,,,,,,"Unlithified, homogeneous light greenish gray wackestone.",,,,356,U1463,B,1,H,4,A,,,,
356-U1463B-1H-4-A,103,145,5.53,5.95,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, homogeneous creamy gray mudstone.",,,,356,U1463,B,1,H,4,A,,,,
356-U1463B-1H-4-A,145,150,5.95,6,,,,,,,,,,,,,,,,,IW,,,,356,U1463,B,1,H,4,A,,,,
356-U1463B-1H-5-A,0,50,6,6.5,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,,,gradational,sub-horizontal,"Unlithified, homogeneous creamy gray mudstone.",,,,356,U1463,B,1,H,5,A,,,,
