Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top depth [m],Bottom depth [m],Prefix,Lithology,Classification,Suffix,Complete name,Lithology [%],"Dominant grain size (Wentworth, 1922)",Clastic grain: roundness,Lithification,Lithology comment,Color,Color code,Volcaniclastic grain size name,Volcaniclastic grain minerals,Unnamed: 27,Unnamed: 28
324-U1349A-1W-1-A,324,U1349,A,1,1-1,W,1,A,0.0,18.0,0.0,0.18,,Chert [MMK88],"Mazullo, Meyer & Kidd, 1988",with porcellanite,Chert with porcellanite,100.0,crypto-crystalline,,well indurated,"Three reddish chert nodules with pink porcellanite inclusions throughout which preserves trace fossil burrows. Fossil ghosts can be seen as well as black dendritic mineral growths along surface and in some areas within. First nodule (0-4cm) contains large hole which is filled with soft carbonaceous sediment, which looks to be mostly recrystallized pink calcite or altered calcitic microfossils as some spherical shapes are preserved and packed together with finer grained material.",red,10R 5/6,,,,
324-U1349A-2R-1-A,324,U1349,A,2,2-1,R,1,A,0.0,3.0,116.0,116.03,,calcareous ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",with nannofossils,calcareous ooze with nannofossils,100.0,clay [U14W22],,soft,Pale pink calcareous ooze with nannos and few bits of fish debris. Most likely was nannofossil ooze which has been recrystallized. Now mostly tiny calcite grains,pinkish white,2.5YR 8/2,,,,
324-U1349A-3R-1-A,324,U1349,A,3,3-1,R,1,A,0.0,11.0,125.6,125.71,,chert [MMK88],"Mazullo, Meyer & Kidd, 1988",,chert,100.0,crypto-crystalline,,well indurated,Red chert with pinkish white blotches and small black (oxide?) specks ,red,2.5YR 4/6,,,,
324-U1349A-4R-1-A,324,U1349,A,4,4-1,R,1,A,0.0,3.0,135.2,135.23,,chert [MMK88],"Mazullo, Meyer ",with carbonates,chert with carbonates,100.0,cryptocrystalline,,indurated,reddish pink chunks of chert with whitish blebs and chalky coatings,weak red,10R 4/4,,,,
324-U1349A-4R-1-A,324,U1349,A,4,4-1,R,1,A,3.0,5.5,135.23,135.255,,chert,"Mazullo, Meyer & Kidd, 1988",with chalk and porcellanite,chert with chalk and porcellanite,100.0,cryptocrystalline,,well indurated,brown and white striped chert and chalk/porcellanite,reddish black,2.5YR 2.5/1,,,,
324-U1349A-4R-1-A,324,U1349,A,4,4-1,R,1,A,5.5,9.0,135.255,135.29,,chert [MMK88],"Mazullo, Meyer ",,chert,100.0,cryptocrystalline,,well indurated,Red chert with white blebs and packed calcareous fossils along one side which are lighter in color and grade into the silicified rock,red,2.5YR 4/6,,,,
324-U1349A-4R-1-A,324,U1349,A,4,4-1,R,1,A,9.0,11.0,135.29,135.31,,Sand-Silt-Claystone [MMK88],"Mazullo, Meyer ",with granules and carbonate cement,Sand-Silt-Claystone with granules and carbonate cement,100.0,medium sand [U14W22],,friable,"brownish tan mish-mash of clay, sand, silt and granules, cemented with calcite but very crumbly texture.",light olive brown,2.5Y 5/4,,,,
324-U1349A-4R-1-A,324,U1349,A,4,4-1,R,1,A,11.0,23.0,135.31,135.43,,Sand-Silt-Clay [MMK88],"Mazullo, Meyer ",with granules of chert,Sand-Silt-Clay with granules of chert,100.0,medium sand [U14W22],,soft,Mixture of sandy sediment and clay as well as granule to pebble sized clasts and chunks of chert,dark yellowish brown,,,,,
324-U1349A-4R-1-A,324,U1349,A,4,4-1,R,1,A,11.0,31.0,135.31,135.51,,,,,,,,,,,,10YR 4/4,,,,
324-U1349A-5R-1-A,324,U1349,A,5,5-1,R,1,A,0.0,7.5,144.8,144.875,calcite cemented,volcanic sandstone,Exp 324,with volcaniclastics,calcite cemented volcanic sandstone with volcaniclastics,100.0,very coarse sand [U14W22],subangular (Default),well indurated,yellowish brown polylithic massive volcanic sandstone.  Mainly composed of subangular to subrounded volcaniclastics (basalt).,dark yellowish brown,10YR 4/4,lapillus [S81],basalt,,
