Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
341-U1418A-1H-1-A,0,3,0,0.03,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,2.5Y 4/2 (dark grayish brown),slight [DB86],1,,,,,,,,,,,,"- oxidized layer
- appearance of brown dots/patches down to 8 cm
- patches of diatom ooze possible",gradational contact,,,,,341,U1418,A,1,H,1,A,,,,
341-U1418A-1H-1-A,3,144,0.03,1.44,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 4/1 (dark greenish gray),slight [DB86],1,,,,,,,,,,,,"- very minor colour variations to more brownish & greyish (occasionally)
- scattered black mottles

- interbedded intervals of diatom ooze
- 0.5-2.5 cm thick
- partly bioturbated
- bioturbation partly filled with diatom ooze (e.g. 100-103)
- patch of ooze with slightly cemented burrow (77.5-82.5)
",,,,,,341,U1418,A,1,H,1,A,,,,
341-U1418A-1H-1-A,144,150,1.44,1.5,,,,,,,,,,,,,,,,,,,,,,Sample IW,,,,,,341,U1418,A,1,H,1,A,,,,
341-U1418A-1H-2-A,0,16,1.5,1.66,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 4/1 (dark greenish gray),slight [DB86],1,,,,,,,,,,,,"- very minor colour variations to more brownish & greyish (occasionally)
- scattered black mottles

- interbedded intervals of diatom ooze
- 0.5-2.5 cm thick

",gradational contact,,,,,341,U1418,A,1,H,2,A,,,,
341-U1418A-1H-2-A,16,44,1.66,1.94,,diatom ooze [Leg339],,diatom ooze ,,,,10Y 4/1 (dark greenish gray),slight [DB86],1,,,,,,,,,,,,,gradational contact,,,,,341,U1418,A,1,H,2,A,,,,
341-U1418A-1H-2-A,44,146,1.94,2.96,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 4/1 (dark greenish gray),slight [DB86],1,,,,,,,,,,,,"- very minor colour variations to more brownish & greyish (occasionally)
- scattered black mottles

- interbedded intervals of diatom ooze
- 0.5-2.5 cm thick
",,,,,,341,U1418,A,1,H,2,A,,,,
341-U1418A-1H-2-A,146,150,2.96,3,,,,,,,,,,,,,,,,,,,,,,Sample IW,,,,,,341,U1418,A,1,H,2,A,,,,
341-U1418A-1H-3-A,0,69,3,3.69,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 4/1 (dark greenish gray),slight [DB86],1,,,,,,,,,,,,"- very minor colour variations to more brownish & greyish (occasionally)
- scattered black mottles

- interbedded intervals of diatom ooze
- 0.5-2.5 cm thick
",,,,,,341,U1418,A,1,H,3,A,,,,
341-U1418A-1H-3-A,69,70,3.69,3.7,,,,,,,,,,,,,,,,,,,,,,VOID,,,,,,341,U1418,A,1,H,3,A,,,,
341-U1418A-1H-4-A,0,16.5,3.7,3.865,,mud [Leg210],,mud ,,,,10Y 4/1 (dark greenish gray),slight [DB86],1,,,,,,,,,,,,very few black mottles,,,,,,341,U1418,A,1,H,4,A,,,,
341-U1418A-1H-4-A,16.5,25,3.865,3.95,,sand [Leg210],,sand ,,,,N 4 (dark gray),,,,,,,,,,,,,,"fine to medium sized sand; very clean, much quartz, hornblende, less biotite",,,,,,341,U1418,A,1,H,4,A,,,,
341-U1418A-1H-4-A,25,70,3.95,4.4,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,very few black mottles,,,,,,341,U1418,A,1,H,4,A,,,,
341-U1418A-1H-4-A,70,72,4.4,4.42,,sand [Leg210],,sand ,,,,N 4 (dark gray),,,,,,,,,,,,,,"fine to medium sized sand; very clean, much quartz, hornblende, less biotite",,,,,,341,U1418,A,1,H,4,A,,,,
341-U1418A-1H-4-A,72,97,4.42,4.67,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,very few black mottles,,,,,,341,U1418,A,1,H,4,A,,,,
341-U1418A-1H-CC-A,0,7,4.67,4.74,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,A,1,H,CC,A,,,,
341-U1418A-1H-CC-A,7,9,4.74,4.76,,sand [Leg210],,sand ,,,,N 4 (dark gray),,,,,,,,,,,,,,"fine to medium sized sand; very clean, much quartz, hornblende, less biotite",,,,,,341,U1418,A,1,H,CC,A,,,,
341-U1418A-1H-CC-A,9,15,4.76,4.82,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,A,1,H,CC,A,,,,
341-U1418A-1H-CC-A,15,20,4.82,4.87,,,,,,,,,,,,,,,,,,,,,,PAL sample,,,,,,341,U1418,A,1,H,CC,A,,,,
341-U1418A-2H-1-A,0,59,4.8,5.39,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,extremely soupy,gradational contact,,,,,341,U1418,A,2,H,1,A,,,,
341-U1418A-2H-1-A,59,150,5.39,6.3,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,thin laminated fraint green color bands,,,,,,341,U1418,A,2,H,1,A,,,,
341-U1418A-2H-2-A,0,84,6.3,7.14,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"thin bedded faint green color bands;
thin laminated silt beds @ ~1-15cm intervals",gradational contact,,,,,341,U1418,A,2,H,2,A,,,,
341-U1418A-2H-2-A,84,121,7.14,7.51,,mud [Leg210],,mud ,,,color banding,10Y 4/1 (dark greenish gray),none [DB86],0,absent [A79],,,,,,,,,,,very thin bedded faint gray color bands,gradational contact,,,,,341,U1418,A,2,H,2,A,,,,
341-U1418A-2H-2-A,121,143,7.51,7.73,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,10Y 4/1 (dark greenish gray),none [DB86],0,absent [A79],,,,,,,,,,,"very thin bedded gray color bands;
thin laminated silt beds @ ~2-5cm intervals",,,,,,341,U1418,A,2,H,2,A,,,,
341-U1418A-2H-2-A,143,145,7.73,7.75,,,,,,,,,,,,,,,,,,,,,,VOID,,,,,,341,U1418,A,2,H,2,A,,,,
341-U1418A-2H-2-A,145,150,7.75,7.8,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1418,A,2,H,2,A,,,,
341-U1418A-2H-3-A,0,147,7.8,9.27,,mud [Leg210],,mud ,,,color banding,10Y 4/1 (dark greenish gray),none [DB86],0,absent [A79],,,,,,,,,,,"thin laminated gray color bands;
0-62cm: sparse black mottling;
@62, 130cm: intense black mottles;
appear to have been some thin silt laminae, but destroyed by soupy drilling disturbance",,,,,,341,U1418,A,2,H,3,A,,,,
341-U1418A-2H-3-A,147,150,9.27,9.3,,,,,,,,,,,,,,,,,,,,,,VOID,,,,,,341,U1418,A,2,H,3,A,,,,
341-U1418A-2H-4-A,0,150,9.3,10.8,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,5Y 4/1 (dark gray),,,present [A79],1,,,,,pebble [W22_2],subrounded,,,,"argillite clast in WH; colour banding greenish grey (5Y 4/1) dark gry (N 4); silt laminae at 81, 105, 139, 141 cm",,,,,,341,U1418,A,2,H,4,A,,,,
341-U1418A-2H-5-A,0,150,10.8,12.3,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,5Y 4/1 (dark gray),,,,,,,,,,,,,,sand lamina at 148 cm; colour banding greenish grey (5Y 4/1) dark gry (N 4),,,,,,341,U1418,A,2,H,5,A,,,,
