Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Grading,Sorting,Primary sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],2nd sedimentary structure,3rd sedimentary structure,Minor components,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
375-U1526A-1R-CC-A,7,23,0.07,0.23,,calcareous,mud,with ash,calcareous mud,calcareous mud with ash,mud with ash,5GY 7/1 (light greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Light green calcareous mudstone, rich in nannofossils, with ash layer at 7-8 cm.",,,,375,U1526,A,1,R,CC,A,
375-U1526A-2R-CC-A,0,38,9.7,10.08,,calcareous,mud,with ash,calcareous mud,calcareous mud with ash,mud with ash,5GY 7/1 (light greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Light green calcareous mudstone, rich in nannofossils, with ash layer at 27-29 cm.",,,,375,U1526,A,2,R,CC,A,
375-U1526A-3R-1-A,0,92,19.4,20.32,,calcareous,mud,with ash,calcareous mud,calcareous mud with ash,mud with ash,,,,,,,unconsolidated,,,,,,,,,,,,,,"Light green calcareous mudstone, rich in nannofossils. At 51 cm a relatively sharp boundary separates the calcareous mudstone from a withish green, nannofossil-rich ooze with tuff. Ash layer from 77-80 cm",,,,375,U1526,A,3,R,1,A,
375-U1526A-3R-2-A,0,72,20.32,21.04,,nannofossil-rich,ooze,with foraminifers,nannofossil-rich ooze,nannofossil-rich ooze with foraminifers,ooze with foraminifers,10YR 8/1 (white),,,,,,,,,,,,,,,,,,,,Light pink to whitish nannofossil-rich ooze with scattered <1 cm big light brown ash pods.,,,,375,U1526,A,3,R,2,A,
375-U1526A-3R-CC-A,7,14,21.11,21.18,,nannofossil-rich,ooze,with foraminifers,nannofossil-rich ooze,nannofossil-rich ooze with foraminifers,ooze with foraminifers,10YR 8/1 (white),,,,,,,,,,,,,,,,,,,,Light pink to whitish nannofossil-rich ooze.,,,,375,U1526,A,3,R,CC,A,
375-U1526A-4R-1-A,0,106,29.1,30.16,,volcaniclastic,conglomerate,with shells,volcaniclastic conglomerate,volcaniclastic conglomerate with shells,conglomerate with shells,7.5YR 4/1 (dark gray),,,,,,consolidated,,poor,planar lamination,,,,,,,,,,,"Dark gray to brown volcaniclastic conglomerate with shells. Average grain size is smaller (<1 mm) with no large shells between 0-25 and 95-106 cm. These intervals exhibit planar lamination in the sand-sized volcaniclastic grains. In coarser intervals, shells are common (up to 4 cm long) and are commonly partially dissolved, leaving a shell-shaped void. Rounded to sub-rounded altered basalt clasts up to 1 cm are distributed throughout the matrix.",,,,375,U1526,A,4,R,1,A,
375-U1526A-5R-1-A,0,8,38.8,38.88,,volcaniclastic,conglomerate,with shells,volcaniclastic conglomerate,volcaniclastic conglomerate with shells,conglomerate with shells,7.5YR 4/1 (dark gray),,,,,,,,poor,planar lamination,,,,,,,,,,,Dark gray to brown volcaniclastic conglomerate. Average grain size is smaller (<1 mm) with no large shells. These intervals exhibit planar lamination in the sand-sized volcaniclastic grains.,,,,375,U1526,A,5,R,1,A,
375-U1526A-5R-1-A,8,147,38.88,40.27,,,basalt,,basalt,basalt,basalt,GLEY 1 5/N (gray),,,,,,,,,,,,,,,,,,,,"Vesicular basalt. Many of the vesicles are exhibit crystal growth, including a surface at 56 cm. Bluish-gray clasts are likely completely ingrown vesicles. Other whitish grains are likely and phenocrysts. Brownish bands at 14-17, 35-40, and 141-147 cm.",,,,375,U1526,A,5,R,1,A,
375-U1526A-5R-2-A,0,13,40.27,40.4,,,basalt,,basalt,basalt,basalt,GLEY 1 5/N (gray),,,,,,,,,,,,,,,,,,,,"Vesicular basalt. Many of the vesicles are exhibit crystal growth, including a surface at 56 cm. Whitish-gray clasts are likely completely ingrown vesicles and phenocrysts.",,,,375,U1526,A,5,R,2,A,
375-U1526A-5R-2-A,13,51,40.4,40.78,,,basalt,,basalt,basalt,basalt,2.5YR 4/1 (dark reddish gray),,,,,,,,,,,,,,,,,,,,Basalt with few macroscopic vesicles at the top and decreasing concentration of vesicles with depth. Brownish mm-scale bands are likely reaction rims.,,,,375,U1526,A,5,R,2,A,
375-U1526A-5R-2-A,51,94,40.78,41.21,,volcaniclastic,conglomerate,,volcaniclastic conglomerate,volcaniclastic conglomerate,conglomerate,,,,,,,,,poor,,,,,,,,,,,,Clast- to matrix-supported conglomerate. Basalt clasts are 2-15 cm and range in color from medium gray with white spots (likely filled vesicles) to reddish-gray. Matrix is composed of sand-sized particles.,,,,375,U1526,A,5,R,2,A,
375-U1526A-5R-3-A,0,14,41.21,41.35,,volcaniclastic,conglomerate,,volcaniclastic conglomerate,volcaniclastic conglomerate,conglomerate,,,,,,,,,poor,,,,,,,,,,,,Matrix-supported conglomerate. Basalt clasts are 2-6 cm and range in color from medium gray with white spots (likely filled vesicles) to reddish-gray. Matrix is composed of sand-sized particles.,,,,375,U1526,A,5,R,3,A,
375-U1526A-5R-3-A,14,141,41.35,42.62,,,basalt,,basalt,basalt,basalt,GLEY 1 5/N (gray),,,,,,,,,,,,,,,,,,,,Vesicular basalt. Many of the vesicles are exhibit crystal growth. Whitish-gray clasts are likely completely ingrown vesicles and phenocrysts. Brownish layers between 104-112 and 117-118 cm. Volcaniclastic conglomerate between 79-82 cm. Brownish-gray sandstone between 94-101 cm.,,,,375,U1526,A,5,R,3,A,
375-U1526A-5R-CC-A,0,9,42.62,42.71,,,basalt,,basalt,basalt,basalt,GLEY 1 5/N (gray),,,,,,,,,,,,,,,,,,,,Vesicular basalt. Many of the vesicles are exhibit crystal growth. Whitish-gray clasts are likely completely ingrown vesicles and phenocrysts. Brownish layers cuts diagonally across core catcher.,,,,375,U1526,A,5,R,CC,A,
375-U1526A-6R-1-A,0,86,44.8,45.66,,,basalt,,basalt,basalt,basalt,GLEY 1 5/N (gray),,,,,,,,,,,,,,,,,,,,"Vesicular basalt. Many of the vesicles are exhibit crystal growth. Whitish-gray clasts are likely completely ingrown vesicles and phenocrysts. Brownish staining from 0-11, 70-72 cm.",,,,375,U1526,A,6,R,1,A,
