Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Degree of alteration,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Volcanic clasts (>2 mm) DOMINANT,DOMINANT volcanic clast roundness,Volcanic clasts (>2 mm) 2ND ORDER,2ND volcanic clast roundness,Volcanic clasts (>2 mm) 3RD ORDER,3RD volcanic clast roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix abundance [%],Matrix comments,Type and sense of shear,Apparent dip angle 1 [deg],Apparent dip azimuth 1 [deg],Apparent dip angle 2 [deg],Apparent dip azimuth 2 [deg],Dip azimuth calculated in CRF [deg],Dip angle calculated in CRF [deg],Dip azimuth measured in CRF [deg],Dip angle measured in CRF [deg],Slickenside trend [deg],Slickenside plunge [deg],Rake angle [deg],Rake ref. direction [%deg],Structure comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
376-U1530A-1R-1-A,0,9,0.0,0.09,1,,,,,,clay,,clay,,GLEY 2 4/10B (dark bluish gray),,clay,1.0,silt,2.0,Thin layer of dark grey clay at top of core. Some layering visible; Contains pyrite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,1,R,1,A,,,
376-U1530A-1R-1-A,9,53,0.09,0.53,1,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 2 6/5B (bluish gray),,granule,4.0,large pebble,7.0,Stockwork zone hosted in altered polymict volcaniclastic rocks; lots of disseminated pyrite and veins.,,,,,poor,,,volcanic,lithic,,,,"fine-grained, unknown",sub-rounded,,,volcanic,subangular,,,,,,,,,,,"2 types of clasts: 1) light grey (larger ones with a blueish-greenish alteration) volcanic clasts with a few scattered pseudomorphs after plagioclase, probably corresponding to the common Brothers dacite. 2) black, fine-grained clasts (lithic?) of unknown nature.",hydrothermal,,,well,40.0,"Matrix composed of pyrite, small volcanic clasts (<2 mm) and probably silica.",,,,,,,,,,,,,,,,,,376,U1530,A,1,R,1,A,,,
376-U1530A-2R-1-A,0,37,7.2,7.57,1,,,,,"clast-supported, polymict",lapillistone,,"clast-supported, polymict lapillistone",,GLEY 2 7/5B (light bluish gray),,medium pebble,6.0,very large pebble,8.0,Stockwork zone hosted in altered polymict volcaniclastic rocks. Two types of clasts 1) light blueish fine grain clast with vugs and fracture networks. 2) dark gray fine grained clast with fine disseminated sulfide minerals. Disseminated sulfide minerals. Vein consist of sulfate and sulfide minerals.,,,,,moderate,,,volcanic,volcanic,,,,,,,,volcanic,subangular,volcanic,sub-rounded,,,,,,,,,"2 types of clasts: 1) light grey (larger ones with a light blueish alteration) volcanic clasts with a few scattered pseudomorphs after plagioclase, probably corresponding to the common Brothers dacite. 2) dark gray, fine-grained clasts.",hydrothermal,,,well,15.0,"Matrix composed of hydrothermal minerals and probably small volcanic clasts (<2 mm), clay and silica.",,,,,,,,,,,,,,,,,,376,U1530,A,2,R,1,A,,,
376-U1530A-3R-1-A,0,63,16.9,17.53,1,,,,,"clast-supported, polymict",lapillistone,,"clast-supported, polymict lapillistone",,gley 2 6/5bg (greenish gray),,small pebble,5.0,very large pebble,8.0,"Altered polymict volcaniclastic rocks. Two types of clasts 1) light blueish fine grain clast with vugs and fracture networks. 2) dark gray fine grained clast with vugs and fine disseminated sulfide minerals. Matrix consist of altered volcanic material including clay, possibly silica, sulfate minerals and +/- sulfide minerals.",,,,,poor,,,volcanic,volcanic,,,,,,,,volcanic,subangular,volcanic,subangular,,,,,,,,,"2 types of clasts: 1) light grey (larger ones with a light blueish alteration) volcanic clasts, probably corresponding to the common Brothers dacite. 2) dark gray, fine-grained clasts.",hydrothermal,,,well,20.0,"Matrix composed of small volcanic clasts (<2 mm), clay, sulfate minerals, sulfide minerals and silica.",,,,,,,,,,,,,,,,,,376,U1530,A,3,R,1,A,,,
376-U1530A-4R-1-A,0,150,21.4,22.9,1,,,,,"clast-supported, polymict",lapillistone,with blocks-bombs,"clast-supported, polymict lapillistone with blocks-bombs",,GLEY 2 6/10BG (greenish gray),,medium pebble,6.0,cobble,9.0,"Altered polymict volcaniclastic rocks. Two types of clasts 1) light greenish-blueish fine grain clast with vugs and fracture networks. 2) dark gray fine grained clast with vugs and fine disseminated sulfide minerals. Matrix consist of altered volcanic material including clay, possibly silica, sulfate minerals and sulfide minerals. Sulfate veins crosscut the clasts and matrix..",,,,,poor,,,volcanic,volcanic,,,,,,,,volcanic,sub-rounded,volcanic,sub-rounded,,,,,,,,,"2 types of clasts: 1) light grey (larger ones with a light green-blueish alteration) volcanic clasts, contain pseudomorphs of plagioclase or vesicles, probably corresponding to the common Brothers dacite. 2) dark gray, sulfide-rich & fine-grained clasts.",hydrothermal,,,well,15.0,"Matrix composed of small volcanic clasts (<2 mm), clay, sulfate minerals, sulfide minerals and silica. Vugs in the matrix often filled with sulfate and sulfide minerals.",,,,,,,,,,,,,,,,,,376,U1530,A,4,R,1,A,,,
376-U1530A-5R-1-A,0,72,25.9,26.62,1,,,,,"clast-supported, polymict",lapillistone,,"clast-supported, polymict lapillistone",,gley 2 6/5bg (greenish gray),,small pebble,5.0,very large pebble,8.0,"Altered polymict volcaniclastic rocks. Three types of clasts 1) light greenish-blueish fine grain clast with vugs and fracture networks. 2) dark gray fine grained clast with vugs and fine disseminated sulfide minerals. 3) few subangular light gray fine grained with vugs filled with sulfate and sulfide minerals. Matrix consist of altered volcanic material including clay, possibly silica, sulfate minerals and sulfide minerals. Sulfate veins crosscut the clasts and matrix.",,,,,moderate,,,volcanic,volcanic,volcanic,,,,,,,volcanic,subangular,volcanic,subangular,volcanic,subangular,,,,,,,"3 types of clasts: 1) light blueish grey (larger ones) volcanic clasts, contain pseudomorphs of plagioclase or vesicles, probably corresponding to the common Brothers dacite. 2) dark gray, sulfide-rich & fine-grained clasts. 3) light gray fine-grained clast with vugs and/or vesicles filled with sulfate minerals.",hydrothermal,,,well,15.0,"Matrix composed of small volcanic clasts (<2 mm), clay, sulfate minerals, sulfide minerals and silica. Vugs in the matrix often filled with sulfate and sulfide minerals.",,,,,,,,,,,,,,,,,,376,U1530,A,5,R,1,A,,,
376-U1530A-6R-1-A,0,58,30.7,31.28,2a,,,,,,sandstone,,sandstone,,GLEY 2 6/5B (bluish gray),,sand,3.0,sand,3.0,"massive, impregnated with pyrite",,,,,well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,6,R,1,A,,,
376-U1530A-7R-1-A,0,53,35.5,36.03,2b,,,,,silty,mudstone,,silty mudstone,,GLEY 2 7/5B (light bluish gray),,clay,1.0,silt,2.0,"massive, impregnated with pyrite",,,,,well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,7,R,1,A,,,
376-U1530A-8R-1-A,0,12,40.3,40.42,2b,,,,,,sandstone,,sandstone,,GLEY 2 7/5B (light bluish gray),,sand,3.0,sand,3.0,"massive, impregnated with pyrite; some mudstone pebbles",,,,,well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,8,R,1,A,,,
376-U1530A-8R-1-A,12,38,40.42,40.68,2b,,,,,silty,mudstone,,silty mudstone,,GLEY 2 7/5B (light bluish gray),,clay,1.0,silt,2.0,some color stratification,,,,,well,,stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,8,R,1,A,,,
