Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Diagenetic constituent,Diagenetic constituent composition,Biogenic material,Lithologic accessories,Contact or boundary type,Contact geometry,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
374-U1522A-1R-1-A,0.0,20.0,0.0,0.2,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],,diatom rich sandy mud(stone) to muddy sand(stone),,2.5Y 7/6 (olive yellow),,,,,,,,lonestone,gradational boundary or contact,,With clasts. Lonestone at 7 cm. gradational color change at 7 cm.,,,,374,U1522,A,1,R,1,A
374-U1522A-1R-1-A,20.0,142.0,0.2,1.42,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),,,,,,,,,,,With clasts.,,,,374,U1522,A,1,R,1,A
374-U1522A-1R-2-A,0.0,8.0,1.52,1.6,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,2.5Y 7/6 (olive yellow),,,,,,,,,gradational boundary or contact,,Gradational color change. This may be related to drilling disturbance of rotery coring.,,,,374,U1522,A,1,R,2,A
374-U1522A-1R-2-A,8.0,126.0,1.6,2.78,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,"Lonestones at 22, and 109-110 cm.",,,,374,U1522,A,1,R,2,A
374-U1522A-1R-CC-A,5.0,11.0,2.83,2.89,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,Lonestones at 7-11 cm.,,,,374,U1522,A,1,R,CC,A
374-U1522A-3R-1-A,0.0,24.0,19.2,19.44,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1522,A,3,R,1,A
374-U1522A-4R-1-A,0.0,43.0,28.8,29.23,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1522,A,4,R,1,A
374-U1522A-4R-CC-A,0.0,17.0,29.23,29.4,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1522,A,4,R,CC,A
374-U1522A-5R-CC-A,0.0,20.0,38.5,38.7,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1522,A,5,R,CC,A
374-U1522A-6R-CC-A,4.0,12.0,48.24,48.32,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1522,A,6,R,CC,A
