Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Principal Name,MAJ Lith. abundance [%],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Minor Lithology Name,MIN Lith. abundance [%],MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Lith. comment,Clast percentage [%],Clast 1 igneous - pumiceous [%],Clast 1 igneous - pumiceous grain size,Clast 2 igneous - scoriaceous [%],Clast 2 igneous - scoriaceous grain size,Clast 3 igneous - massive [%],Clast 3 igneous - massive grain size,Clast 4 igneous - vesicular [%],Clast 4 igneous - vesicular grain size,Clast 5 volcaniclastic [%],Clast 5 volcaniclastic grain size,Clast 6 sediment [%],Clast 6 sediment grain size,Clast 7 -other lithology [%],Clast 7 -other lithology grain size,Clast lith. abund. sum [%],Clast lithology comment,Clast roundness,Matrix 1 igneous - pumiceous [%],Matrix 2 igneous - scoriaceous [%],Matrix 3 igneous - massive [%],Matrix 4 igneous - vesicular [%],Matrix 5 volcaniclastic [%],Matrix 6 sediment [%],Matrix 7 -other lithology [%],Matrix biogenic carbonate [%],Matrix detritical carbonate [%],Matrix carbonate [%],Matrix abund. sum [%],Matrix sorting,Matrix alteration intensity,Matrix alteration rank,Matrix comment,Deformational structures,Deformational structure strike [deg],Deformational structure dip [deg],Deformational structure comment,Groundmass modal percentage [%],Groundmass modal grain size [mm],Groundmass comments,File Data,,Minor Lithology Prefix,Minor Lithology Suffix,Lithology Suffix,Lithology Prefix
340-U1394A-1H-1-A,340,U1394,A,1,1-1,H,1,A,0.0,21.0,0.0,0.21,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100.0,fine sand [T07],4,,,,,100,"Basically sandy bud several muddy patches or layers, may be drilling disturbance.",0.0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,well [BP01],absent [alteration],0,,,,,,,,,,,,,,
340-U1394A-1H-1-A,340,U1394,A,1,1-1,H,1,A,21.0,39.0,0.21,0.39,slight [drilling disturbance],2,carbonate ooze [Leg178],100.0,silt-fine mud [T07],2,,,,,100,"Upper is light brown, lower is darker brown. Weak layering or patches. ",0.0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,moderate [BP01],absent [alteration],0,,,,,,,,,,,,,,
340-U1394A-1H-1-A,340,U1394,A,1,1-1,H,1,A,39.0,42.0,0.39,0.42,slight [drilling disturbance],2,carbonate ooze [Leg178],100.0,silt-fine mud [T07],2,,,,,100,greenish muddy matrix,0.0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,moderate [BP01],absent [alteration],0,,,,,,,,,,,,,,
340-U1394A-1H-1-A,340,U1394,A,1,1-1,H,1,A,42.0,43.0,0.42,0.43,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100.0,fine sand [T07],4,,,,,100,dark gray colored sandy layer,0.0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,very well [BP01],absent [alteration],0,,,,,,,,,,,,,,
340-U1394A-1H-1-A,340,U1394,A,1,1-1,H,1,A,43.0,93.0,0.43,0.93,minimal [drilling disturbance],1,carbonate ooze [Leg178],100.0,silt-fine mud [T07],2,,,,,100,"upper is muddy with gray to light gray colored weak layering, In 75-76 cm green-colored part. Fragments of biogenic clasts.",0.0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,moderate [BP01],absent [alteration],0,,,,,,,,,,,,,,
340-U1394A-1H-1-A,340,U1394,A,1,1-1,H,1,A,93.0,121.0,0.93,1.21,minimal [drilling disturbance],1,carbonate ooze [Leg178],100.0,silt-fine mud [T07],2,,,,,100,"Brown-colored mud with weak layering, biogenic clasts (< 5 mm)",0.0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,moderate [BP01],absent [alteration],0,,,,,,,,,,,,,,
340-U1394A-1H-1-A,340,U1394,A,1,1-1,H,1,A,121.0,124.0,1.21,1.24,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100.0,fine sand [T07],4,,,,,100,Dark-gray colored very fine sand.,0.0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,well [BP01],absent [alteration],0,,,,,,,,,,,,,,
340-U1394A-1H-1-A,340,U1394,A,1,1-1,H,1,A,124.0,130.0,1.24,1.3,minimal [drilling disturbance],1,volcaniclastic-mud [BGS-S81],100.0,silt-fine mud [T07],2,,,,,100,"light gray colored, upper is muddy and lower is sandy.",0.0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,moderate [BP01],absent [alteration],0,,,,,,,,,,,,,,
340-U1394A-1H-1-A,340,U1394,A,1,1-1,H,1,A,130.0,138.0,1.3,1.38,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100.0,fine sand [T07],4,,,,,100,,0.0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,well [BP01],absent [alteration],0,,,,,,,,,,,,,,
340-U1394A-1H-1-A,340,U1394,A,1,1-1,H,1,A,138.0,143.0,1.38,1.43,minimal [drilling disturbance],1,volcaniclastic-mud [BGS-S81],100.0,silt-fine mud [T07],2,,,,,100,,0.0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,moderate [BP01],absent [alteration],0,,,,,,,,,,,,,,
