Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Classification,Lithology Suffix,Complete name,Lithology [%],"Dominant grain size (Wentworth, 1922)",Clastic grain: roundness,Lithification,Lithology comment,Color,Color code,Volcaniclastic grain size name,Volcaniclastic grain minerals,Extra Sample ID Data
324-U1350A-1W-1-A,324,U1350,A,1,1-1,W,1,A,0,3,0,0.03,,chert [MMK88],"Mazullo, Meyer & Kidd, 1988",,chert,100,cryptocrystalline [324],,well indurated,Dark reddish brown chert with 2 parallel bands (~3mm thick) running across the middle. Probably relict bedding. ,dark reddish brown,2.5YR 4/4,,,
324-U1350A-1W-1-A,324,U1350,A,1,1-1,W,1,A,3,6,0.03,0.06,,chert [MMK88],"Mazullo, Meyer & Kidd, 1988",,chert,100,cryptocrystalline [324],,well indurated,"Reddish brown chert, with 1mm thick coating of partially silicified chalk on one side. ",reddish brown,2.5YR 3/3,,,
324-U1350A-1W-1-A,324,U1350,A,1,1-1,W,1,A,6,10,0.06,0.1,,chert [MMK88],"Mazullo, Meyer & Kidd, 1988",,chert,100,cryptocrystalline [324],,well indurated,Black chert. Porcellanite/highly silicifed chalk on one side. ,black,N 2.5,,,
324-U1350A-3R-1-A,324,U1350,A,3,3-1,R,1,A,0,10,114.2,114.3,,chert [MMK88],"Mazullo, Meyer & Kidd, 1988",,chert,100,cryptocrystalline [324],,well indurated,"Black chert with pale gray porcellanite streaks and patches and occasional, thin chalky coatings",black,N 2.5,,,
324-U1350A-4R-1-A,324,U1350,A,4,4-1,R,1,A,0,25,123.8,124.05,,chert [MMK88],"Mazullo, Meyer & Kidd, 1988",,chert,100,cryptocrystalline [324],,well indurated,"Black chert. 1mm thick coating of chalk on one piece. Pale gray, circular porcellanite patches are common. radiolarian fossil ghosts are found throughout.",black,N 2.5,,,
324-U1350A-5R-1-A,324,U1350,A,5,5-1,R,1,A,0,20,133.4,133.6,,chert [MMK88],"Mazullo, Meyer & Kidd, 1988",,chert,100,cryptocrystalline [324],,well indurated,Black chert. Well preserved radiolarians concentrated around the numerous porcellanite patches (relict bioturbation?),black,N 2.5,,,
324-U1350A-6R-1-A,324,U1350,A,6,6-1,R,1,A,0,13,143,143.13,,chert [MMK88],"Mazullo, Meyer & Kidd, 1988",,chert,100,cryptocrystalline [324],,well indurated,"Chert is black and massive. No bedding visible. Light brownish gray (10 YR 7/2), carbonate-rich, silt-fine sand is adhered to the side of the first largest piece. ",black,N 2.5,,,
324-U1350A-6R-1-A,324,U1350,A,6,6-1,R,1,A,13,22,143.13,143.22,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,100,silt [U14W22],,well indurated,Basalt is fine grained. Only very small (~1mm) vesicles visible. ,dark gray,N 4,,,
324-U1350A-8R-1-A,324,U1350,A,8,8-1,R,1,A,0,8,155.3,155.38,,chert [MMK88],,,chert,100,cryptocrystalline [324],,well indurated,"Few  pieces of black chert with grey blebs. Thin, patchy porcellanite coating present on some pieces. Few fossil ghosts visible within the matrix as well as yellowish sand sized particles.",black,7.5YR 2.5/1,,,
324-U1350A-8R-1-A,324,U1350,A,8,8-1,R,1,A,102,104,156.32,156.34,,limestone [MMK88],"Mazullo, Meyer & Kidd, 1988",with volcaniclastics,limestone with volcaniclastics,100,fine sand [U14W22],rounded (Default),lithified,Small (2.5 cm x 1 cm) piece of grey limestone with large amount of sand sized volcanic grains. Most grains are rounded and black few look more angular and have greenish-blue oxidized mineral coating. One end is blackened and waxy feeling from heating by nearby volcanic flow (pillow emplacement?). There is secondary calcite crystals (~0.5-1 mm) growing on the blackened end and a thin calcite vein cutting through the limestone piece.,greenish gray,10Y 5/1,fine ash [S81],basalt,
