Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology name,Grain size max. [mm],Lithification,Lithification rank,Lithology [%],lithology classification,Comment,File Data,
317-U1351B-1H-1-A,317,U1351,B,1,1-1,H,1,A,0.0,150.0,0.0,1.5,,Mud [S54-Leg210],,Sandy mud,,,,,"Shepard, 1954 - Leg 210 revision",Fine sandy calcareous mud with rare broken shells,,
317-U1351B-1H-2-A,317,U1351,B,1,1-2,H,2,A,0.0,72.0,1.5,2.22,Calcareous,Mud [S54-Leg210],,Calcareous Mud,,,,,"Shepard, 1954 - Leg 210 revision",Slightly shelly fine sandy calcareous mud,,
317-U1351B-1H-2-A,317,U1351,B,1,1-2,H,2,A,72.0,129.0,2.22,2.79,,Mud [S54-Leg210],,Sandy mud,,,,,"Shepard, 1954 - Leg 210 revision",Shelly fine to very fine sandy mud,,
317-U1351B-1H-2-A,317,U1351,B,1,1-2,H,2,A,129.0,133.0,2.79,2.83,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",Shelly fine-medium sand; abundant gastropods,,
317-U1351B-1H-2-A,317,U1351,B,1,1-2,H,2,A,133.0,150.0,2.83,3.0,,Shell hash,,Shell hash,,,,,Leg 150,Muddy fine sand shell hash.  Numerous broken shells including Tawera bivalv,,
317-U1351B-1H-3-A,317,U1351,B,1,1-3,H,3,A,0.0,4.0,3.0,3.04,,Shell hash,,Shell hash,,,,,Leg 150,Muddy shell hash,,
317-U1351B-1H-3-A,317,U1351,B,1,1-3,H,3,A,4.0,150.0,3.04,4.5,,Mud [S54-Leg210],,Sandy mud,,,,,"Shepard, 1954 - Leg 210 revision",Very fine micaceous sandy mud with rare turrteld shells ,,
317-U1351B-1H-4-A,317,U1351,B,1,1-4,H,4,A,0.0,150.0,4.5,6.0,,Mud [S54-Leg210],,mud,,,,,"Shepard, 1954 - Leg 210 revision","Slightly shelly mud.  At 5 cm, fining upward from silt to clay.  From 5-38 cm, alternating fining-upward discontinous silt-clay laminae.",,
317-U1351B-1H-5-A,317,U1351,B,1,1-5,H,5,A,0.0,100.0,6.0,7.0,,Mud [S54-Leg210],,mud,,,,,"Shepard, 1954 - Leg 210 revision",Slightly shelly mud; shells of Terratellid,,
317-U1351B-1H-6-A,317,U1351,B,1,1-6,H,6,A,0.0,5.0,7.0,7.05,,Mud [S54-Leg210],,mud,,,,,"Shepard, 1954 - Leg 210 revision",Slightly shelly mud; sharp irregular basal contact with clay-rich interval below,,
317-U1351B-1H-6-A,317,U1351,B,1,1-6,H,6,A,5.0,48.0,7.05,7.48,,Mud [S54-Leg210],,mud,,,,,"Shepard, 1954 - Leg 210 revision",Slightly shelly mud,,
