Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data
341-U1417E-2R-1-A,0,7.5,264,264.075,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,absent [A79],,,,,,,,,,,,,,,,
341-U1417E-2R-1-A,7.5,14,264.075,264.14,,clast-poor diamict [M89m],with mud [Leg339],clast-poor diamict  with mud ,,,,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,,,,,,
341-U1417E-2R-1-A,14,150,264.14,265.5,volcaniclastic bearing,mud [Leg210],,volcaniclastic bearing mud ,volcaniclastic-bearing,2,color banding,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,faint green/brown color bands; 143-150cm: silty brown (7.5YR 4/1) patches,,,,,
341-U1417E-2R-2-A,0,50.5,265.5,266.005,volcaniclastic bearing,mud [Leg210],,volcaniclastic bearing mud ,volcaniclastic-bearing,2,,N 4 (dark gray),slight [DB86],1,absent [A79],,,,,,,,,,,,,,,,
341-U1417E-2R-2-A,50.5,56.5,266.005,266.065,,mud [Leg210],,mud ,,,,10Y 4/1 (dark greenish gray),slight [DB86],1,absent [A79],,,,,,,,,,,,,,,,
341-U1417E-2R-2-A,56.5,71,266.065,266.21,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,absent [A79],,,,,,,,,,,,gradational contact,,,,
341-U1417E-2R-2-A,71,109,266.21,266.59,,mud [Leg210],,mud ,,,,5GY 4/1 (dark greenish gray),heavy [DB86],3,absent [A79],,,,,,,,,,,,gradational contact,,,,
341-U1417E-2R-2-A,109,135,266.59,266.85,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),moderate [DB86],2,absent [A79],,,,,,,,,,,green color bands,,,,,
341-U1417E-2R-2-A,135,147,266.85,266.97,,mud [Leg210],,mud ,,,,5GY 4/1 (dark greenish gray),heavy [DB86],3,absent [A79],,,,,,,,,,,,,,,,
341-U1417E-2R-2-A,147,150,266.97,267,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,absent [A79],,,,,,,,,,,,gradational contact,,,,
341-U1417E-2R-3-A,0,17.5,267,267.175,,mud [Leg210],,mud ,,,,N 4 (dark gray),moderate [DB86],2,absent [A79],,,,,,,,,,,,,,,,
341-U1417E-2R-3-A,17.5,72,267.175,267.72,,mud [Leg210],,mud ,,,,5GY 4/1 (dark greenish gray),heavy [DB86],3,absent [A79],,,,,,,,,,,,gradational contact,,,,
341-U1417E-2R-3-A,72,150,267.72,268.5,,interbedded mud(stone) and diamict [McKW53],,interbedded mud(stone) and diamict ,,,color banding,N 4 (dark gray),none [DB86],0,,,,,,,,,,,,"green color bands; diamict layers: 0.5cm to ~3cm thick, gradational contacts, clasts up to 4mm, but mostly sand",,,,,
341-U1417E-2R-4-A,0,150,268.5,270,,interbedded mud(stone) and diamict [McKW53],,interbedded mud(stone) and diamict ,,,color banding,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,"green/brown color banding; diamict layers: 0.5cm to ~11cm thick, very gradational contacts (difficult to determine thickness)",,,,,
341-U1417E-2R-5-A,0,37,270,270.37,,interbedded mud(stone) and diamict [McKW53],with silt [Leg339],interbedded mud(stone) and diamict  with silt ,,,,N 4 (dark gray),,,,,,,,,fine sand [W22_2],subangular,,,,"3 layers of diamict clasts at 1, 18 and 22 cm; clast poor muddy diamict",,,,,
341-U1417E-2R-5-A,37,58,270.37,270.58,,clast-poor diamict [M89m],with mud [Leg339],clast-poor diamict  with mud ,,,,N 4 (dark gray),moderate [DB86],2,,,,,fine sand [W22_2],subrounded,,,,,,,,,,,
341-U1417E-2R-5-A,58,77,270.58,270.77,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1417E-2R-5-A,77,131,270.77,271.31,,interbedded mud(stone) and diamict [McKW53],with silt [Leg339],interbedded mud(stone) and diamict  with silt ,,,,N 4 (dark gray),,,,,,,fine sand [W22_2],subrounded,,,,,,"6 layers 0.3 to 1 cm of diamict clasts, 2mm, at 78, 88, 92, 101, 108, 118 cm; clast poor muddy diamict
",,,,,
341-U1417E-2R-5-A,131,150,271.31,271.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),moderate [DB86],2,,,,,,,,,,,,,,,,,
341-U1417E-2R-6-A,0,70,271.5,272.2,,mud [Leg210],,mud ,,,,N 4 (dark gray),moderate [DB86],2,,,,,,,,,,,,,,,,,
341-U1417E-2R-6-A,70,150,272.2,273,,interbedded mud(stone) and diamict [McKW53],with silt [Leg339],interbedded mud(stone) and diamict  with silt ,,,,N 4 (dark gray),slight [DB86],1,,,,,fine sand [W22_2],subrounded,,,,,,"4 layers of diamict clasts <0.5 to 1 cm at 71, 79,106-109, 133 cm; clast poor muddy diamict",,,,,
341-U1417E-2R-7-A,0,10,273,273.1,,interbedded mud(stone) and diamict [McKW53],with silt [Leg339],interbedded mud(stone) and diamict  with silt ,,,,N 4 (dark gray),,,,,,,,,fine sand [W22_2],subrounded,,,,1 lyer of diamict clasts at 7.5 cm; clast poor muddy diamict,,,,,
341-U1417E-2R-7-A,10,53,273.1,273.53,,mud [Leg210],,mud ,,,,N 4 (dark gray),heavy [DB86],3,,,,,,,,,,,,,,,,,
341-U1417E-2R-CC-A,0,16,273.53,273.69,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1417E-2R-CC-A,16,21,273.69,273.74,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,
341-U1417E-3R-1-A,0,95.5,273.1,274.055,calcareous rich,interbedded mud(stone) and diamict [McKW53],,calcareous rich interbedded mud(stone) and diamict ,,,color banding,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,"pyritized clasts (2-3cm size) at 0, 86, 147cm - likely not in place;
diamict layers: <1cm to ~2cm thick, gradational contacts, clasts up to 4mm but mostly sand;
faint green color bands
",,,,,
341-U1417E-3R-1-A,95.5,96.5,274.055,274.065,,sand [Leg210],,sand ,,,,5GY 4/1 (dark greenish gray),none [DB86],0,,,,,,,,,,,,coarse sand; heavily drilling disturbed,,,,,
341-U1417E-3R-1-A,96.5,150,274.065,274.6,calcareous bearing,interbedded mud(stone) and diamict [McKW53],,calcareous bearing interbedded mud(stone) and diamict ,,,color banding,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,"pyritized clasts (2-3cm size) at 0, 86, 147cm - likely not in place;
diamict layers: <1cm to ~2cm thick, gradational contacts, clasts up to 4mm but mostly sand;
faint green color bands
",,,,,
341-U1417E-3R-2-A,0,150,274.6,276.1,calcareous bearing,interbedded mud(stone) and diamict [McKW53],,calcareous bearing interbedded mud(stone) and diamict ,,,color banding,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,"faint green color bands;
diamict layers: <1cm to ~1cm thick, gradational contacts, mostly sand clasts, but as large as 8mm.
115 cm: clast with weathered rim (graywacke) -> not subglacial",,,,,
341-U1417E-3R-3-A,0,112,276.1,277.22,calcareous bearing,interbedded mud(stone) and diamict [McKW53],,calcareous bearing interbedded mud(stone) and diamict ,,,color banding,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,"faint green color bands;
diamict layers: <1cm to ~3cm thick, very gradational contact, mostly sand clasts",,,,,
341-U1417E-3R-3-A,112,142,277.22,277.52,,mud [Leg210],,mud ,,,,5GY 4/1 (dark greenish gray),heavy [DB86],3,,,,,,,,,,,,,,,,,
341-U1417E-3R-3-A,142,150,277.52,277.6,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,,,,,,,,,,,,142.5cm - pyritized very thin laminae,,,,,
341-U1417E-3R-4-A,0,150,277.6,279.1,calcareous bearing,interbedded mud(stone) and diamict [McKW53],,calcareous bearing interbedded mud(stone) and diamict ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,"metasiltstone clasts, some intervals are weakly colour banded; clast poor muddy diamict",,,,,
341-U1417E-3R-5-A,0,107,279.1,280.17,,interbedded mud(stone) and diamict [McKW53],with silt [Leg339],interbedded mud(stone) and diamict  with silt ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,"partly colour banded, partly weakly laminated; clast poor muddy diamict",,,,,
341-U1417E-3R-CC-A,0,17,280.17,280.34,,interbedded mud(stone) and diamict [McKW53],,interbedded mud(stone) and diamict ,,,,N 4 (dark gray),,,,,,,,,,,,,,clast poor muddy diamict,,,,,
341-U1417E-3R-CC-A,0,20,280.17,280.37,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,
341-U1417E-4R-1-A,0,150,282.8,284.3,,interbedded mud(stone) and diamict [McKW53],,interbedded mud(stone) and diamict ,,,color banding,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,"- interbedded mud and (clast poor) diamict
- thickness of diamicts max. 3 cm (e.g. 130-133 cm)
- note that disturbance can have influenced the thickness of diamict intervals
- muddy intervals up to 7.5 cm thick
- occasional bioturbation in muddy intervals
- occasional lamination (max. 1 mm thick) in muddy intervals
- occasional occurrence of lonestones (<2 mm) - general comment to core 4R
- occasional inclusion of lonestones in bioturbation - general comment to core 4R
- some colour banding in muds (slightly more greenish and greyish)",,,,,
