Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
369-U1515A-1R-1-A,0,150,0.0,1.5,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 7/10Y (light greenish grey),massive [BJ84],,,structureless,,fine sand [W22_2],4.0,,,none,0.0,The core has an odor that resembles hydrogen sulfide.,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1515,A,1,R,1,A
369-U1515A-1R-2-A,0,146,1.5,2.96,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 7/10Y (light greenish grey),massive [BJ84],,,structureless,,fine sand [W22_2],4.0,,,none,0.0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1515,A,1,R,2,A
369-U1515A-1R-3-A,0,116,3.01,4.17,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 7/10Y (light greenish grey),massive [BJ84],,,structureless,,fine sand [W22_2],4.0,,,none,0.0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1515,A,1,R,3,A
369-U1515A-1R-4-A,0,51,4.17,4.68,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 7/10Y (light greenish grey),massive [BJ84],,,structureless,,fine sand [W22_2],4.0,,,none,0.0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1515,A,1,R,4,A
369-U1515A-1R-CC-A,0,18,4.68,4.86,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 7/10Y (light greenish grey),massive [BJ84],,,structureless,,fine sand [W22_2],4.0,,,none,0.0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1515,A,1,R,CC,A
369-U1515A-2R-1-A,0,150,9.6,11.1,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 7/N (light gray),massive [BJ84],,,structureless,,fine sand [W22_2],4.0,,,none,0.0,The core has an odor that resembles hydrogen sulfide. Macrofossils include shell fragments and rugose coral.,,,,,,,,shell fragment,rare,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1515,A,2,R,1,A
369-U1515A-2R-2-A,0,150,11.1,12.6,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 7/10Y (light greenish grey),massive [BJ84],,,structureless,,fine sand [W22_2],4.0,,,none,0.0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1515,A,2,R,2,A
369-U1515A-2R-3-A,0,150,12.6,14.1,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 7/10Y (light greenish grey),massive [BJ84],,,structureless,,fine sand [W22_2],4.0,,,none,0.0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1515,A,2,R,3,A
369-U1515A-2R-4-A,0,140,14.1,15.5,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 7/10Y (light greenish grey),massive [BJ84],,,structureless,,fine sand [W22_2],4.0,,,none,0.0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1515,A,2,R,4,A
369-U1515A-2R-5-A,0,150,15.6,17.1,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 7/10Y (light greenish grey),massive [BJ84],,,structureless,,fine sand [W22_2],4.0,,,none,0.0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1515,A,2,R,5,A
