Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Grading,Sorting,Primary sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],2nd sedimentary structure,3rd sedimentary structure,Minor components,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,General interval comment,Ship File Links,Shore File Links,File Data
375-U1518E-1H-1-A,0,142,0,1.42,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,,unconsolidated,,,,,,,,,,,,,,No bottom contact,,,
375-U1518E-1H-2-A,0,68,1.52,2.2,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,,unconsolidated,,,,,,,,,,,,,,No bottom contact,,,
375-U1518E-1H-2-A,68,142,2.2,2.94,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,thin bed,unconsolidated,normal grading,poor,parallel bedding,moderate,2,ash pods,,,,,,,,"Bases of sandy silt layers at 71, 81, 85, 95, 104, 115, 135, 139 cm. Ash pods at 119 cm and 121-129 cm.",,,
375-U1518E-1H-3-A,0,142,3.03,4.45,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,thin bed,unconsolidated,normal grading,poor,parallel bedding,slight,1,,,,,,,,,"Bases of sandy silt layers are at 2, 16, 23, 47, 62, 105, 138 cm.",,,
375-U1518E-1H-4-A,0,142,4.54,5.96,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,inclined,thin bed,unconsolidated,normal grading,poor,parallel bedding,slight,1,ash pods,,,,,,,,Base of sandy silt layer at 15 cm. Ash pods at 18 and 119 cm.,,,
375-U1518E-1H-5-A,0,142,6.05,7.47,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,inclined,thin bed,unconsolidated,normal grading,poor,parallel bedding,slight,1,,,,,,,,,"Bases of sandy silt layers at 15, 34, 54, 67, 86, 114 cm.",,,
375-U1518E-1H-6-A,0,26,7.56,7.82,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,very thin bed,unconsolidated,normal grading,poor,parallel bedding,slight,1,,,,,,,,,"Bases of sandy silt layers at 3, 14, 26 cm.",,,
375-U1518E-1H-6-A,26,42,7.82,7.98,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,5Y 7/1 (light gray),,,,,,unconsolidated,normal grading,well,,,,,,,,,,,,,,,
375-U1518E-1H-6-A,42,69,7.98,8.25,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,thin bed,unconsolidated,normal grading,poor,parallel bedding,slight,1,,,,,,,,,Base of sandy silt layers at 63 cm.,,,
375-U1518E-1H-CC-A,0,35,8.35,8.7,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,thin bed,unconsolidated,normal grading,poor,parallel bedding,slight,1,,,,,,,,,"Base of sandy silt layers at 11, 20, 27 cm.",,,
