Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top[cm] [cm],Bottom[cm] [cm],Top Depth[m] [m],Bottom Depth[m] [m],Color(name),PREFIX,PRINCIPALLITHOLOGY,Classification,SUFFIX,COMPLETE NAME,"Dominantgrain size(Wentworth, 1922)",Clastic grainRoundness,LITHIFICATION,LITHOLOGY COMMENTS,File Data
334-U1379C-1H-1-A,334,U1379,C,1,1-1,H,1,A,0,102,0,1.02,5YR 4/3,,sand [S54],"Shepard, 1954",,sand,medium sand [U14W22],subangular (Default),soupy,shell-rich,
334-U1379C-1H-1-A,334,U1379,C,1,1-1,H,1,A,102,115,1.02,1.15,10GY 3/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],subangular (Default),soft,"shell-rich, mottled texture visible",
334-U1379C-1H-1-A,334,U1379,C,1,1-1,H,1,A,115,138,1.15,1.38,10GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,some shell fragments,
334-U1379C-1H-2-A,334,U1379,C,1,1-2,H,2,A,0,136,1.5,2.86,10GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,"shell fragments: 30 cm, 37-44 cm, 63 cm, 70-76 cm, 86-87 cm, 132 cm",
334-U1379C-1H-3-A,334,U1379,C,1,1-3,H,3,A,0,8,3,3.08,10GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,
334-U1379C-1H-3-A,334,U1379,C,1,1-3,H,3,A,8,25,3.08,3.25,5G 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,"shell fragments: 11 cm,",
334-U1379C-1H-3-A,334,U1379,C,1,1-3,H,3,A,25,141,3.25,4.41,10GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,"shell fragments: 63 cm, 49 cm",
334-U1379C-1H-4-A,334,U1379,C,1,1-4,H,4,A,0,136,4.5,5.86,10GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,some shell fragments evenly distributed over segment,
334-U1379C-1H-5-A,334,U1379,C,1,1-5,H,5,A,0,63,6,6.63,10GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,some shell fragments evenly distributed over segment,
334-U1379C-2H-1-A,334,U1379,C,2,2-1,H,1,A,0,141,6.7,8.11,10G 4/1,,clay [S54],"Shepard, 1954",,  clay,clay [U14W22],,consolidated,,
334-U1379C-2H-2-A,334,U1379,C,2,2-2,H,2,A,0,87,8.2,9.07,10G 4/1,,clay [S54],"Shepard, 1954",,  clay,clay [U14W22],,consolidated,,
334-U1379C-2H-2-A,334,U1379,C,2,2-2,H,2,A,87,136,9.07,9.56,10G 4/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,
334-U1379C-2H-3-A,334,U1379,C,2,2-3,H,3,A,0,4,9.7,9.74,10G 4/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,
334-U1379C-2H-3-A,334,U1379,C,2,2-3,H,3,A,4,25,9.74,9.95,10G 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,consolidated,,
334-U1379C-2H-3-A,334,U1379,C,2,2-3,H,3,A,25,78,9.95,10.48,10G 4/1,,sandy clay [S54],"Shepard, 1954",,sandy clay,very fine sand [U14W22],,consolidated,,
334-U1379C-2H-3-A,334,U1379,C,2,2-3,H,3,A,78,150,10.48,11.2,10G 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,consolidated,,
334-U1379C-2H-4-A,334,U1379,C,2,2-4,H,4,A,0,50,11.2,11.7,10G 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,consolidated,,
334-U1379C-2H-4-A,334,U1379,C,2,2-4,H,4,A,50,136,11.7,12.56,10G 4/1,,sandy clay [S54],"Shepard, 1954",,sandy clay,very fine sand [U14W22],,consolidated,,
334-U1379C-2H-5-A,334,U1379,C,2,2-5,H,5,A,0,150,12.7,14.2,10G 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,consolidated,,
334-U1379C-2H-6-A,334,U1379,C,2,2-6,H,6,A,0,46,14.2,14.66,10G 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,consolidated,,
334-U1379C-2H-CC-A,334,U1379,C,2,2-CC,H,CC,A,0,25.5,14.66,14.915,10G 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,consolidated,,
334-U1379C-3H-1-A,334,U1379,C,3,3-1,H,1,A,0,150,16.2,17.7,10G 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,consolidated,,
334-U1379C-3H-2-A,334,U1379,C,3,3-2,H,2,A,0,150,17.7,19.2,10G 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,consolidated,,
334-U1379C-3H-3-A,334,U1379,C,3,3-3,H,3,A,0,150,19.2,20.7,10G 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,consolidated,,
334-U1379C-3H-4-A,334,U1379,C,3,3-4,H,4,A,0,83,20.7,21.53,10G 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,consolidated,,
334-U1379C-3H-4-A,334,U1379,C,3,3-4,H,4,A,83,150,21.53,22.2,10G 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,consolidated,,
334-U1379C-3H-5-A,334,U1379,C,3,3-5,H,5,A,0,150,22.2,23.7,10G 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,consolidated,,
334-U1379C-3H-6-A,334,U1379,C,3,3-6,H,6,A,0,50,23.7,24.2,10G 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,consolidated,,
334-U1379C-3H-CC-A,334,U1379,C,3,3-CC,H,CC,A,0,30,24.2,24.5,10G 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,consolidated,,
334-U1379C-4H-1-A,334,U1379,C,4,4-1,H,1,A,0,121,24.2,25.41,10G 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,consolidated,,
334-U1379C-4H-1-A,334,U1379,C,4,4-1,H,1,A,121,150,25.41,25.7,10G 4/1,,sandy clay [S54],"Shepard, 1954",,sandy clay,very fine sand [U14W22],,consolidated,,
334-U1379C-4H-2-A,334,U1379,C,4,4-2,H,2,A,0,107,25.7,26.77,10G 4/1,,sandy clay [S54],"Shepard, 1954",,sandy clay,very fine sand [U14W22],,consolidated,,
334-U1379C-4H-2-A,334,U1379,C,4,4-2,H,2,A,107,134,26.77,27.04,10G 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,
334-U1379C-4H-3-A,334,U1379,C,4,4-3,H,3,A,0,150,27.2,28.7,10G 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,consolidated,,
334-U1379C-4H-4-A,334,U1379,C,4,4-4,H,4,A,0,104,28.7,29.74,10G 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,consolidated,,
