Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Grading,Sorting,Primary sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],2nd sedimentary structure,3rd sedimentary structure,Minor components,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
375-U1519E-1H-1-A,0,127,0.0,1.27,,,mud,,mud,mud,mud,10Y 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray mud,,,,375,U1519,E,1,H,1,A,,,
375-U1519E-1H-2-A,0,127,1.5,2.77,,,mud,,mud,mud,mud,10Y 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray mud. Ash layer between 4-9 cm is divided into a 2 cm thick layer of coarser material underlain by 3 cm of finer grained ash.,,,,375,U1519,E,1,H,2,A,,,
375-U1519E-1H-3-A,0,18,3.0,3.18,,,mud,,mud,mud,mud,10Y 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray mud.,,,,375,U1519,E,1,H,3,A,,,
375-U1519E-1H-3-A,18,110,3.18,4.1,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,10YR 6/1 (gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Ash layer. From 26-36 cm, the color is a little bit darker gray.",,,,375,U1519,E,1,H,3,A,,,
375-U1519E-1H-CC-A,0,9,4.32,4.41,,,mud,,mud,mud,mud,10Y 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray mud. Disturbed ash layer from 0-5 cm.,,,,375,U1519,E,1,H,CC,A,,,
375-U1519E-1H-CC-A,19,24,4.51,4.56,,,mud,,mud,mud,mud,10Y 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray mud. Ash pod between 21-24 cm.,,,,375,U1519,E,1,H,CC,A,,,
375-U1519E-2H-1-A,0,111,4.6,5.71,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,10Y 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Greenish gray mudstone with silt. However, silt layer thicknesses and locations are not measurable due to drilling disturbance. Mud is soupy between 0-85 cm.",,,,375,U1519,E,2,H,1,A,,,
375-U1519E-2H-2-A,0,146,6.01,7.47,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,10Y 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Greenish gray mudstone with silt. However, silt layer thicknesses and locations are not measurable due to drilling disturbance. Pyrite pod at 145 cm.",,,,375,U1519,E,2,H,2,A,,,
375-U1519E-2H-3-A,0,111,7.47,8.58,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,10Y 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Greenish gray mudstone with silt. However, silt layer thicknesses and locations are not measurable due to drilling disturbance. Shell fragments at 18-22 cm.",,,,375,U1519,E,2,H,3,A,,,
375-U1519E-2H-4-A,0,147,8.88,10.35,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,10Y 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Greenish gray mudstone with silt. However, silt layer thicknesses and locations are not measurable due to drilling disturbance. Shell fragments at 22-23 and 95 cm.",,,,375,U1519,E,2,H,4,A,,,
