Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
341-U1419B-1H-1-A,0,150,0,1.5,,diatom ooze [Leg339],with silt [Leg339],diatom ooze  with silt ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,"- scattered small black mottles (<2 mm)
- smear slide: diatom ooze with silt",,,,,,341,U1419,B,1,H,1,A,
341-U1419B-1H-2-A,0,150,1.5,3,,diatom ooze [Leg339],with silt [Leg339],diatom ooze  with silt ,trace amount,1,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,"- scattered black mottles (<2 mm)
- smear slide 50 cm: volcaniclastic rich diatom ooze with silt",,,,,,341,U1419,B,1,H,2,A,
341-U1419B-1H-3-A,0,150,3,4.5,,diatom ooze [Leg339],with silt [Leg339],diatom ooze  with silt ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,"- scattered black mottles (<2 mm)
- smear slide 120 cm: diatom ooze with silt",,,,,,341,U1419,B,1,H,3,A,
341-U1419B-1H-4-A,0,114,4.5,5.64,,diatom ooze [Leg339],with silt [Leg339],diatom ooze  with silt ,trace amount,1,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,,,,341,U1419,B,1,H,4,A,
341-U1419B-1H-4-A,114,126,5.64,5.76,,diatom ooze [Leg339],with silt [Leg339],diatom ooze  with silt ,,,,5Y 4/2 (olive gray),,,,,,,,,,,,,,with slightly more silt than oozes above and below,,,,,,341,U1419,B,1,H,4,A,
341-U1419B-1H-4-A,126,150,5.76,6,,diatom ooze [Leg339],with silt [Leg339],diatom ooze  with silt ,trace amount,1,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,,,,341,U1419,B,1,H,4,A,
341-U1419B-1H-5-A,0,31,6,6.31,,mud [Leg210],,mud ,,,color banding,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,,,,341,U1419,B,1,H,5,A,
341-U1419B-1H-5-A,31,36,6.31,6.36,,sand [Leg210],,sand ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,very fine to medium sand,,,,,,341,U1419,B,1,H,5,A,
341-U1419B-1H-5-A,36,150,6.36,7.5,,mud [Leg210],,mud ,trace amount,1,,N 4 (dark gray),,,present [A79],14,,,,,,,,,,,,,,,,341,U1419,B,1,H,5,A,
341-U1419B-1H-6-A,0,89,7.5,8.39,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],11,,,,,,,,,,sand lense @ 34 cm (1 cm),,,,,,341,U1419,B,1,H,6,A,
341-U1419B-1H-CC-A,0,8,8.39,8.47,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1419,B,1,H,CC,A,
341-U1419B-1H-CC-A,8,14,8.47,8.53,,,,,,,,,,,,,,,,,,,,,,PAL sample,,,,,,341,U1419,B,1,H,CC,A,
341-U1419B-2H-1-A,0,150,8.5,10,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,trace amount,1,,N 4 (dark gray),,,present [A79],15,,,,,,,,,,"- massive mud with dispersed clasts
- at least 15 granules and pebbles -> only the two largest pebbles could be analysed, because all other were buried in relatively water-rich sediment
- 2 siltstones close to core top -> lower siltstone probably displaced from ~90 cm
- furrow from c. 90 cm to c. 10 cm -> most probably due to drag of clast
- smear slide 111 cm: mud with volcanic ash

",,,,,,341,U1419,B,2,H,1,A,
341-U1419B-2H-2-A,0,150,10,11.5,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,trace amount,1,,N 4 (dark gray),,,present [A79],14,,,,,,,,,,"- massive mud with dispersed clasts
- at least 14 granules and pebbles
- one breccia close to core top could be analysed; the other granules and pebbles cannot be determined, because they are buried in relatively water-rich sediments
- uppermost ~37 cm irregular and probably slightly disturbed
- smear slide 75 cm: mud with volcanic ash
",,,,,,341,U1419,B,2,H,2,A,
341-U1419B-2H-3-A,0,33,11.5,11.83,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,present [A79],1,,,,,,,,,,"- massive mud with dispersed clasts
- one siltstone on top
- relatively disturbed sediment; partly missing sediment
",,,,,,341,U1419,B,2,H,3,A,
341-U1419B-2H-CC-A,0,5,11.83,11.88,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,Sample PAL,,,,,,341,U1419,B,2,H,CC,A,
341-U1419B-3H-1-A,0,110,18,19.1,,mud [Leg210],with biogenic components [Leg339],mud  with biogenic components ,trace amount,1,,N 4 (dark gray),,,present [A79],1,,,,,,,,,,"slurry/soupy mud with diatoms and forams, and trace amounts of volcanic ash (subrounded glass)",,,,,,341,U1419,B,3,H,1,A,
341-U1419B-3H-1-A,110,116,19.1,19.16,,,,,,,,,,,,,,,,,,,,,,VOID,,,,,,341,U1419,B,3,H,1,A,
341-U1419B-3H-CC-A,0,15,19.16,19.31,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,just soft mud,,,,,,341,U1419,B,3,H,CC,A,
341-U1419B-3H-CC-A,15,19,19.31,19.35,,,,,,,,,,,,,,,,,,,,,,PAL sample,,,,,,341,U1419,B,3,H,CC,A,
341-U1419B-4H-1-A,0,144,27.5,28.94,,mud [Leg210],with common clasts,mud  with common clasts,trace amount,1,,10Y 4/1 (dark greenish gray),none [DB86],0,,,,,,,,,shell fragment,,,"shell fragment @ 114.5cm;
sand patches @ 74-75, 115-116cm;
with diatoms and forams (less than bearing);
trace volcanic glass",,,,,,341,U1419,B,4,H,1,A,
341-U1419B-4H-2-A,0,112,28.94,30.06,,mud [Leg210],with common clasts,mud  with common clasts,trace amount,1,,10Y 4/1 (dark greenish gray),none [DB86],0,,,,,,,,,,,,"with diatoms and forams (less than bearing);
trace volcanic glass",,,,,,341,U1419,B,4,H,2,A,
341-U1419B-4H-2-A,112,144,30.06,30.38,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),none [DB86],0,,,,,,,,,,,,,,,,,,341,U1419,B,4,H,2,A,
341-U1419B-4H-3-A,0,144,30.38,31.82,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),none [DB86],0,,,,,,,,,,,,"sand patch: 19-20cm;
few small (<5mm) sand patches also present",,,,,,341,U1419,B,4,H,3,A,
