Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Grading,Sorting,Primary sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],2nd sedimentary structure,3rd sedimentary structure,Minor components,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
372-U1517C-1H-1-A,0,140,0,1.4,I,,clayey silt [S54],,clayey silt,clayey silt,clayey silt,GLEY 1 5/10Y (greenish gray),,,,,,,,massive [BJ84],,,,,,,,,,,"scattered shelly fragments, rare or no foraminifera",,,,372,U1517,C,1,H,1,A,,,,
372-U1517C-1H-2-A,0,76,1.5,2.26,I,,clayey silt [S54],,clayey silt,clayey silt,clayey silt,GLEY 1 5/10Y (greenish gray),,,,,,,,massive [BJ84],,,,,,,,,,,"scattered shelly fragments, rare or no foraminifera",,,,372,U1517,C,1,H,2,A,,,,
372-U1517C-1H-2-A,76,86,2.26,2.36,I,,fine sand [USGS],with volcaniclastics,fine sand,fine sand with volcaniclastics,fine sand with volcaniclastics,GLEY 1 5/10Y (greenish gray),,gradational, gradational,,,,poor [2014],bleb,,,,,,,,,,,"high mag sus, sand is in blebs",,,,372,U1517,C,1,H,2,A,,,,
372-U1517C-1H-2-A,86,150,2.36,3,I,,clayey silt [S54],,clayey silt,clayey silt,clayey silt,GLEY 1 5/10Y (greenish gray),,,,,,,,massive [BJ84],,,,,,,,,,,"scattered shelly fragments, rare or no foraminifera",,,,372,U1517,C,1,H,2,A,,,,
372-U1517C-1H-3-A,0,115,3,4.15,II,,clayey silt [S54],,clayey silt,clayey silt,clayey silt,GLEY 1 5/10Y (greenish gray),,,,,,,,convolute bedded,,,bleb,color banding,volcanic glass,,,,,,"color banding caused by shearing possibly, soft-sediment deformation (some darker bands GLEY 1 4/5Y), some scattered shell fragments, blebs filled with fine sub-angular sand.",,,,372,U1517,C,1,H,3,A,,,,
372-U1517C-1H-3-A,115,140,4.15,4.4,II,volcanic-rich,alternating sand/mud layers,with glauconite,volcanic-rich alternating sand/mud layers,volcanic-rich alternating sand/mud layers with glauconite,alternating sand/mud layers with glauconite,GLEY 1 5/10Y (greenish gray),,,,,very thin bed [B01],,,convolute bedded,,,bleb,color banding,,,,,,,"The sand also appears in inclined layers and injections connecting the layers (Section 3A, depth115-123cm). Sharp top and bottom contacts in the sandy layers. Clay matrix similar to interval above with convolutions. Sandy layers may be truncated.",,,,372,U1517,C,1,H,3,A,,,,
372-U1517C-1H-4-A,0,82,4.5,5.32,II,volcanic-rich,alternating sand/mud layers,with glauconite,volcanic-rich alternating sand/mud layers,volcanic-rich alternating sand/mud layers with glauconite,alternating sand/mud layers with glauconite,GLEY 1 5/10Y (greenish gray),,,,,very thin bed [B01],,,parallel bedding,,,color banding,,,,,,,,Sandy layers are normally graded from fine-sand to clay,,,,372,U1517,C,1,H,4,A,,,,
372-U1517C-1H-CC-A,0,27,5.37,5.64,II,volcanic-rich,alternating sand/mud layers,with glauconite,volcanic-rich alternating sand/mud layers,volcanic-rich alternating sand/mud layers with glauconite,alternating sand/mud layers with glauconite,GLEY 1 5/10Y (greenish gray),,,,,very thin bed [B01],,,convolute bedded,,,,,,,,,,,,,,,372,U1517,C,1,H,CC,A,,,,
372-U1517C-2H-1-A,0,17,5.7,5.87,II,,clayey silt [S54],,clayey silt,clayey silt,clayey silt,GLEY 1 5/10Y (greenish gray),,,,,,,,convolute bedded,,,,,,,,,,,,,,,372,U1517,C,2,H,1,A,,,,
372-U1517C-2H-1-A,17,72,5.87,6.42,II,,clayey silt [S54],,clayey silt,clayey silt,clayey silt,GLEY 1 5/10Y (greenish gray),,gradational, gradational,,,,,bleb,,,,,,,,,,,blebs of fine sand with volcaniclastic material,,,,372,U1517,C,2,H,1,A,,,,
372-U1517C-2H-1-A,72,150,6.42,7.2,II,volcanic-rich,alternating sand/mud layers,with glauconite,volcanic-rich alternating sand/mud layers,volcanic-rich alternating sand/mud layers with glauconite,alternating sand/mud layers with glauconite,GLEY 1 5/10Y (greenish gray),,,,,very thin bed [B01],,,parallel bedding,,,,,,,,,,,"graded fine sands, all are right way up with very sharp, sometimes erosional contacts. Very thin to thin beds, muddy intervals are getting thicker downcore. Appears deformed",,,,372,U1517,C,2,H,1,A,,,,
