Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology prefix,Principal  lithology,Lithology suffix,Lithology name,Grain size max. [mm],Lithification,Lithification rank,Lithology [%],Lithology classification,Comment,File Data,
317-U1352B-1H-1-A,317,U1352,B,1,1-1,H,1,A,0,120,0,1.2,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",v.f. to m. poorly sorted bioclastic sandy mud,,
317-U1352B-1H-1-A,317,U1352,B,1,1-1,H,1,A,120,150,1.2,1.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1352B-1H-2-A,317,U1352,B,1,1-2,H,2,A,0,60,1.5,2.1,,Interbedded sand and mud  [Exp.317],,Interbedded sand and mud ,,,,,Expedition 317,,,
317-U1352B-1H-2-A,317,U1352,B,1,1-2,H,2,A,60,140,2.1,2.9,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1352B-1H-2-A,317,U1352,B,1,1-2,H,2,A,140,150,2.9,3,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1352B-1H-3-A,317,U1352,B,1,1-3,H,3,A,0,25,3,3.25,,Interbedded silt and mud [Exp.317],,Interbedded silt and mud,,,,,Expedition 317,,,
317-U1352B-1H-3-A,317,U1352,B,1,1-3,H,3,A,25,50,3.25,3.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",shelly mud,,
317-U1352B-1H-3-A,317,U1352,B,1,1-3,H,3,A,50,86,3.5,3.86,,Interbedded silt and mud [Exp.317],,Interbedded silt and mud,,,,,Expedition 317,,,
317-U1352B-1H-3-A,317,U1352,B,1,1-3,H,3,A,86,150,3.86,4.5,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,,,,Expedition 317,,,
317-U1352B-1H-4-A,317,U1352,B,1,1-4,H,4,A,0,35,4.5,4.85,,Interbedded sand and mud  [Exp.317],,Interbedded sand and mud ,,,,,Expedition 317,contains also sand laminae,,
317-U1352B-1H-4-A,317,U1352,B,1,1-4,H,4,A,35,87,4.85,5.37,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1352B-1H-4-A,317,U1352,B,1,1-4,H,4,A,87,150,5.37,6,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,,,,Expedition 317,,,
317-U1352B-1H-5-A,317,U1352,B,1,1-5,H,5,A,0,50,6,6.5,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,,,,Expedition 317,,,
