Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Degree of alteration,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Volcanic clasts (>2 mm) DOMINANT,DOMINANT volcanic clast roundness,Volcanic clasts (>2 mm) 2ND ORDER,2ND volcanic clast roundness,Volcanic clasts (>2 mm) 3RD ORDER,3RD volcanic clast roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix abundance [%],Matrix comments,Type and sense of shear,Apparent dip angle 1 [deg],Apparent dip azimuth 1 [deg],Apparent dip angle 2 [deg],Apparent dip azimuth 2 [deg],Dip azimuth calculated in CRF [deg],Dip angle calculated in CRF [deg],Dip azimuth measured in CRF [deg],Dip angle measured in CRF [deg],Slickenside trend [deg],Slickenside plunge [deg],Rake angle [deg],Rake ref. direction [%deg],Structure comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Extra Sample ID Data
376-U1528D-2R-1-A,0,95,61.3,62.25,2a,,,,,monomict,lapillistone,with blocks-bombs,monomict lapillistone with blocks-bombs,,GLEY 1 7/N (light gray),cemented,very large pebble,8,cobble,9,"original composition is not discernable, volcanic clast with outline of feldspar phenocryst. often pseudomorphs of feldspar.",,,,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,,,,,,,,,,,highly altered volcanic clast with vugs often filled with secondary minerals. pseudomorphs of igneous feldspar phenocryst. heterogenous cryptocrystalline groundmass.,other,,,moderate,5,"difficult to distinguish between clast and matrix, likely altered fine-grained volcanic ash",,,,,,,,,,,,,,,,,,376,U1528,D,2,R,1,A,,,,
376-U1528D-3R-1-A,0,150,66.1,67.6,2a,,,,,"clast-supported, polymict",lapillistone,with blocks-bombs,"clast-supported, polymict lapillistone with blocks-bombs",,GLEY 1 7/N (light gray),cemented,medium pebble,6,cobble,9,"original composition is not discernable, 2 types of volcanic clast with outline of feldspar phenocryst. often pseudomorphs of feldspar.",,,,,moderate,,,volcanic,volcanic,,,,,,,,volcanic,sub-rounded,volcanic,sub-rounded,,,,,,,,,"1) light gray fine-grained volcaniclast plagioclase psuedomorph, pervasively altered groundmass, light blue pseudomorphs. dominant. 2) dark gray fine-grained (volume <5%) altered volcaniclast. plagiolase pseudomorphs.",,,,,15,"difficult to distinguish between clast and matrix, likely altered fine-grained volcanic ash",,,,,,,,,,,,,,,,,,376,U1528,D,3,R,1,A,,,,
376-U1528D-3R-2-A,0,145,67.6,69.05,2a,,,,,"clast-supported, polymict",lapillistone,,"clast-supported, polymict lapillistone",,GLEY 1 7/N (light gray),cemented,small pebble,5,very large pebble,8,"original composition is not discernable, 2 types of volcanic clast with outline of feldspar phenocryst. often pseudomorphs of feldspar. fractured irregular jigsaw pattern crosscut clast and matrix.",,,,,moderate,,,volcanic,volcanic,,,,,,,,volcanic,sub-rounded,volcanic,sub-rounded,,,,,,,,,"1) light gray fine-grained volcaniclast plagioclase psuedomorph but less, pervasively altered groundmass, light blue pseudomorphs. dominant. 2) dark gray fine-grained altered volcaniclast. plagiolase pseudomorphs preserved better than light clast.",,,,,15,"difficult to distinguish between clast and matrix, likely altered fine-grained volcanic ash",,,,,,,,,,,,,,,,,,376,U1528,D,3,R,2,A,,,,
376-U1528D-3R-3-A,0,25,69.05,69.3,2a,,,,,"clast-supported, polymict",lapillistone,,"clast-supported, polymict lapillistone",,GLEY 2 7/5PB (light bluish gray),cemented,small pebble,5,large pebble,7,"original composition is not discernable, 2 types of volcanic clasts with outline of feldspar phenocrysts. light blue pseudomorphs of feldspar.",,,,,poor,,,volcanic,volcanic,,,,,,,,volcanic,subangular,volcanic,subangular,,,,,,,,,"1) light gray fine-grained volcaniclast plagioclase psuedomorph, pervasively altered groundmass, light blue pseudomorphs. 2) dark gray fine-grained altered volcaniclast (about 10 vol%).",,,,,5,"difficult to distinguish between clast and matrix, likely altered fine-grained volcanic ash",,,,,,,,,,,,,,,,,,376,U1528,D,3,R,3,A,,,,
376-U1528D-4R-1-A,0,146,70.9,72.36,2a,,,,,"clast-supported, polymict",lapillistone,,"clast-supported, polymict lapillistone",,GLEY 2 7/10B (light bluish gray),cemented,granule,4,very large pebble,8,"highly altered volcanic breccia, of plagioclase-phyric and/or vesicular lava clasts; individual clasts show incipient further fracturing.",,,,,poor,,,volcanic,lithic,,,,"fine-grained, unknown",subangular,,,volcanic,sub-rounded,,,,,,,,,,,1) light gray fine-grained volcaniclasts with light-blue plagioclase pseudomorphs in pervasively altered groundmass 2) brecciated dark gray fine-grained altered volcaniclasts (about 10 vol%).,other,,,,10,"difficult to distinguish between clast and matrix, likely altered fine-grained volcanic ash",,,,,,,,,,,,,,,,,,376,U1528,D,4,R,1,A,,,,
376-U1528D-4R-2-A,0,23,72.36,72.59,2a,,,,,"clast-supported, polymict",lapillistone,,"clast-supported, polymict lapillistone",,GLEY 2 7/10B (light bluish gray),cemented,granule,4,very large pebble,8,"highly altered volcanic breccia, of plagioclase-phyric and/or vesicular lava clasts; individual clasts show incipient further fracturing.",,,,,poor,,,volcanic,lithic,,,,"fine-grained, unknown",subangular,,,volcanic,sub-rounded,,,,,,,,,,,1) light gray fine-grained volcaniclasts with light-blue plagioclase pseudomorphs in pervasively altered groundmass 2) brecciated dark gray fine-grained altered volcaniclasts (about 10 vol%).,other,,,,10,"difficult to distinguish between clast and matrix, likely altered fine-grained volcanic ash",,,,,,,,,,,,,,,,,,376,U1528,D,4,R,2,A,,,,
376-U1528D-4R-2-A,23,112,72.59,73.48,2a,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,GLEY 2 5/5PB (bluish gray),cemented,small pebble,5,very large pebble,8,"highly altered volcanic breccia, of plagioclase-phyric and/or vesicular lava clasts; individual clasts show incipient further fracturing.",,,,,poor,,,"fine-grained, unknown",volcanic,,"fine-grained, unknown",subangular,,,,,,,volcanic,sub-rounded,,,,,,,,,1) brecciated light grey fine-grained altered clasts (about 30 vol%); origin not discernable; 2) light gray fine-grained volcaniclasts with light-blue plagioclase pseudomorphs in pervasively altered groundmass (about 20 vol%),,,,,40,clast and matrix can better be distinguished,,,,,,,,,,,,,,,,,,376,U1528,D,4,R,2,A,,,,
376-U1528D-5R-1-A,0,50,75.7,76.2,2a,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,GLEY 2 5/5B (bluish gray),cemented,granule,4,large pebble,7,highly altered volcaniclastic,,,,,poor,,,"fine-grained, unknown",volcanic,,"fine-grained, unknown",subangular,,,,,,,volcanic,subangular,,,,,,,,,Some clasts show evidence for further incipient fracturing. 1) brecciated light grey fine-grained altered clasts (about 30 vol%); origin not discernable; 2) dark gray fine-grained volcaniclasts plagioclase pseudomorphs in pervasively altered groundmass (about 10 vol%),,,,,60,"clast and matrix can better be distinguished, no distinct grain size boundary between matrix and clasts (continuous distribution of grain sizes)",,,,,,,,,,,,,,,,,,376,U1528,D,5,R,1,A,,,,
376-U1528D-5R-1-A,50,94,76.2,76.64,2a,,,,,,tuff-breccia,,tuff-breccia,,GLEY 2 5/10B (bluish gray),cemented,,4,cobble,9,"highly altered volcaniclastic, very large clasts and thus no average, representative grain size can be determined.",,,,,poor,,,volcanic,,,,,,,,,volcanic,subangular,,,,,,,,,,,"1) brecciated dark gray fine-grained volcaniclasts w/ plagioclase pseudomorphs and some vesicles. One large clast shows 4 alteration halos, darker ones tend to have more blueish plag-pseudomorphs preserved",,,,,10,"clast and matrix can better be easily distinguished. Some fractures are filled w/ granular-size clasts and dark gray matrix, others are filled with light gray-yellowish matrix only",,,,,,,,,,,,,,,,,,376,U1528,D,5,R,1,A,,,,
376-U1528D-5R-1-A,94,150,76.64,77.2,2a,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,GLEY 2 5/5B (bluish gray),cemented,granule,4,large pebble,7,highly altered volcaniclastic,,,,,poor,,,"fine-grained, unknown",volcanic,,"fine-grained, unknown",subangular,,,,,,,volcanic,subangular,,,,,,,,,Some clasts show evidence for further incipient fracturing. 1) brecciated light grey fine-grained altered clasts (about 30 vol%); origin not discernable; 2) dark gray fine-grained volcaniclasts plagioclase pseudomorphs in pervasively altered groundmass (about 10 vol%),,,,,60,"clast and matrix can better be distinguished, no distinct grain size boundary between matrix and clasts (continuous distribution of grain sizes)",,,,,,,,,,,,,,,,,,376,U1528,D,5,R,1,A,,,,
