Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,Lithology Suffix
359-U1470B-2R-CC-A,0,24,168.9,169.14,algal rich,floatstone,5,algal rich floatstone,lithified,5,10yr 7/2 (light gray),granule,8,red algae,,coral (massive),,gastropod,"As mold, not with the red algae or corals.",,,,mold,,,,,,,,"Major lithology: Red algae-rich FLOATSTONE Minor lithology: Dolomitic gastropod-rich WACKESTONE. Remarks: Fragments of both lithology, mixed.",,,,359,U1470,B,2,R,CC,A,,,,,
359-U1470B-3R-CC-A,0,13,178.6,178.73,algal rich,rudstone,6,algal rich rudstone,lithified,5,10yr 8/2 (very pale brown),granule,8,red algae,encrusting,foraminifera (large benthic),,gastropod,,,,,mold,,,,,,,,"Red algae-rich RUDSTONE. Encrusting red algae, large benthic foraminifera and gastropods, some as fragments and moldic porosity.",,,,359,U1470,B,3,R,CC,A,,,,,
359-U1470B-4R-CC-A,0,3,188.3,188.33,algal rich,grainstone,4,algal rich grainstone,lithified,5,10YR 9/2 (pale orange yellow),coarse sand,6,red algae,,foraminifera (large benthic),,shell fragment,,,,,,,,,,,,,"Red algae-rich GRAINSTONE. Red algae, large benthic foraminifera and shell fragments.",,,,359,U1470,B,4,R,CC,A,,,,,
359-U1470B-4R-CC-A,3,13,188.33,188.43,dolomitic,floatstone,5,dolomitic floatstone,lithified,5,10YR 9/2 (pale orange yellow),granule,8,red algae,encrusting,coral (branching),,,,,,,,,,,,,,,"Red algae-rich FLOATSTONE. Encrusting red algae, branching corals, fine grained matrix, dolomitized.",,,,359,U1470,B,4,R,CC,A,,,,,
359-U1470B-5R-1-A,0,148,198,199.48,calcareous bioclast rich,grainstone,4,calcareous bioclast rich grainstone,lithified,5,2.5y 8/2 (pale yellow),medium sand,5,calcareous bioclast,,foraminifera (large benthic),,bivalve,"red algae, Halimeda?",,,,mold,,,,,,,,"Bioclastics-rich GRAINSTONE to RUDSTONE. Medium-grained, well-sorted. Bioclastic grains are abundant, large benthic foraminifera are common and are the only clearly recognizable fossils. Possible red and green (Halimeda) algae. Recrystallized. Bioturbation is unresolvable.",,,,359,U1470,B,5,R,1,A,,,,,
359-U1470B-5R-2-A,0,98,199.48,200.46,calcareous bioclast rich,rudstone,6,calcareous bioclast rich rudstone,lithified,5,2.5y 8/2 (pale yellow),medium sand,5,calcareous bioclast,,foraminifera (large benthic),,bivalve,"red algae, Halimeda?",,,normal grading,glauconite nodules,,,,,,,,"Bioclastics-rich RUDSTONE. Medium-grained, well-sorted. Bioclastic grains are abundant, large benthic foraminifera are common. Red algae. Recrystallized. Bioturbation is unresolvable. Geopetal structures.",,,,359,U1470,B,5,R,2,A,,,,,
359-U1470B-5R-3-A,0,83,200.46,201.29,calcareous bioclast rich,rudstone,6,calcareous bioclast rich rudstone,lithified,5,2.5y 8/2 (pale yellow),medium sand,5,calcareous bioclast,,foraminifera (large benthic),,shell fragment,"red algae, coral",,,reverse grading,glauconite nodules,,,,,,,,"Bioclastics-rich RUDSTONE. Medium-grained, well-sorted. Bioclastic grains are abundant, large benthic foraminifera are common. Red algae. Recrystallized. Bioturbation is unresolvable. Geopetal structures.",,,,359,U1470,B,5,R,3,A,,,,,
359-U1470B-5R-CC-A,0,17,201.29,201.46,calcareous bioclast rich,rudstone,6,calcareous bioclast rich rudstone,lithified,5,2.5y 8/2 (pale yellow),medium sand,5,calcareous bioclast,,red algae,,shell fragment,"red algae, Halimeda?",,,,glauconite nodules,,,,,,,,"Bioclastics-rich RUDSTONE. Medium-grained, well-sorted. Bioclastic grains are abundant, large benthic foraminifera are common. Red algae. Recrystallized. Bioturbation is unresolvable. Geopetal structures.",,,,359,U1470,B,5,R,CC,A,,,,,
359-U1470B-6R-1-A,0,46,207.7,208.16,algal rich,boundstone,8,algal rich boundstone,lithified,5,2.5y 8/2 (pale yellow),granule,8,red algae,encrusting.,rhodolith,,shell,gastropods and mollusks,,,,,,,,,,,,"Dolomitic red algae-rich BOUNDSTONE. Encrusting red algae, rhodoliths, common gastropods and mollusks",,,,359,U1470,B,6,R,1,A,,,,,
359-U1470B-6R-1-A,46,98,208.16,208.68,coral rich,floatstone,5,coral rich floatstone,lithified,5,2.5y 8/2 (pale yellow),granule,8,coral (branching),,coral (massive),,,,,,,mold,,,,,,,,"Dolomitic coral-rich FLOATSTONE. Branching and massive corals, large benthic foraminifera.",,,,359,U1470,B,6,R,1,A,,,,,
