Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Grading,Sorting,Primary sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],2nd sedimentary structure,3rd sedimentary structure,Minor components,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,General interval comment,Ship File Links,Shore File Links,File Data
375-U1520C-2R-1-A,0,108,646,647.08,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,Mudstone layers range from light green to greenish gray. Mudstone between 31-74 cm has dark mm-scale mafic tephra clasts. Tephra layers at 80 and 108 cm. Bioturbation includes Zoophycos isp.,,,
375-U1520C-2R-2-A,0,42,647.28,647.7,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,Mudstone between 35-40 cm is black with greenish gray mixed in through bioturbation. Bioturbation includes Zoophycos isp. One tuff layer at 36 cm.,,,
375-U1520C-3R-1-A,0,136,651.2,652.56,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,"Bioturbation is generally moderate, but locally strong and includes Scolicia isp., and Zoophycos isp. Scattered are also rare, cm- to mm-scale tephra clasts. Tuff layers at 33, 50, 80, 92, 107, and 126 cm.",,,
375-U1520C-3R-2-A,0,132,652.56,653.88,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,"Marl layers range from light green to greenish gray with thin (<5 cm) intervals of pinkish/brownish tephra. Bioturbation is generally moderate, but locally strong and includes Zoophycos isp. Tuff layers at 36, 46, 71, 118 cm.",,,
375-U1520C-3R-3-A,0,127,653.88,655.15,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,"Marl layers range from light green to greenish gray. Bioturbation is generally moderate, but locally strong and includes Thalassinoides isp. and Zoophycos isp. Tuff layers and Tuff pod layers at 27, 57, and 76 cm.",,,
375-U1520C-3R-4-A,0,82,655.29,656.11,,,debris flow,,debris flow,debris flow,debris flow,5GY 7/1 (light greenish gray),,,,,,lithified,,poor,,,,,,,,,,,,"Contorted layers of marl with different tones of light green color, showing evidence of soft sediment deformation (flow bending, folding). Dispersed in this ""matrix"" are subangular clasts of basalts or volcaniclastic material. Some basalts show filled vescicles (zeolites?), some basalt clast is highly fractured by filled fractures. Rare rounded tephra clasts.",,,
375-U1520C-3R-5-A,0,135,656.44,657.79,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,"Marl layers range from light green to greenish gray. Bioturbation is generally moderate, but locally strong and includes Thalassinoides isp., Zoophycos isp., Nerites. At 12-15 cm thin, gray layer of siltstone. Tuff layers at 51, 68, 74, 90, 103, 122 cm.",,,
375-U1520C-4R-1-A,0,99,660.8,661.79,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,10R 6/4 (pale red),irregular,bioturbated,irregular bioturbated,sub-horizontal,,lithified,,well,,moderate,2,,,,,,,,,,,,
375-U1520C-4R-1-A,119,128,661.99,662.08,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,"Mudstone layers range from light green to greenish gray. A thin (3 cm) layer of grey volcaniclastic siltstone to tuff layer at 126-128 cm. Bioturbation is moderate, and includes Scolicia isp., Thalassinoides isp., and Zoophycos isp.",,,
375-U1520C-4R-2-A,0,56,662.08,662.64,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,"Mudstone layers range from light green to greenish gray. Tuff layers at 13, 29 cm. Bioturbation is generally moderate, and includes Thalassinoides isp. and Zoophycos isp.",,,
