Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,Lithology Prefix,Lithology Principal Name,Texture Rank,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
356-U1460B-1F-1-A,0.0,140.0,0.0,1.4,unlithified [Leg194],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,neritic,greenish gray,bivalve,,,,absent [B06],0.0,,,fine-sand sized greenish gray packstone,,,,356,U1460,B,1,F,1,A,,,
356-U1460B-1F-1-A,140.0,150.0,1.4,1.5,,,,,,,,,,,,,,,,,void,,,,356,U1460,B,1,F,1,A,,,
356-U1460B-1F-2-A,0.0,103.0,1.5,2.53,partially lithified,skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,neritic,beige,bivalve,,,,absent [B06],0.0,,,"coarse-sand sized beige packstone, calcareous tube like structure likely outlining bioturbation.",,,,356,U1460,B,1,F,2,A,,,
356-U1460B-1F-2-A,0.0,103.0,1.5,2.53,,,,,,,,,bryozoa,,,,,,,,,,,,356,U1460,B,1,F,2,A,,,
356-U1460B-1F-CC-A,5.0,10.0,2.58,2.63,unlithified [Leg194],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,neritic,beige,Sponge spicules N/A,,,,absent [B06],0.0,,,,,,,356,U1460,B,1,F,CC,A,,,
356-U1460B-2F-1-A,0.0,10.0,2.6,2.7,unlithified [Leg194],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,neritic,beige,gastropod,,,,absent [B06],0.0,,,very coarse grained sand to small pebble sized packstone,,,,356,U1460,B,2,F,1,A,,,
356-U1460B-2F-1-A,0.0,10.0,2.6,2.7,,,,,,,,,bryozoa,,,,,,,,,,,,356,U1460,B,2,F,1,A,,,
356-U1460B-2F-1-A,10.0,17.0,2.7,2.77,lithified [B84],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,neritic,beige,bivalve,,,,absent [B06],0.0,,,,,,,356,U1460,B,2,F,1,A,,,
356-U1460B-2F-1-A,17.0,75.0,2.77,3.35,unlithified [Leg194],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,neritic,beige,bryozoa,,,,absent [B06],0.0,,,medium-coarse sand sized packstone with very coarse sand sized interlayers.,,,,356,U1460,B,2,F,1,A,,,
356-U1460B-2F-1-A,75.0,79.0,3.35,3.39,lithified [B84],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,neritic,beige,foraminifera (large benthic),,,,absent [B06],0.0,,,,,,,356,U1460,B,2,F,1,A,,,
356-U1460B-2F-1-A,79.0,150.0,3.39,4.1,unlithified [Leg194],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,neritic,beige,bryozoa,,,,absent [B06],0.0,,,,,,,356,U1460,B,2,F,1,A,,,
356-U1460B-2F-2-A,0.0,150.0,4.1,5.6,unlithified [Leg194],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,neritic,beige,gastropod,,,,absent [B06],0.0,,,,,,,356,U1460,B,2,F,2,A,,,
356-U1460B-2F-3-A,0.0,84.0,5.6,6.44,unlithified [Leg194],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,neritic,beige,gastropod,,,,absent [B06],0.0,,,,,,,356,U1460,B,2,F,3,A,,,
