Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name+suffix [read only],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Diagenetic structure,Clasts (>2 mm) DOMINANT,DOMINANT Clasts % [%],DOMINANT Clasts ave. grain size class,DOMINANT Clasts ave. grain size rank [read only],DOMINANT Clasts max. grain size class,DOMINANT Clasts max. grain size rank [read only],DOMINANT clast roundness,Clasts (>2 mm) Subdominant,Subdominant Clasts % [%],Subdominant Clasts ave. grain size class,Subdominant Clasts ave. grain size rank [read only],Subdominant Clasts max. grain size class,Subdominant Clasts max. grain size rank [read only],Subdominant clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix modifier,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
366-U1494A-1F-1-A,0,52,0.0,0.52,I,,,,,,,sandy,pebbly mud,with aragonite crystals,sandy pebbly mud with aragonite crystals,10GY 7/2 (pale yellowish green),,unconsolidated,fine sand,4,pebble,9,authigenic aragonite,poor,,,,lithic,3,coarse sand,6,pebble,9,subangular,ultramafic rock,1.0,granule,8,pebble,9,subangular,,lithic matrix,,with aragonite crystals,,,,,366,U1494,A,1,F,1,A
366-U1494A-1F-1-A,52,91,0.52,0.91,I,,,,,,,,,,,,,,,,,,MBIO,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1494,A,1,F,1,A
366-U1494A-1F-2-A,0,70,0.91,1.61,I,,,,,,,sandy,pebbly mud,with aragonite crystals,sandy pebbly mud with aragonite crystals,5GY 7/2 (grayish yellow green),,unconsolidated,fine sand,4,pebble,9,authigenic aragonite,poor,,,,ultramafic rock,3,coarse sand,6,pebble,9,subangular,lithic,1.0,granule,8,pebble,9,subangular,,lithic matrix,,with aragonite crystals,,,,,366,U1494,A,1,F,2,A
366-U1494A-1F-3-A,0,10,1.61,1.71,I,,,,,,,sandy,pebbly mud,with aragonite crystals,sandy pebbly mud with aragonite crystals,5GY 7/2 (grayish yellow green),,unconsolidated,fine sand,4,pebble,9,authigenic aragonite,poor,,,,ultramafic rock,3,coarse sand,6,pebble,9,subangular,lithic,1.0,granule,8,pebble,9,subangular,,lithic matrix,,with aragonite crystals,,,,,366,U1494,A,1,F,3,A
366-U1494A-1F-3-A,10,26,1.71,1.87,IIA,,,,,,,serpentinite,pebbly mud,with aragonite crystals,serpentinite pebbly mud with aragonite crystals,5BG 7/1 (light greenish gray),,unconsolidated,fine sand,4,pebble,9,,poor,,,,ultramafic rock,2,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,with aragonite crystals,,,,,366,U1494,A,1,F,3,A
366-U1494A-1F-3-A,26,52,1.87,2.13,IIA,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,10BG 5/1 (greenish gray),,unconsolidated,clay,1,pebble,9,drilling disturbance with brown flow in from below,poor,,,,ultramafic rock,2,pebble,10,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1494,A,1,F,3,A
366-U1494A-1F-3-A,52,75,2.13,2.36,IIA,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,10YR 6/3 (pale brown),,unconsolidated,fine sand,4,pebble,9,drilling disturbance with brown flow in from below,poor,,,,ultramafic rock,5,granule,8,pebble,9,sub-rounded,serpentine,1.0,medium sand,5,granule,8,sub-rounded,,serpentine clay matrix,,,,,,,366,U1494,A,1,F,3,A
366-U1494A-1F-3-A,75,150,2.36,3.11,,,,,,,,,,,,,,,,,,,"ZHAN, MBIO, IW",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1494,A,1,F,3,A
366-U1494A-1F-4-A,0,93,3.11,4.04,IIB,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,10B 6/1 (bluish gray),,unconsolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,3,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1494,A,1,F,4,A
366-U1494A-1F-4-A,93,107,4.04,4.18,IIB,,,,,,,,,,,,,,,,,,MENA,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1494,A,1,F,4,A
