Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top[cm] [cm],Bottom[cm] [cm],Top Depth[m] [m],Bottom Depth[m] [m],Color(name),PREFIX,PRINCIPALLITHOLOGY,Classification,SUFFIX,COMPLETE NAME,"Dominantgrain size(Wentworth, 1922)",Clastic grainRoundness,LITHIFICATION,LITHOLOGY COMMENTS,File Data,
"334-U1378B-1H-1-A, 0-150",334,U1378,B,1,1-1,H,1,A,0.0,150.0,0.0,1.5,5Y 3/1,sandy,clay [S54],"Shepard, 1954",,sandy clay,clay [U14W22],,soft, Sandy practical are formed from foraminifera.,,
"334-U1378B-1H-2-A, 0-150",334,U1378,B,1,1-2,H,2,A,0.0,150.0,1.5,3.0,5Y 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-1H-3-A, 0-150",334,U1378,B,1,1-3,H,3,A,0.0,150.0,3.0,4.5,5Y 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-1H-4-A, 0-37",334,U1378,B,1,1-4,H,4,A,0.0,37.0,4.5,4.87,5Y 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-1H-4-A, 37-38",334,U1378,B,1,1-4,H,4,A,37.0,38.0,4.87,4.88,10YR 7/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine silt [U14W22],,soft,,,
"334-U1378B-1H-4-A, 38-58",334,U1378,B,1,1-4,H,4,A,38.0,58.0,4.88,5.08,5Y 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-1H-CC-A, 0-28",334,U1378,B,1,1-CC,H,CC,A,0.0,28.0,5.08,5.36,5Y 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-2H-1-A, 0-150",334,U1378,B,2,2-1,H,1,A,0.0,150.0,5.3,6.8,10Y 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-2H-2-A, 0-150",334,U1378,B,2,2-2,H,2,A,0.0,150.0,6.8,8.3,10Y 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-2H-3-A, 0-46",334,U1378,B,2,2-3,H,3,A,0.0,46.0,8.3,8.76,10Y 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-2H-3-A, 46-150",334,U1378,B,2,2-3,H,3,A,46.0,150.0,8.76,9.8,10Y 3/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,Frequent fine-grain sand horizons,,
"334-U1378B-2H-4-A, 0-150",334,U1378,B,2,2-4,H,4,A,0.0,150.0,9.8,11.3,10Y 3/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,Frequent fine-grain sand horizons,,
"334-U1378B-2H-5-A, 0-23",334,U1378,B,2,2-5,H,5,A,0.0,23.0,11.3,11.53,10Y 3/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,Frequent fine-grain sand horizons,,
"334-U1378B-2H-5-A, 23-24",334,U1378,B,2,2-5,H,5,A,23.0,24.0,11.53,11.54,10BG 6/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,clay [U14W22],,soft,,,
"334-U1378B-2H-5-A, 24-150",334,U1378,B,2,2-5,H,5,A,24.0,150.0,11.54,12.8,10Y 3/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,Frequent fine-grain sand horizons,,
