Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology prefix,Principal lithology,Lithology suffix,Lithology name,Grain size max. [mm],Lithification,Lithification rank,Lithology [%],Lithology classification,Comment,File Data,
317-U1352C-2R-1-A,317,U1352,C,2,2-1,R,1,A,0,20.0,574.7,574.9,,Marlstone [Leg210],,Marlstone,,,,,Leg210,massive + calcareous,,
317-U1352C-2R-1-A,317,U1352,C,2,2-1,R,1,A,0,20.0,574.7,574.9,,Very fine-fine sandstone [S54-W22],,Very fine-fine sandstone,,,,,"Shepard, 1954; Wentworth, 1922",massive + calcareous,,
317-U1352C-2R-1-A,317,U1352,C,2,2-1,R,1,A,20,84.0,574.9,575.54,,Marlstone [Leg210],,Marlstone,,,,,Leg210,massive + calcareous,,
317-U1352C-2R-1-A,317,U1352,C,2,2-1,R,1,A,20,84.0,574.9,575.54,,Very fine-fine sandstone [S54-W22],,Very fine-fine sandstone,,,,,"Shepard, 1954; Wentworth, 1922",massive + calcareous,,
317-U1352C-2R-2-A,317,U1352,C,2,2-2,R,2,A,0,56.0,575.74,576.3,,Marlstone [Leg210],,Marlstone,,,,,Leg210,massive + calcareous,,
317-U1352C-2R-2-A,317,U1352,C,2,2-2,R,2,A,0,56.0,575.74,576.3,,Very fine-fine sandstone [S54-W22],,Very fine-fine sandstone,,,,,"Shepard, 1954; Wentworth, 1922",massive + calcareous,,
317-U1352C-2R-2-A,317,U1352,C,2,2-2,R,2,A,56,73.0,576.3,576.47,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1352C-3R-1-A,317,U1352,C,3,3-1,R,1,A,0,120.0,584.4,585.6,,Muddy Sandstone [S54-Leg183],,Muddy Sandstone,,indurated,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1352C-3R-2-A,317,U1352,C,3,3-2,R,2,A,0,135.0,585.6,586.95,,Muddy Sandstone [S54-Leg183],,Muddy Sandstone,,indurated,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1352C-3R-3-A,317,U1352,C,3,3-3,R,3,A,0,94.0,587.1,588.04,,Muddy Sandstone [S54-Leg183],,Muddy Sandstone,,indurated,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1352C-3R-CC-A,317,U1352,C,3,3-CC,R,CC,A,0,5.0,588.04,588.09,,Muddy Sandstone [S54-Leg183],,Muddy Sandstone,,indurated,,,"Shepard, 1954 - Leg 183 revision",,,
