Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Classification,Lithology Suffix,Complete name,Lithology [%],"Dominant grain size (Wentworth, 1922)",Clastic grain: roundness,Lithification,Lithology comment,Color,Color code,Volcaniclastic grain size name,Volcaniclastic grain minerals,,
324-U1348A-1W-1-A,324,U1348,A,1,1-1,W,1,A,0.0,6.5,0.0,0.065,,chert [MMK88],"Mazullo, Meyer ",,chert,100,cryptocrystalline [324],,well indurated,Dark brown chunk of chert with white layer (~2mm) on one side. The top of the white layer has a very thin black and orange coating with a bubbly texture.,dark brown,10YR 2/2,,,,
324-U1348A-1W-1-A,324,U1348,A,1,1-1,W,1,A,6.5,14.0,0.065,0.14,,chert [MMK88],"Mazullo, Meyer ",,chert,100,cryptocrystalline [324],,well indurated,Dark brown chunk of chert with white and pinkish inclusions,dark brown,10YR 2/2,,,,
324-U1348A-2R-1-A,324,U1348,A,2,2-1,R,1,A,0.0,4.0,84.2,84.24,nannofossil-bearing,ooze [MMK88],"Mazullo, Meyer ",,nannofossil-bearing ooze,100,clay [U14W22],,soft,"gray, very soft nannofossil ooze. ",Gray,N 5,,,,
324-U1348A-2R-1-A,324,U1348,A,2,2-1,R,1,A,4.0,107.0,84.24,85.27,nannofossil-bearing,ooze [MMK88],"Mazullo, Meyer ",,nannofossil-bearing ooze,100,clay [U14W22],,soft,"pale cream-pale yellow, very soft nannofossil ooze. Some (<10% foraminifera of which <5% are benthic foraminifera). ",pale yellow,2.5Y 8/2,,,,
324-U1348A-3R-1-A,324,U1348,A,3,3-1,R,1,A,0.0,5.0,93.8,93.85,,chert [MMK88],"Mazullo, Meyer ",,chert,100,cryptocrystalline [324],,well indurated,Small orangey-reddish chert pieces. Some pale porcellanite spots and blotches. possible burrow structures on one piece. very thin (<0.5mm) coating of chalk on one piece. ,reddish brown,2.5YR 4/4,,,,
324-U1348A-4R-1-A,324,U1348,A,4,4-1,R,1,A,0.0,4.0,103.4,103.44,,chert [MMK88],"Mazullo, Meyer ",,chert,100,cryptocrystalline [324],,well indurated,"Small brecciated pieces of reddish-brown chert. Thin (<0.5 mm) chert coating occluded to one piece. Some small pieces of gray (5YR 6/1) and black (7 YR/ 2.5/1) chert fragments in the mix, but could be fall-in from higher up the section. ",reddish brown,2.5YR 4/4,,,,
324-U1348A-5R-1-A,324,U1348,A,5,5-1,R,1,A,0.0,7.5,113.0,113.075,,chert [MMK88],"Mazullo, Meyer ",,chert,100,cryptocrystalline [324],,well indurated,"reddish brown chert pieces and fragments. white silicified chalk occluded in places. Some Porcellanite infilled burrows/ fossil ghosts. Black, dendritic (manganese oxide?) growths within the chert.",reddish brown,2.5Y 4/4,,,,
324-U1348A-5R-1-A,324,U1348,A,5,5-1,R,1,A,7.5,12.84,113.075,113.12799999999999,,porcellanite,,,porcellanite,50,cryptocrystalline [324],,well indurated,"large chertified piece which has a higher proportion of calcareous porcellanite. streaks may represent relict bedding in the original carbonate, patches/blebs are probably bioturbation infills or fossil ghosts. Black, dendritic (manganese oxide?) growth concentrated around the veins. ",light reddish brown,2.5YR 6/3,,,,
324-U1348A-5R-1-A,324,U1348,A,5,5-1,R,1,A,7.5,13.0,113.075,113.13,,chert [MMK88],"Mazullo, Meyer ",,chert,50,cryptocrystalline [324],,well indurated,"large chertified piece which has a higher proportion of calcareous porcellanite. streaks may represent relict bedding in the original carbonate, patches/blebs are probably bioturbation infills or fossil ghosts",reddish brown,2.5Y 4/4,,,,
324-U1348A-6R-1-A,324,U1348,A,6,6-1,R,1,A,0.0,4.0,122.6,122.64,,chert [MMK88],"Mazullo, Meyer ",,chert,100,cryptocrystalline [324],,well indurated,dark reddish brown chert fragment with thin chalk coating on one side.,dark reddish brown,5YR 3/2,,,,
324-U1348A-6R-1-A,324,U1348,A,6,6-1,R,1,A,4.0,8.0,122.64,122.68,,chert [MMK88],"Mazullo, Meyer ",,chert,100,cryptocrystalline [324],,well indurated,"reddish brown chert piece, with porcellanite infilling relict fossils and burrows. Thin chalk occluded to one side. ",reddish brown,2.5YR 4/4,,,,
324-U1348A-7R-1-A,324,U1348,A,7,7-1,R,1,A,0.0,21.0,132.2,132.41,,chert [MMK88],"Mazullo, Meyer ",,chert,100,cryptocrystalline [324],,well indurated,"Fragmented pieces of reddish brown (2.5YR 4/4) and dark reddish brown (2.5YR 3/1) chert. Porcellanite streaks and blebs visible. Some black, dendritic mineral growths (manganese oxide?) in places. ",dark reddish gray,2.5YR 3/1,,,,
324-U1348A-8R-1-A,324,U1348,A,8,8-1,R,1,A,0.0,25.0,141.9,142.15,,chert [MMK88],"Mazullo, Meyer ",,chert,100,cryptocrystalline [324],,100,reddish brown chert pieces. Some chert occluded in places,reddish brown,2.5YR 4/4,,,,
324-U1348A-9R-1-A,324,U1348,A,9,9-1,R,1,A,0.0,6.0,151.5,151.56,,chert [MMK88],"Mazullo, Meyer ",,chert,100,cryptocrystalline [324],,well indurated,Reddish brown chert with dark veins and occluded chert,reddish brown,2.5YR 4/4,,,,
324-U1348A-9R-1-A,324,U1348,A,9,9-1,R,1,A,6.0,17.5,151.56,151.675,,chert [MMK88],"Mazullo, Meyer ",,chert,100,cryptocrystalline [324],,well indurated,"yellow chert. ""jasper"". Many veins and fractures",yellowish brown,10YR 5/6,,,,
324-U1348A-9R-1-A,324,U1348,A,9,9-1,R,1,A,17.5,20.0,151.675,151.7,,chert [MMK88],"Mazullo, Meyer ",,chert,100,cryptocrystalline [324],,well indurated,reddish brown chert with occluded chalk,reddish brown,2.5YR 4/4,,,,
324-U1348A-10R-1-A,324,U1348,A,10,10-1,R,1,A,0.0,15.0,161.1,161.25,,nannofossil ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,nannofossil ooze,100,clay [U14W22],,soupy,white nanno ooze with chunks of red chert (~1-4cm),white,2.5Y 8/1,,,,
324-U1348A-10R-1-A,324,U1348,A,10,10-1,R,1,A,15.0,21.5,161.25,161.315,,nannofossil ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,nannofossil ooze,100,clay [U14W22],,soft,pale yellowish ooze with few crossbeds of coarse brownish sand sized grains.,pale yellow,2.5Y 8/2,coarse ash [S81],weathered basalt (?),,
324-U1348A-10R-1-A,324,U1348,A,10,10-1,R,1,A,21.05,47.0,161.311,161.57,,Sandstone [MMK88],"Mazullo, Meyer ",with chert,Sandstone with chert,100,coarse sand [U14W22],subangular (Default),well indurated,"Very coarse sandstone of mostly dark yellow grains, some patches of light grey chert. Grains are quite angular and there are vugs filled with quartz crystals, ~1mm in size.",light olive brown,2.5Y 5/6,,,,
324-U1348A-10R-1-A,324,U1348,A,10,10-1,R,1,A,47.0,50.0,161.57,161.6,,breccia,Leg 323,,breccia,100,pebble [U14W22],subangular (Default),well indurated,large yellow subangular to angular clasts (~1cm) cemented together with white to clear silica (chert). Some vugs filled with quartz crystals.,light olive brown,2.5Y 5/6,,,,
324-U1348A-10R-1-A,324,U1348,A,10,10-1,R,1,A,50.0,88.0,161.6,161.98,,Sandstone [MMK88],"Mazullo, Meyer ",with chert,Sandstone with chert,100,coarse sand [U14W22],subangular (Default),well indurated,"Very coarse sandstone of mostly dark yellow grains, some patches of light grey chert. ",light olive brown,2.5Y 5/6,coarse ash [S81],weathered basalt (?),,
324-U1348A-11R-1-A,324,U1348,A,11,11-1,R,1,A,0.0,2.0,170.7,170.72,,chert [MMK88],"Mazullo, Meyer ",,chert,100,cryptocrystalline [324],,well indurated,yellowish brown chert nodule with  lighter yellow blebs and occasional ~1mm size black grain floating within. Nodule has a thin porcellanite coating. isolated clast at the top of the core. no contact.,light olive brown,2.5Y 5/6,,,,
324-U1348A-11R-1-A,324,U1348,A,11,11-1,R,1,A,2.0,14.0,170.72,170.84,carbonate-cemented,Sandstone [MMK88],"Mazullo, Meyer ",,carbonate-cemented Sandstone,100,coarse sand [U14W22],subrounded (Default),cemented,"Yellow, coarse-grained, carbonate-cemented biogenic sandstone nodules, ~2-5cm in size. Crumbly texture, grains are subrounded to subangular and consist of subrounded tabular coral pieces, as well as more rounded biogenic fragments (white bryozoans?). A few clasts of brown-orange altered finer grained sandstone, a pale green mineral, black basalt(?)  as well as pyrite masses are visible.",olive yellow,2.5Y 6/6,,,,
324-U1348A-12R-1-A,324,U1348,A,12,12-1,R,1,A,0.0,13.5,180.3,180.435,,Sandstone [MMK88],"Mazullo, Meyer ",,Sandstone,100,coarse sand [U14W22],subrounded (Default),slightly cemented,"Yellow sandstone, very crumbly with a yellow clay component. Sediments consist mainly of tabular/cylindrical coral fragments with other biogenic fragments (shells, bryozoans etc.). There is a small proportion of dark, subangular clasts (volcanigenic?). - same lithology as in Core 11. ",brownish yellow,10YR 6/6,,,,
324-U1348A-12R-1-A,324,U1348,A,12,12-1,R,1,A,13.5,33.0,180.435,180.63,,Clay [MMK88],"Mazullo, Meyer ",with sand,clay,100,clay [U14W22],,soft,Pale green clay (zeolitic) with some medium to coarse sand grains throughout. Thin layer of hardened white clay (needle-like zeolites) at ~24cm. ,pale olive,5Y 6/3,,,,
324-U1348A-12R-1-A,324,U1348,A,12,12-1,R,1,A,33.0,41.0,180.63,180.71,,Claystone [MMK88],"Mazullo, Meyer ",,clay,100,clay [U14W22],,consolidated,Angular fragments of yellow to greenish claystone with occasional sand grain or black inclusions. Black grains can appear speckled and dendritic in some cases - manganese oxide growths?,yellow,5Y 7/6,,,,
324-U1348A-12R-CC-A,324,U1348,A,12,12-CC,R,CC,A,0.0,4.0,180.71,180.75,,Sand-Silt-Clay [MMK88],"Mazullo, Meyer ",,Sand-Silt-Clay,100,fine sand [U14W22],subrounded (Default),soft,"Dark yellow mixture of grain sizes from clays to medium grain sand. Sand-sized grains are mostly milky quartz. Black, dendritc mineral growth in some places may be manganese oxide?",olive yellow,2.5Y 6/8,,,,
324-U1348A-12R-CC-A,324,U1348,A,12,12-CC,R,CC,A,4.0,12.0,180.75,180.83,,Silty Clay [MMK88],"Mazullo, Meyer ",,clay,100,clay [U14W22],,soft,Greenish clay with silt. Shows slight variation in green-yellow color (yellower towards base). ,olive yellow,5Y 6/8,,,,
324-U1348A-12R-CC-A,324,U1348,A,12,12-CC,R,CC,A,12.0,17.0,180.83,180.88,,Clayey Silt [MMK88],"Mazullo, Meyer ",,silt,100,silt [U14W22],,soft,"Yellow silt with some clay. Pale yellow/white color, silt-sized band ~1cm thick at 13cm.",yellow,2.5Y 7/8,,,,
324-U1348A-12R-CC-A,324,U1348,A,12,12-CC,R,CC,A,17.0,20.0,180.88,180.91,,Silty Clay [MMK88],"Mazullo, Meyer ",,clay,100,clay [U14W22],,soft,Pale greenish yellow clay with silt and some hardened angular clasts of lighter colored clay,pale yellow,5Y 8/4,,,,
324-U1348A-13R-1-A,324,U1348,A,13,13-1,R,1,A,0.0,135.0,189.9,191.25,"calcite cemented, bioclastic",sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",with shell fragments and volcanoclastics,"calcite cemented, bioclastic sandstone with shell fragments and volcanoclastics",100,very coarse sand [U14W22],subrounded (Default),indurated,"Sandstone contains many bioclastic elements (mostly calcitic). Bivalves and shelly fragments are common (including Inoceramids). Echinoderm plates are very common in thin section. Rounded, highly vesicular volcanoclastic grains are also common (palagonite?). These have been altered to a greenish color in places which superficially resembles glauconite (green rounded ""pellets"" in hand specimen) but which are clearly vesicular, and probably scoriaceous, upon closer inspection. 
Calcite (sparite) cemented throughout. ",light yellowish gray,10YR 7/6,lapillus [S81],basalt,,
324-U1348A-13R-1-A,324,U1348,A,13,13-1,R,1,A,135.0,137.5,191.25,191.275,,claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",,claystone,100,clay [U14W22],,soft,"Thin interval of brownish clay above the laminated sandstone. Mostly fine, brownish altered vitreous fragments, iron oxides and calcite cement.",reddish yellow,7.5YR 6/6,,,,
324-U1348A-13R-1-A,324,U1348,A,13,13-1,R,1,A,137.5,152.0,191.275,191.42,calcite cemented,sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,calcite cemented sandstone,100,medium sand [U14W22],angular (Default),indurated,"Fine to medium sized sandstone. Finely laminated. Very orangey brown and the base, grading up to pinkish brown at the top. Altered and overgrown. In thin section, angular, overgrown clasts (altered glass?) are cemented by zeolites and calcite. No obvious bioclastic elements visible, although there are possibly some small, altered shelly fragments in places.",strong brown,7.5YR 5/6,ash [S81],lapillus [S81],,
324-U1348A-13R-CC-A,324,U1348,A,13,13-CC,R,CC,A,0.0,15.0,191.42,191.57,Zeolitic,sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Zeolitic sandstone,100,medium sand [U14W22],angular (Default),slightly indurated,"Mixture of sandstone with some finer claystone bands. Orangey brown color with some grayish green bands. Laminated throughout. In smear slide, contains abundant fiberous, isotropic zeolite fragments and altered glassy fragments. Iron oxides and occasional altered plagioclase laths present. ",reddish brown,2.5YR 5/4,ash [S81],lapillus [S81],,
324-U1348A-14R-1-A,324,U1348,A,14,14-1,R,1,A,0.0,150.0,199.5,201.0,Calcite cemented,granular hyaloclastite [324],Exp 324,,Calcite cemented granular hyaloclastite,100,granule [U14W22],angular (Default),well indurated,"Gray volcanoclastic sandstone / lapillistone alt.  Abundant dark grains, which are subangular to very angular in shape. Lapillistone mainly poorly sorted and massive or graded. Section 1, 24-57 cm,  slightly laminated. Mostly coarse sand to lapilli sized. One large, gray, angular clast in Section 3 is 3 cm long. Large dark to light gray vesicular grains are interpreted as scoria (partly aligned vesicle trail). some dark clasts are aphyric basalt. ",gray,N 5,lapillus [S81],basalt,,
