Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
363-U1486C-2H-4-A,141,150,13.21,13.3,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,2,H,4,A
363-U1486C-2H-5-A,0,103,13.3,14.33,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,2,H,5,A
363-U1486C-2H-5-A,103,150,14.33,14.8,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,2,H,5,A
363-U1486C-2H-6-A,0,81,14.8,15.61,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,2,H,6,A
363-U1486C-2H-7-A,0,47,15.61,16.08,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,2,H,7,A
363-U1486C-2H-7-A,47,74,16.08,16.35,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,2,H,7,A
363-U1486C-2H-CC-A,0,21,16.35,16.56,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,2,H,CC,A
363-U1486C-4H-1-A,0,37,18.8,19.17,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,4,H,1,A
363-U1486C-4H-1-A,37,118,19.17,19.98,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,4,H,1,A
363-U1486C-4H-1-A,118,150,19.98,20.3,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,4,H,1,A
363-U1486C-4H-2-A,0,60,20.3,20.9,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,4,H,2,A
363-U1486C-4H-2-A,60,89,20.9,21.19,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,4,H,2,A
363-U1486C-4H-2-A,89,97,21.19,21.27,,ash(tuff) [MMK88m],ash(tuff),,5YR 3/1 (very dark gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,4,H,2,A
363-U1486C-4H-2-A,97,138,21.27,21.68,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,4,H,2,A
363-U1486C-4H-2-A,138,150,21.68,21.8,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,4,H,2,A
363-U1486C-4H-3-A,0,65,21.8,22.45,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,4,H,3,A
363-U1486C-4H-3-A,65,150,22.45,23.3,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,4,H,3,A
363-U1486C-4H-4-A,0,76,23.3,24.06,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,4,H,4,A
363-U1486C-4H-4-A,76,150,24.06,24.8,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,4,H,4,A
363-U1486C-4H-5-A,0,89,24.8,25.69,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,4,H,5,A
363-U1486C-4H-5-A,89,150,25.69,26.3,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,4,H,5,A
363-U1486C-4H-6-A,0,50,26.3,26.8,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,4,H,6,A
363-U1486C-4H-6-A,50,81,26.8,27.11,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,4,H,6,A
363-U1486C-4H-6-A,81,90,27.11,27.2,,ashy clay [X363],ashy clay,,10Y 4/1 (dark greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,4,H,6,A
363-U1486C-4H-6-A,90,150,27.2,27.8,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,4,H,6,A
363-U1486C-4H-7-A,0,53,27.8,28.33,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,4,H,7,A
363-U1486C-4H-CC-A,0,27,28.33,28.6,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,4,H,CC,A
363-U1486C-5H-1-A,0,60,28.3,28.9,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,5,H,1,A
363-U1486C-5H-1-A,60,84,28.9,29.14,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,5,H,1,A
363-U1486C-5H-1-A,84,125,29.14,29.55,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,5,H,1,A
363-U1486C-5H-1-A,125,150,29.55,29.8,,foraminifer-nannofossil ooze [X363],foraminifer-nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,5,H,1,A
363-U1486C-5H-2-A,0,22,29.8,30.02,,foraminifer-nannofossil ooze [X363],foraminifer-nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,5,H,2,A
363-U1486C-5H-2-A,22,63,30.02,30.43,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,5,H,2,A
363-U1486C-5H-2-A,63,150,30.43,31.3,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,5,H,2,A
363-U1486C-5H-3-A,0,11,31.3,31.41,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,5,H,3,A
363-U1486C-5H-3-A,11,70,31.41,32.0,,foraminifer-nannofossil ooze [X363],foraminifer-nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,5,H,3,A
363-U1486C-5H-3-A,70,150,32.0,32.8,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,5,H,3,A
363-U1486C-5H-4-A,0,5,32.8,32.85,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,5,H,4,A
363-U1486C-5H-4-A,5,150,32.85,34.3,,foraminifer-nannofossil ooze [X363],foraminifer-nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,5,H,4,A
363-U1486C-5H-5-A,0,7,34.3,34.37,,ash(tuff) [MMK88m],ash(tuff),,2.5Y 3/2 (very dark grayish brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,5,H,5,A
363-U1486C-5H-5-A,7,14,34.37,34.44,,ash(tuff) [MMK88m],ash(tuff),,2.5Y 7/2 (light gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,5,H,5,A
363-U1486C-5H-5-A,14,148,34.44,35.78,,foraminifer-nannofossil ooze [X363],foraminifer-nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,5,H,5,A
363-U1486C-5H-5-A,148,150,35.78,35.8,,ash(tuff) [MMK88m],ash(tuff),,2.5Y 7/2 (light gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,5,H,5,A
363-U1486C-5H-6-A,0,9,35.8,35.89,,ash(tuff) [MMK88m],ash(tuff),,2.5Y 7/2 (light gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,5,H,6,A
363-U1486C-5H-6-A,9,81,35.89,36.61,,foraminifer-nannofossil ooze [X363],foraminifer-nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,5,H,6,A
363-U1486C-5H-6-A,81,150,36.61,37.3,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,5,H,6,A
363-U1486C-5H-7-A,0,41,37.3,37.71,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,5,H,7,A
363-U1486C-5H-7-A,41,53,37.71,37.83,,ash(tuff) [MMK88m],ash(tuff),,10YR 3/2 (very dark grayish brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,5,H,7,A
363-U1486C-5H-7-A,53,61,37.83,37.91,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,5,H,7,A
363-U1486C-5H-CC-A,0,24,37.91,38.15,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,5,H,CC,A
363-U1486C-6H-1-A,0,49,37.8,38.29,,foraminifer-nannofossil ooze [X363],foraminifer-nannofossil ooze,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,6,H,1,A
363-U1486C-6H-1-A,49,51,38.29,38.31,,foraminifer-nannofossil ooze [X363],foraminifer-nannofossil ooze,,N 5 (gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,6,H,1,A
363-U1486C-6H-1-A,51,53,38.31,38.33,,ash(tuff) [MMK88m],ash(tuff),,N 3 (very dark gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,6,H,1,A
363-U1486C-6H-1-A,53,58,38.33,38.38,,foraminifer-nannofossil ooze [X363],foraminifer-nannofossil ooze,,N 5 (gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,6,H,1,A
363-U1486C-6H-1-A,58,99,38.38,38.79,,foraminifer-nannofossil ooze [X363],foraminifer-nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,6,H,1,A
363-U1486C-6H-1-A,99,101,38.79,38.81,,ash(tuff) [MMK88m],ash(tuff),,10YR 2/1 (black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,6,H,1,A
363-U1486C-6H-1-A,101,150,38.81,39.3,,foraminifer-nannofossil ooze [X363],foraminifer-nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,6,H,1,A
363-U1486C-6H-2-A,0,21,39.3,39.51,,foraminifer-nannofossil ooze [X363],foraminifer-nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,6,H,2,A
363-U1486C-6H-2-A,21,22,39.51,39.52,,ash(tuff) [MMK88m],ash(tuff),,2.5Y 4/1 (dark gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,6,H,2,A
363-U1486C-6H-2-A,22,70,39.52,40.0,,foraminifer-nannofossil ooze [X363],foraminifer-nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,6,H,2,A
363-U1486C-6H-2-A,70,73,40.0,40.03,,ash(tuff) [MMK88m],ash(tuff),,2.5Y 4/1 (dark gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,6,H,2,A
363-U1486C-6H-2-A,73,150,40.03,40.8,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,6,H,2,A
363-U1486C-6H-3-A,0,60,40.8,41.4,,foraminifer-nannofossil ooze [X363],foraminifer-nannofossil ooze,,2.5Y 4/1 (dark gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,6,H,3,A
363-U1486C-6H-3-A,60,71,41.4,41.51,,foraminifer-nannofossil ooze [X363],foraminifer-nannofossil ooze,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,6,H,3,A
363-U1486C-6H-3-A,71,110,41.51,41.9,,foraminifer-nannofossil ooze [X363],foraminifer-nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,6,H,3,A
363-U1486C-6H-3-A,110,117,41.9,41.97,,foraminifer-nannofossil ooze [X363],foraminifer-nannofossil ooze,,N 5 (gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,6,H,3,A
363-U1486C-6H-3-A,117,150,41.97,42.3,,foraminifer-nannofossil ooze [X363],foraminifer-nannofossil ooze,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,6,H,3,A
363-U1486C-6H-4-A,0,4,42.3,42.34,,foraminifer-nannofossil ooze [X363],foraminifer-nannofossil ooze,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,6,H,4,A
363-U1486C-6H-4-A,4,11,42.34,42.41,,foraminifer-nannofossil ooze [X363],foraminifer-nannofossil ooze,,2.5Y 5/1 (gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,6,H,4,A
363-U1486C-6H-4-A,11,14,42.41,42.44,,ash(tuff) [MMK88m],ash(tuff),,2.5Y 3/1 (very dark gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,6,H,4,A
363-U1486C-6H-4-A,14,65,42.44,42.95,ash-bearing foraminifer-rich [X363],nannofossil clay [X363],ash-bearing foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,6,H,4,A
363-U1486C-6H-CC-A,0,28,42.95,43.23,ash-bearing foraminifer-rich [X363],nannofossil clay [X363],ash-bearing foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,pumice,,,,,,,,,,,,,363,U1486,C,6,H,CC,A
363-U1486C-8H-1-A,0,7,49.3,49.37,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,8,H,1,A
363-U1486C-8H-1-A,7,73,49.37,50.03,,foraminifer-nannofossil ooze [X363],foraminifer-nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,8,H,1,A
363-U1486C-8H-1-A,73,110,50.03,50.4,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,8,H,1,A
363-U1486C-8H-1-A,110,150,50.4,50.8,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,8,H,1,A
363-U1486C-8H-2-A,0,64,50.8,51.44,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,8,H,2,A
363-U1486C-8H-2-A,64,65,51.44,51.45,,ash(tuff) [MMK88m],ash(tuff),,2.5Y 3/2 (very dark grayish brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,8,H,2,A
363-U1486C-8H-2-A,65,115,51.45,51.95,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,8,H,2,A
363-U1486C-8H-2-A,115,132,51.95,52.12,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,2.5Y 3/2 (very dark grayish brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,8,H,2,A
363-U1486C-8H-2-A,132,150,52.12,52.3,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,8,H,2,A
363-U1486C-8H-3-A,0,43,52.3,52.73,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,8,H,3,A
363-U1486C-8H-3-A,43,46,52.73,52.76,,ash(tuff) [MMK88m],ash(tuff),,N 5 (gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,8,H,3,A
363-U1486C-8H-3-A,46,72,52.76,53.02,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,8,H,3,A
363-U1486C-8H-3-A,72,77,53.02,53.07,,ash(tuff) [MMK88m],ash(tuff),,10YR 2/1 (black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,8,H,3,A
363-U1486C-8H-3-A,77,112,53.07,53.42,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,8,H,3,A
363-U1486C-8H-3-A,112,114,53.42,53.44,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10YR 3/1 (very dark gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,8,H,3,A
363-U1486C-8H-3-A,114,126,53.44,53.56,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,8,H,3,A
363-U1486C-8H-3-A,126,150,53.56,53.8,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,8,H,3,A
