Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comment,Zone name,Age,Preservation,Nannofossil abundance,Sphenolithus ciperoensis,Sphenolithus delphix,Sphenolithus disbelemnos,Helicosphaera ampliaperta,Sphenolithus belemnos,Triquetrorhabdulus carinatus,Sphenolithus heteromorphus,Discoaster deflandrei,Cyclicargolithus floridanus,Calcidiscus premacintyrei,Coronocyclus nitescens,Discoaster kugleri,Coccolithus miopelagicus,Catinaster coalitus,Catinaster calyculus,Discoaster hamatus,Discoaster berggrenii,Nicklithus amplificus,Discoaster quinqueramus,Ceratolithus acutus,Ceratolithus larrymayeri,Triquetrorhabdulus rugosus,Ceratolithus rugosus,Reticulofenestra pseudoumbilicus,Sphenolithus spp.,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster triradiatus,Discoaster brouweri,Gephyrocapsa (>4 μm),Calcidiscus macintyrei,Gephyrocapsa (> 5.5 μm),Helicosphaera sellii,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Emiliania huxleyi,Algirosphaera robusta,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Calciosolenia murrayi,Catinaster mexicanus,Ceratolithus armatus,Ceratolithus atlanticus,Ceratolithus cristatus,Clausicoccus fenestratus,Coccolithus pelagicus,Cryptococcolithus mediaperforate,Cyclicargolithus abisectus,Dictyococcites antarcticus,Dictyococcites bisectus,Discoaster altus,Discoaster asymmetricus,Discoaster bellus,Discoaster bergenii,Discoaster bollii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster loeblichii,Discoaster musicus,Discoaster neorectus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster variabilis,Discosphaera tubifera,Florisphaera profunda,Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa muellerae,Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyroscapsa lumina,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera pavimentum,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Helicosphaera stalis,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Minylitha convallis,Oolithotus fragilis,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera syracusana,Pseudoemiliania ovata,Reticulofenestra daviesii,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra pseudoumbilicus (> 7 μm),Reticulofenestra pseudoumbilicus (5-7 µm),Reticulofenestra rotaria,Rhabdosphaera clavigera,Rhabdosphaera poculii,Scyphosphaera apsteinii,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera globulata,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera pulcherrima,Scyphosphaera tubifera,Scyphosphaera ventriosa,Small Gephyrocapsa (< 4 μm),Solidopons petrae,Sphenolithus abies,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus moriformis,Syracolithus schilleri,Syracosphaera lamina,Syracosphaera pulchra,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus extensus,Triquetrorhabdulus finifer,Triquetrorhabdulus milowii,Triquetrorhabdulus rioi,Triquetrorhabdulus sp. (long needle-like),Triquetrorhabdulus striatus,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera foliosa,Umbilicosphaera hulburtiana,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus,Zone name (short)
320-U1336A-3H-6-W 90/90-NANNO,320,U1336,A,3,3-6,H,6,W,90/90-NANNO,0,0,25.9,25.9,"PB - heteromorphous, premacintyrei present",NN4-5,middle Miocene,M [320_N],A [320_Ng],,,,,,,C,,A,F,F,,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,C,,,,,,,,,,,,,,C,,,,F,,,,,,,,,,,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,C,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,
320-U1336A-3H-CC-PAL-NANNO,320,U1336,A,3,3-CC,H,CC,PAL,NANNO,0,0,27.47,27.47,TDJ/PB - petaliformis,NN4-5,middle Miocene,P [320_N],A [320_Ng],,,,,,,C,F,C,F,F,,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,C,,,C,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,C,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,,,,,,,,,,,F,,,
320-U1336A-4H-2-W 90/90-NANNO,320,U1336,A,4,4-2,H,2,W,90/90-NANNO,0,0,29.4,29.4,PB - petaliformis,NN4-5,middle Miocene,M [320_N],A [320_Ng],,,,,,,C,F,C,F,C,,R,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,C,,,,F,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1336A-4H-4-W 90/90-NANNO,320,U1336,A,4,4-4,H,4,W,90/90-NANNO,0,0,32.4,32.4,PB - petaliformis,NN4-5,middle Miocene,M [320_N],A [320_Ng],,,,,,,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,C,F,,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,R,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,F,,,
320-U1336A-4H-6-W 40/40-NANNO,320,U1336,A,4,4-6,H,6,W,40/40-NANNO,0,0,34.9,34.9,PB - petaliformis,NN4-5,middle Miocene,M [320_N],A [320_Ng],,,,,,,A,C,A,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,C,F,,F,,,,,,,,,,,C,,,,F,,,,,,,,,,,,,,R,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,,
320-U1336A-4H-CC-PAL-NANNO,320,U1336,A,4,4-CC,H,CC,PAL,NANNO,0,0,36.2,36.2,TDJ/PB - petaliformis,NN4-5,middle Miocene,M [320_N],A [320_Ng],,,,,,,A,C,A,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,,,,,,C,R,,,,,,,,,,,,,C,,,,F,,,,,,,,,,,,R,,,F,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,R,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,C,F,,,
320-U1336A-5H-2-W 34/34,320,U1336,A,5,5-2,H,2,W,34/34,0,0,38.34,38.34,PB - diatomite,NN4-5,middle Miocene,M [320_N],A [320_Ng],,,,,,,F,C,A,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,C,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,R,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,A,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1336A-5H-4-W 64/64,320,U1336,A,5,5-4,H,4,W,64/64,0,0,41.64,41.64,PB - petaliformis,NN4-5,middle Miocene,M [320_N],A [320_Ng],,,,,,,A,F,A,R,R,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,C,R,,,,,,,,,,,,,C,,,,F,,,,,,,,,,,,,R,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,
320-U1336A-5H-6-W 35/35,320,U1336,A,5,5-6,H,6,W,35/35,0,0,44.35,44.35,PB - ,NN4,middle Miocene,M [320_N],A [320_Ng],,,,,,,C,C,A,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,C,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,F,,,
320-U1336A-5H-CC-PAL-NANNO,320,U1336,A,5,5-CC,H,CC,PAL,NANNO,0,0,46.41,46.41,TDJ - heteromorphous; deflandrei common,NN4,early Miocene,M [320_N],A [320_Ng],,,,,,,A,C,C,,R,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,F,F,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,F,F,,,
320-U1336A-6H-CC-PAL-NANNO,320,U1336,A,6,6-CC,H,CC,PAL,NANNO,0,0,55.14,55.14,TDJ - heteromorphous; deflandrei common,NN4,early Miocene,M [320_N],A [320_Ng],,,,,,,C,C,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,F,,,,
320-U1336A-7H-1-W 70/70,320,U1336,A,7,7-1,H,1,W,70/70,0,0,56.2,56.2,PB - ,NN4,early Miocene,M [320_N],A [320_Ng],,,,,,,C,C,A,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,
320-U1336A-7H-2-W 50/50,320,U1336,A,7,7-2,H,2,W,50/50,0,0,57.5,57.5,"PB - heteromorphus, belemnos",NN4,early Miocene,M [320_N],A [320_Ng],,,R,,F,,C,C,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,R,,,,,,,,,,,,,F,,,
320-U1336A-7H-3-W 52/52,320,U1336,A,7,7-3,H,3,W,52/52,0,0,59.02,59.02,PB - ,NN2,early Miocene,M [320_N],A [320_Ng],,,,,C,F,,C,A,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,F,,,,,,,,C,C,,,
320-U1336A-7H-4-W 95/95,320,U1336,A,7,7-4,H,4,W,95/95,0,0,60.95,60.95,"PB - belemnos, carinatus",NN2,early Miocene,M [320_N],A [320_Ng],,,R,,C,F,,C,C,,C,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,F,,,,
320-U1336A-7H-6-W 47/47,320,U1336,A,7,7-6,H,6,W,47/47,0,0,63.47,63.47,"PB - belemnos, carinatus",NN2,early Miocene,M [320_N],A [320_Ng],,,,,C,F,,C,A,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,F,F,,,
320-U1336A-7H-CC-PAL-NANNO,320,U1336,A,7,7-CC,H,CC,PAL,NANNO,0,0,65.56,65.56,"TDJ - belemnos, carinatus",NN2,early Miocene,M [320_N],A [320_Ng],,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1336A-8H-2-W 82/82,320,U1336,A,8,8-2,H,2,W,82/82,0,0,67.32,67.32,"PB - belemnos, carinatus",NN2,early Miocene,M [320_N],A [320_Ng],,,R,,C,F,,C,A,,C,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,F,,,,R,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,C,C,,,
320-U1336A-8H-4-W 43/43,320,U1336,A,8,8-4,H,4,W,43/43,0,0,69.93,69.93,"PB - belemnos, carinatus",NN2,early Miocene,M [320_N],A [320_Ng],,,R,,C,C,,A,A,,C,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,F,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,F,,,
320-U1336A-8H-6-W 40/40,320,U1336,A,8,8-6,H,6,W,40/40,0,0,72.9,72.9,PB - belemnos w flaring base,NN2,early Miocene,M [320_N],A [320_Ng],,,,,C,R,,C,C,,C,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,C,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,C,,C,,,,,,,,,,,,,,,,,C,C,,,
320-U1336A-8H-CC-PAL-NANNO,320,U1336,A,8,8-CC,H,CC,PAL,NANNO,0,0,74.38,74.38,"TDJ/PB - belemnos, carinatus",NN2,early Miocene,M [320_N],A [320_Ng],,,,,C,C,,A,C,,C,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,,,,C,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,C,,,
320-U1336A-9H-1-W 55/55,320,U1336,A,9,9-1,H,1,W,55/55,0,0,75.05,75.05,"PB - no belemnos, comm. small sphenoliths",NN2,early Miocene,M [320_N],A [320_Ng],,,,,,F,,C,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,A,,C,,,,,,,,,,,,,,,,,C,C,,,
320-U1336A-9H-CC-PAL-NANNO,320,U1336,A,9,9-CC,H,CC,PAL,NANNO,0,0,84.58,84.58,TDJ/PB - carinatus,NN2,early Miocene,M [320_N],A [320_Ng],,,,,,C,,C,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,C,R,C,,C,,,,,,,,,,,,,,,,,F,F,,,
320-U1336A-10H-CC-PAL-NANNO,320,U1336,A,10,10-CC,H,CC,PAL,NANNO,0,0,93.78,93.78,"PB - carinatus, ?flaring disbelemnos",NN2,early Miocene,M [320_N],A [320_Ng],,,F,,,F,,C,A,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,,,,,,,,,,,,,,,,R,C,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,C,,A,,,,,,,,,,,,,,,,,C,C,,,
