Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Lychnocanoma turgidum,Theocyrtis perpumila n. sp.,Thyrsocyrtis orthotenes n. sp.,Lophocyrtis jacchia,Podocyrtis papalis,Cryptocarpium azyx,Thyrsocyrtis lochites,Dorcadospyris copelata n. sp.,Spongatractus pachystylus,Anthocyrtoma spp.,Calocycloma ampulla,Thyrsocyrtis bromia,Thyrsocyrtis tetracantha,Zygocircus cimelium,Rhopalocanium ornatum,Theocyrtis careotuberosa n. sp.,Dorcadospyris ombros n. sp.,Tristylospyris triceros,Theocotyllissa ficus,Dorcadospyris anastasis n. sp.,Dictyophimus craticula,Calocyclas turris,Podocyrtis goetheana,Podocyrtis chalara,Botryocella sp. gr.,Podocyrtis apeza,Thyrsocyrtis krooni,Dictyoprora pirum,Lithochytris vespertilio,Dictyoprora armadillo,Sethochytris triconiscus,Lithocyclia aristotelis gr.,Podocyrtis mitra,Lophocyrtis biaurita,Podocyrtis trachodes,Artophormis barbadensis,Podocyrtis ampla,Zealithapium mitra,Zealithapium anoectum,Cryptocarpium ornatum,Eusyringium lagena,Podocyrtis fasciolata,Zealithapium plegmacantha,Podocyrtis sinuosa,Dictyoprora mongolfieri,Podocyrtis diamesa,Podocyrtis phyxis,Spongatractus balbis,Eusyringium fistuligerum,Thyrsocyrtis tensa,Theocotyle venezuelensis,Theocotyle conica,Lamptonium fab. constrictum,Lamptonium fab. fabaeforme,Theocotyle cryptocephala,Periphaena tripyramis triangula,Thyrsocyrtis robusta,Thyrsocyrtis hirsuta,Lamptonium fab. chaunothorax,Periphaena delta,Theocorys anaclasta,Calocycloma castum,Thyrsocyrtis triacantha,Dicty mongolferi,Comments,File data
320-U1332A-11H-CC-PAL-RADS,320,U1332,A,11,11-CC,H,CC,PAL,RADS,0,0,98.52,98.52,,,,,,R,R,,R,,,,R,,,,,,R,,,,R,R,,,F,R,,,,,,R,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,C,R,,
320-U1332A-12H-2,320,U1332,A,12,12-2,H,2,,,105,107,101.45,101.47,RP16,A,G,1,R,R,,,,,,,R,,,,,R,R,R,,,R,R,,,F,R,,R,,,,R,,R,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,R,C,R,COMMON D. MONGOLFERI,
320-U1332A-12H-4,320,U1332,A,12,12-4,H,4,,,105,107,104.45,104.47,RP16,A,G,,R,R,,,,,,,R,,,,,R,R,,,,R,R,,,R,R,,R,,,,,,,,,,,vR,,,,,,,,,,,,R,,,,,,,,,,,,,,F,R,,
320-U1332A-12H-CC-PAL-RADS,320,U1332,A,12,12-CC,H,CC,PAL,RADS,0,0,108.45,108.45,RP16,A,G,2,R,R,,,R,,,,R,R,,,,,R,,R,,,,R,,,R,,R,,,R,,R,,R,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,R,R,R,,
320-U1332A-13H-2,320,U1332,A,13,13-2,H,2,,,105,107,110.95,110.97,RP15,A,G,1,R,R,,,,,,,R,R,,,,,R,,,,,,R,,,F,,R,,,,,R,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,R,R,,
320-U1332A-13H-5,320,U1332,A,13,13-5,H,5,,,105,107,115.45,115.47,RP15,A,G,1,R,R,,,R,,,,R,R,,,,,R,,vR,,,,vR,,,F,,R,,,,,R,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,R,R,,
320-U1332A-13H-CC-PAL-RADS,320,U1332,A,13,13-CC,H,CC,PAL,RADS,0,0,118.38,118.38,RP15,A,G,1,R,R,,,,,,,R,R,,,,,R,,,,,,R,,,R,,R,,,R,,R,,R,,,,,R,,,,R,,,,,,,R,,,,,,,,,,,,,R,R,R,,
320-U1332A-14H-2,320,U1332,A,14,14-2,H,2,,,104,106,120.44,120.46,RP14,A,G,,R,R,,,R,,,,R,,,,,,R,,,,,,,,,,,,,,R,,R,,R,,R,,,R,,,,R,,,,,,,R,,,,,,,,,,,,,R,F,R,,
320-U1332A-14H-4,320,U1332,A,14,14-4,H,4,,,104,106,123.44,123.46,RP14,A,G,,R,R,,,R,,,,R,,,,,R,R,,,,,,,,,,,,,,R,,R,,R,,R,,R,R,,,R,R,,,R,,,,R,,,,,,,,,,,,,,F,R,,
320-U1332A-14H-CC-PAL-RADS,320,U1332,A,14,14-CC,H,CC,PAL,RADS,0,0,126.28,126.28,RP14,A,G,,,R,,,,,,,R,R,,,,R,R,,,,,,R,,,,,R,,,R,,,,R,,R,,R,R,,,,R,,,,,,,R,,,,,,,,,,,,,R,R,R,,
