Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of non-calcareous agglutinated forams in total foram assemblage [%],Ammobaculites agglutinans,Amphicoryna scalaris,Amphisorus hemprichii,Anomalinoides globulosus,Astalocus bradyi,Bigenerina nodosaria,Bigenerina spp.,Bolivina robusta,Bolivinita quadrilatera,Brizalina alata,Brizalina earlandi,Bulbobaculites problematicus,Bulimina aculeata,Bulimina gibba,Bulimina marginata,Ceratobulimina jonesiana,Chilostomella oolina,Cibicidoides bradyi,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides spp.,Cornuspira involvens,Corscinospora arietina,Cymbaloporella taballaeformis,Dentalina sp.,Dentalina spp.,Dorothia bradyana,Dorothia goesi,Edentostomina sp.,Eggerella bradyi,Ehrenbergina pacifica,Elphidium advenum,Epistominella spp.,Eubuliminella exilis,Fissurina sp.,Fissurina spp.,Fursenkoina texturata,Gaudryina spp.,Glandulina ovula,Globobulimina pacifica,Globocassidulina subglobosa,Globulotuba sp.,Gyroidinoides soldanii,Hoeglundina elegans,Hyalinea balthica,Hyperammina friabilis,Laticarinina pauperata,Laevidentalina aphelis,Lagena spp.,Lenticulina spp.,Liebusella soldanii,Lingulina seminuda,Marginulina obesa,Martinottiella communis,Melonis spp.,Nodosaria spp.,Nodogenerina spp.,Nonionella turgida,Oolina spp.,Oolina globosa,Operculina complanata,Oridorsalis umbonatus,Osangularia bengalensis,Osangularia culter,Peneroplis pertusus,Peneroplis planatus,Planulina wuellerstorfi,Planularia australis,Plectofrondicularia advena,Pleurostomella spp.,Poroeponides lateralis,Praeglobobulimina pupoides,Procerolagena gracilis,Pseudoglandulina glanduliformis,Pyramidulina spp.,Pyrgo spp.,Pyrgo lucernula,Pyrgo laevis,Pullenia bulloides,Pullenia quinqueloba,Quinqueloculina spp.,Rectuvigerina striata,Reophax spp.,Rotalinoides compressiusculus,Rosalina globularis,Saracenaria volpicelli,Saracenaria altifrons,Sigmoilopsis schlumbergeri,Siphogenerina columellaris,Sphaeroidina bulloides,Spiroloculina bradyi,Spiroloculina rotunda,Stilostomella spp.,Textularia agglutinans,Textulariella barrettii,Textularia pseudogramen,Tristix sp.,Trochammina inflata,Uvigerina spp.,Uvigerina bifurcata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina proboscidea,Vaginulina spp.,Vaginulinopsis reinformis,Vaginulinopsis spp.,Vulvulina pennatula,BF comment,Ship File Links,Shore File Links,File Data
363-U1488A-1H-CC,0,23,5.66,5.89,E [P46],,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,14,,,,,,,,,
363-U1488A-2H-CC,0,23,15.6,15.83,E [P46],,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,,,,,,,,,
363-U1488A-3H-CC,0,25,25.05,25.3,E [P46],,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,
363-U1488A-4H-CC,0,30,34.54,34.84,E [P46],,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,4,15,,,,,,,,,
363-U1488A-5H-CC,0,30,44.09,44.39,E [P46],,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,2,2,,,,,,,,,
363-U1488A-6H-CC,0,23,53.6,53.83,E [P46],,1,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,3,,,2,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,
363-U1488A-7H-CC,0,27,63.05,63.32,E [P46],,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,
363-U1488A-8H-CC,0,45,71.7,72.15,E [P46],,1,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,
363-U1488A-9H-CC,0,21,82.06,82.27,E [P46],,1,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,
363-U1488A-10H-CC,0,47,91.14,91.61,E [P46],,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,1,,,,,,,1,,,,,1,,,,,,,,1,2,,,,,,,,,
363-U1488A-11H-CC,0,25,101.05,101.3,G [P46],,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,4,,,,,,,,,3,,,,,,,,,
363-U1488A-12H-CC,0,16,110.36,110.52,G [P46],,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,
363-U1488A-13H-CC,0,31,120.05,120.36,G [P46],,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,,,,,,,,,,,2,,,,,,,,,4,,,,,,,,,
363-U1488A-14H-CC,0,20,129.6,129.8,G [P46],,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,3,,,,,,,5,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
363-U1488A-15H-CC,0,20,139.1,139.3,G [P46],,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363-U1488A-16H-CC,0,31,148.58,148.89,G [P46],,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
363-U1488A-17H-CC,0,21,158.14,158.35,G [P46],,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,1,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
363-U1488A-18H-CC,0,26,167.58,167.84,G [P46],,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,2,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
363-U1488A-19H-CC,0,9,177.09,177.18,G [P46],,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,
363-U1488A-20H-CC,0,16,186.61,186.77,G [P46],,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,1,,,,,1,,,,,,2,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,
