Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,General comment,Ammonia beccarii,Anomalina spherica,Anomalinoides vitrinodus,Bigenerina pliocenica,Bolivina affliata,Bolivina albatrossi,Bolivina barnwelli,Bolivina fyfei,Bolivina parri,Bolivina punctatostriata,Bolivina wanganuiensis,Bolivina watti,Bolivina zedirecta,Bolivinella australis,Bolivinella lilliei,Bolivinella profolium,Bolivinita compressa,Bolivinita elegantissima,Bolivinita finlayi,Bolivinita pliozea,Bolivinita pohana,Bolivinita pseudocompressa,Bolivinita quadrilatera,Bolivinita quadrilatera ,Bulimina aculeata,Bulimina mapiria,Bulimina marginata,Ceratocancris clifdenensis,Cibcides sp.,Cibicides amoenus,Cibicides deliquatus,Cibicides finlayi,Cibicides neoperforatus,Cibicides thiaracuata,Cibicides victoriensis,Cycloclypeus sp.,Discorbis dimidiatus,Dorothia scabra,Ehrenbergina marwicki,Ehrenbergina mestayeri,Elphidium charlottensis,Elphidium charlottensis ,Elphidium novozealandicum,Euuvigerina cf. peregrina,Euuvigerina mioschwageri,Euuvigerina pliozea,Globocassidulina arata,Haeuslerella finlayi,Haeuslerella morgani,Haeuslerella parri,Haeuslerella pukeuriensis,Haynesina depressula,Hopkinsina mioindex,Hyalinea cf. balthica,Karreriella cushmani,Karreriella cylindrica,Lenticulina calcar,Lepidocyclina ephippoides,Lingulina avellanoides,Loxostomum karrerianum,Loxostomum pakaurangiense,Loxostomum truncatum,Mucronina multicostales,Mucronina subtetragona,Mucronina tosta,Nodosaria acuminata,Nonionella flemingi,Notorotalia briggsi,Notorotalia finlayi,Notorotalia hurupiensis,Notorotalia kingmai,Notorotalia taranakia,Notorotalia wilsoni,Notorotalia zelandica,Patellinella inconspicua,Planorbulinella zelandica,Planulina wuellerstorfi,Plectofrondiculana fyfei,Plectofrondicularia parri,Plectofrondicularia pellucida,Plectofrondicularia pohana,Plectofrondicularia turgida,Rectobolivina maoria,Rectobolivina parvula,Rectobolivina striatula,Rectuvigerina pohana,Rectuvigerina ruatoria,Rectuvigerina vesca,Rotalia wanganuiensis,Saracenaria italica,Semivulvulina ihungia,Sherbornina cuneimarginata zealandica,Sigmoilopsis compressa,Sigmoilopsis schlumbergeri,Sigmoilopsis zeaserus,Siphotextularia wairoana,Siphouvigerina notohispida,Spiroloculina novozealandica,Textularia awazea,Textularia gladizea,Textularia kapitea,Textularia miozea,Uvigerina peregrina,Uvigerina rodleyi,Vaginulinopsis zeacarinata,Valvulineria sp.,Virgulopsis turris,Zeaflorilus parri,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
375-U1519C-2R-CC-PAL-FORAM,0,5,111.69,111.74,VG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,F,,,,375,U1519,C,2,R,CC,PAL,FORAM
375-U1519C-3R-CC-PAL-FORAM,0,5,116.08,116.13,VG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,C,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,375,U1519,C,3,R,CC,PAL,FORAM
375-U1519C-4R-CC-PAL-FORAM,0,10,131.1,131.2,VG,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1519,C,4,R,CC,PAL,FORAM
375-U1519C-5R-CC-PAL-FORAM,0,5,135.93,135.98,VG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1519,C,5,R,CC,PAL,FORAM
375-U1519C-6R-CC-PAL-FORAM,0,5,144.3,144.35,VG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,375,U1519,C,6,R,CC,PAL,FORAM
375-U1519C-9R-CC-PAL-FORAM,0,10,256.76,256.86,VG-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,R,,,,,,,,,,,,,,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,375,U1519,C,9,R,CC,PAL,FORAM
375-U1519C-10R-CC-PAL-FORAM,0,10,267.12,267.22,VG-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,375,U1519,C,10,R,CC,PAL,FORAM
375-U1519C-11R-CC-PAL-FORAM,0,10,272.46,272.56,VG-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,375,U1519,C,11,R,CC,PAL,FORAM
375-U1519C-12R-CC-PAL-FORAM,0,10,284.7,284.8,VG-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,C,,,,375,U1519,C,12,R,CC,PAL,FORAM
375-U1519C-14R-CC-PAL-FORAM,0,15,522.39,522.54,G,,,,,,,,,,,,,,,,,,,,,,R,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,F,,,,375,U1519,C,14,R,CC,PAL,FORAM
375-U1519C-15R-CC-PAL-FORAM,0,9,536.32,536.41,G-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,375,U1519,C,15,R,CC,PAL,FORAM
375-U1519C-16R-CC-PAL-FORAM,0,11,546.86,546.97,G,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,R,,,,375,U1519,C,16,R,CC,PAL,FORAM
375-U1519C-17R-CC-PAL-FORAM,0,10,553.37,553.47,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,375,U1519,C,17,R,CC,PAL,FORAM
375-U1519C-18R-CC-PAL-FORAM,0,10,565.93,566.03,G,,,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,R,,,,375,U1519,C,18,R,CC,PAL,FORAM
375-U1519C-19R-CC-PAL-FORAM,0,10,574.93,575.03,G-M,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,375,U1519,C,19,R,CC,PAL,FORAM
375-U1519C-20R-CC-PAL-FORAM,0,10,580.38,580.48,G,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,,,,375,U1519,C,20,R,CC,PAL,FORAM
375-U1519C-21R-CC-PAL-FORAM,0,12,591.56,591.68,G,,,,,,,,,,,,,,,,,,,,,,C,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,375,U1519,C,21,R,CC,PAL,FORAM
375-U1519C-22R-CC-PAL-FORAM,0,10,602.98,603.08,G-M,,,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,375,U1519,C,22,R,CC,PAL,FORAM
375-U1519C-24R-CC-PAL-FORAM,0,5,618.8,618.85,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1519,C,24,R,CC,PAL,FORAM
