Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Abundance,Preservation,Mixing,Theocyrtis perysinos n. sp.,Tristylospyris triceros,Theocyrtis annosa,Eucyrtidium mitodes n. sp.,Dorcadospyris ateuchus,Theocyrtis setanios n. sp.,Lophocyrtis milowi,Theocorys puriri,Didymocyrtis prismatica,Dorcadospyris circulus,Theocyrtis tuberosa,Lithocyclia crux,Dorcadospyris spinosa,Dorcadospyris quadripes,Eucyrtidium plesiodiaphanes,Lophocyrtis pegetrum,Dorcadospyris riedeli,Dorcadospyris pseudopapilio,Centrobotrys gravida,Centrobotrys petrushevskayae,Lychnodictyum audax,Theocyrtis careotuberosa n. sp.,Dictyoprora mongolfieri,Thyrsocyrtis triacantha,Lophocyrtis oberhaensliae,Lithocyclia ocellus gr.,Lithocyclia aristotelis gr.,Cryptocarpium ornatum,Calocyclas hispida,Calocycletta anekathen n. sp.,Lophocyrtis jacchia,Dictyoprora armadillo,Lychnocanoma babylonis,Lophocyrtis hadra,Lychnocanoma amphitrite,Lophocyrtis exitelus,Dorcadospyris copelata n. sp.,Thyrsocyrtis bromia,Zealithapium mitra,Artophormis barbadensis,Thyrsocyrtis lochites,Lithocyclia angusta,Thyrsocyrtis tetracantha,Dorcadospyris ombros n. sp. (upper),Calocyclas bandyca,Calocyclas turris,Eusyringium fistuligerum,Cryptocarpium azyx,Podocyrtis papalis,Spongatractus pachystylus,Podocyrtis goetheana,Thyrsocyrtis krooni,Lychnocanoma turgidum,Artophormis gracilis,Theocyrtis perpumila n. sp.,Thyrsocyrtis orthotenes n. sp.,Comments,File data,Extra Sample ID Data
320-U1331A-1H-CC,320,U1331,A,1,1-CC,H,CC,,0,0,4.99,4.99,,C,P,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,
320-U1331A-1H-CC-PAL,320,U1331,A,1,1-CC,H,CC,PAL,0,0,5.14,5.14,RP20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1331A-2H-2,320,U1331,A,2,2-2,H,2,,104,106,7.74,7.76,RP20,C,P,,R,R,R,,R,R,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1331A-2H-4,320,U1331,A,2,2-4,H,4,,104,106,10.74,10.76,RP20,C,M,3,R,R,,,R,R,R,R,R,F,R,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,
320-U1331A-2H-CC,320,U1331,A,2,2-CC,H,CC,,0,0,14.79,14.79,,C,P,3,,R,,,,R,R,R,,R,R,,R,R,R,R,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,
320-U1331A-2H-CC-PAL,320,U1331,A,2,2-CC,H,CC,PAL,0,0,15.02,15.02,RP20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1331A-3H-3,320,U1331,A,3,3-3,H,3,,126,129,18.96,18.99,RP20,A,M,2,R,R,,,,,R,,,,C,R,R,F,,,,,,R,,R,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,
320-U1331A-3H-5,320,U1331,A,3,3-5,H,5,,121,124,21.91,21.94,RP20,A,M,1,R,R,,,,,R,R,,,C,R,,R,,,,R,R,R,,R,R,R,R,R,R,,,R,,,,,,,R,,R,,,R,,,,,R,,,,,,,,,,,,
320-U1331A-3H-CC,320,U1331,A,3,3-CC,H,CC,,0,0,24.1,24.1,,A,M,1,R,R,,,,,R,,,,F,,,R,,,,R,R,R,,F,R,R,,,vR,,,,,,,,,,R,,,,,R,,,,,vR,,,,,,,,,,,,
320-U1331A-3H-CC-PAL,320,U1331,A,3,3-CC,H,CC,PAL,0,0,24.34,24.34,RP20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1331A-4H-2,320,U1331,A,4,4-2,H,2,,104,106,26.74,26.76,RP19,A,M,2,,R,,,,,,,,,,,,,,,,,,,,F,R,R,,,R,F,,F,R,R,,,R,R,R,,R,R,R,vR,,,,,R,R,,,,,,,R,,,,
320-U1331A-4H-4,320,U1331,A,4,4-4,H,4,,104,106,29.74,29.76,RP18,A,M,2,,R,,,,,,,,,,,,,,,,,,,,R,R,R,,R,R,R,,F,R,R,,,R,,R,R,R,,R,,R,,R,,R,R,,,,,,,R,R,,,
320-U1331A-4H-CC,320,U1331,A,4,4-CC,H,CC,,0,0,34.14,34.14,,A,G,2,,R,,,,,vR,,,,,,,,,,,,,,,R,R,R,,R,R,R,R,R,R,R,,R,R,,R,R,R,,R,,R,,R,R,,R,,,,R,,,R,R,,,
320-U1331A-5H-2,320,U1331,A,5,5-2,H,2,,104,106,36.24,36.26,RP18,A,G,1,,R,,,,,vR,,,,,,,,,,,,,,,R,R,R,,,R,R,R,R,R,R,,,R,,R,R,R,R,C,,F,,R,R,,R,,,,R,R,,R,R,LITTLE FEET ON D. OMBROS,,
320-U1331A-5H-4,320,U1331,A,5,5-4,H,4,,104,106,39.24,39.26,RP17,A,G,1,,R,,,,,vR,,,,,,,,,,,,,,,R,R,R,,R,R,R,R,R,R,R,,,R,,R,R,R,R,F,,F,,vR,R,R,R,,,,R,R,,R,F,,,
320-U1331A-5H-CC,320,U1331,A,5,5-CC,H,CC,,0,0,42.75,42.75,,A,G,1,,R,,,,,vR,,,,,,,,,,,,,,,R,R,R,,R,R,R,R,,vR,R,,,,,,R,R,,R,,,,,R,R,R,,,,R,R,,R,R,,,
320-U1331A-6H-2,320,U1331,A,6,6-2,H,2,,104,106,45.74,45.76,RP17,A,G,2,,R,,,,,vR,,,,,,,,,,,,,,,R,R,R,,R,R,R,R,,,R,,,,,,R,R,R,R,,,,,,R,R,,,,,R,,R,R,"HERE AND ABOVE: Z CF ANOECTUM, T ANAPOGRAPHA",,
320-U1331A-6H-4,320,U1331,A,6,6-4,H,4,,104,106,49.79,49.81,RP16,A,G,2,,R,,,,,,,,,,,,,,,,,,,,R,R,R,,R,R,R,R,,,R,,,,,,,,R,,,,,,,R,,,,,,R,,R,R,D. ANASTASIS,,
320-U1331A-6H-CC,320,U1331,A,6,6-CC,H,CC,,0,0,52.44,52.44,,A,G,1,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,R,R,,,R,,,,,,,,,,,,,,,,,,,,R,,,R,,,,
320-U1331A-7H-CC,320,U1331,A,7,7-CC,H,CC,,0,0,62.47,62.47,,A,G,1,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
